6AOJz,8/6k1/p1p1qp1p/1p3Pn1/3P4/P1PBPQ2/1P6/6K1 w KQkq - 0 1,f3f4 g5h3 g1f1 h3f4 f5e6 f4d3,https://lichess.org/training/6AOJz
6F7ti,3r4/pppbnBk1/6Pb/8/3P1qp1/2PQ2N1/PPK5/7R b KQkq - 0 1,d7f5 g3h5 g7f8 h5f4 h6f4 h1h8,https://lichess.org/training/6F7ti
8eyUK,8/8/2p1qkp1/3p1pn1/1P1P1QP1/4P3/4B3/6K1 w KQkq - 0 1,g4f5 g5h3 g1f1 h3f4 f5e6 f4e2,https://lichess.org/training/8eyUK
9kbRm,4Q2k/pb3p1p/1p3qr1/2pr1p2/8/3R2N1/PP4PP/5RK1 b KQkq - 0 1,h8g7 g3h5 g7h6 h5f6 g6g2 g1g2,https://lichess.org/training/9kbRm
AEJKV,4r1k1/1p3ppp/p3r3/3q1N2/2pP1Q2/2P5/PP3PR1/6K1 b KQkq - 0 1,e6f6 f5e7 g8f8 e7d5 e8e1 g1h2 f6f4 d5f4,https://lichess.org/training/AEJKV
BIYym,1k1r4/p1pq1Nb1/4p1p1/1p2P3/2Qn1P2/P7/1P5P/2KR2R1 w KQkq - 0 1,c4c5 d4b3 c1c2 b3c5 f7d8 d7e8,https://lichess.org/training/BIYym
GUk4B,8/4Rpk1/p4np1/1p1p2Nr/5qb1/1P1P1N2/1PP3Q1/6K1 b KQkq - 0 1,g4f3 g5e6 g7g8 e6f4 f3g2 f4h5,https://lichess.org/training/GUk4B
Gekxm,r1b2rk1/pp3ppp/8/8/2PqpPn1/1PN4P/PBQP1bP1/R2K1B1R w KQkq - 0 1,c3e4 g4e3 d1c1 e3c2 b2d4 f2d4 c1c2 d4a1,https://lichess.org/training/Gekxm
I63sP,6k1/pp3n2/2pq1N2/5Q2/2Pp2rp/1P1P4/6r1/3R3K b KQkq - 0 1,g8g7 f6e8 g7g8 e8d6 f7d6 f5e6,https://lichess.org/training/I63sP
IfVT2,4r3/pBk1bp2/4n1p1/3Q4/2P3P1/2qP4/P4PKP/4R2R w KQkq - 0 1,e1c1 e6f4 g2f3 f4d5 c4d5 c3c1 h1c1 c7b7,https://lichess.org/training/IfVT2
JRM8e,r1b1r3/1pp1kpp1/p2p1q2/4n2Q/8/P1N1P1R1/1P4PP/1B2R1K1 b KQkq - 0 1,g7g6 c3d5 e7d8 d5f6 g6h5 f6e8,https://lichess.org/training/JRM8e
LrikP,8/2R3pk/p3p2p/1b6/4qn2/2Q5/5PPP/3R2K1 w KQkq - 0 1,f2f3 f4e2 g1h1 e2c3 f3e4 c3d1,https://lichess.org/training/LrikP
MGNzO,1r4kb/3bpp1p/3pqnpB/7P/3pPQP1/3BKP2/3NN3/R6R w KQkq - 0 1,e2d4 f6d5 e3e2 d5f4 h6f4 h8d4,https://lichess.org/training/MGNzO
NlM3l,8/6kp/3q1N2/p4Q2/Pp6/3p2PP/1P2R2K/2r5 b KQkq - 0 1,d3e2 f6e8 g7g8 e8d6 c1h1 h2g2,https://lichess.org/training/NlM3l
Pl8Ji,8/5p1k/1p2p1pp/p7/q2nP3/2Q2P1P/1P4P1/1R4K1 w KQkq - 0 1,b2b3 d4e2 g1f2 e2c3 b3a4 c3b1,https://lichess.org/training/Pl8Ji
RLzjH,r1b2rk1/pp4p1/4p2p/2npPp2/2p3qP/2P1P1B1/PPBN1QP1/R3K2R w KQkq - 0 1,c2d1 c5d3 e1f1 d3f2 f1f2 g4g6,https://lichess.org/training/RLzjH
SxdIx,2k1r2r/pppn3p/5pp1/3P1q2/2R1NBbQ/6P1/PPP2P1P/6KB b KQkq - 0 1,g6g5 e4d6 c8b8 d6f5 e8e1 g1g2 g5h4 f4c7,https://lichess.org/training/SxdIx
UP9ME,r3r2k/pp4bp/2b3p1/4P1n1/3Pq3/1BP1N3/PP3QPP/R1B2RK1 w KQkq - 0 1,b3c2 g5h3 g1h1 h3f2 f1f2 e4h4,https://lichess.org/training/UP9ME
VMjfA,1k3r2/1p4pp/1qp1p3/2N5/QP2R3/7P/P1P3P1/3n3K b KQkq - 0 1,d1c3 c5d7 b8c7 d7b6 f8f1 h1h2 c3a4 b6a4,https://lichess.org/training/VMjfA
WuE4R,r1b1Q3/p4rk1/2p4q/2Pp4/4pNpp/P3PnP1/5PKP/RR6 b KQkq - 0 1,h6f6 f4h5 g7h6 h5f6 h4h3 g2h1,https://lichess.org/training/WuE4R
XDkRS,r5k1/1p3bpp/1Bp2p2/P3n3/1p2qN1P/6PB/1P3Q1K/3R4 w KQkq - 0 1,h3g2 e5g4 h2g1 g4f2 d1d8 a8d8,https://lichess.org/training/XDkRS
XcL0B,2k2b2/1pp2N2/7p/p2Pp1p1/4n1K1/2q3PP/4B1P1/1R1Q4 w KQkq - 0 1,b1b3 e4f2 g4h5 f2d1 e2g4 c8b8 b3c3 d1c3,https://lichess.org/training/XcL0B
a9V0O,4r1k1/pp3ppp/6q1/3p1N2/5Q2/1P5P/P1P3PK/4rR2 b KQkq - 0 1,e1f1 f5e7 g8h8 e7g6 f7g6 f4f1,https://lichess.org/training/a9V0O
eIM69,r3r1k1/5pp1/p1p1n2p/1p3q2/4Nn2/PB1P2Q1/RPP2PPP/2B2RK1 w KQkq - 0 1,b3e6 f4e2 g1h1 e2g3 e4g3 f5e6,https://lichess.org/training/eIM69
hVLRe,r7/1Q3p1p/1pP3b1/qk6/3N4/3p3P/5PP1/6K1 b KQkq - 0 1,b5c5 d4b3 c5b5 b3a5 d3d2 b7d7,https://lichess.org/training/hVLRe
itrwj,5r1k/1p3qrp/p1p5/4Q1nP/1R4P1/1BP5/PP4RK/8 w KQkq - 0 1,h5h6 g5f3 h2g3 f3e5 b3f7 g7f7,https://lichess.org/training/itrwj
jJrMu,2r1r1k1/1p3pp1/p2b3p/3P4/2B2Pn1/2NQ4/Pq1B4/2R1R2K w KQkq - 0 1,c1c2 g4f2 h1g2 f2d3 e1e8 c8e8 c2b2 d3b2,https://lichess.org/training/jJrMu
kaWFi,8/6kp/4P1p1/5p2/pP1P2n1/P4Q2/3q2P1/4RK2 w KQkq - 0 1,e6e7 g4h2 f1g1 h2f3 g2f3 d2e1,https://lichess.org/training/kaWFi
okP15,1br2rk1/1p3ppp/p3b3/3p4/3Nn1P1/1P1BPQ1P/PB3P1q/R1R2K2 w KQkq - 0 1,c1c8 e4d2 f1e2 d2f3 d3h7 g8h7,https://lichess.org/training/okP15
r0QGM,1r4k1/p3Qp1p/6p1/2p5/6N1/2P3P1/1p3PKP/1q6 b KQkq - 0 1,b1f5 g4h6 g8g7 h6f5 g6f5 e7e5,https://lichess.org/training/r0QGM
sPTOZ,4rk2/6bQ/2p1bq2/p1N2p2/1P2p3/P1P1R2P/5PP1/6K1 b KQkq - 0 1,e6g8 c5d7 f8f7 d7f6 g8h7 f6e8,https://lichess.org/training/sPTOZ
y1ACe,3r1k2/pp4b1/2p3R1/6N1/5q1p/2P1pP2/PP2Q2P/7K b KQkq - 0 1,d8d2 g5e6 f8f7 e6f4 d2e2 g6g7 f7g7 f4e2,https://lichess.org/training/y1ACe
