5EgRu,2rqr2k/4b1p1/p3Q2p/3PN3/b1P5/8/P4PPP/1RR3K1 b KQkq - 0 1,e7a3 e5f7 h8g8 f7d8 e8e6 d8e6 a3c1 b1c1,https://lichess.org/training/5EgRu
5pjAF,r7/pp2q1k1/3N1br1/3Q4/8/8/PPP3PP/5RK1 b KQkq - 0 1,a8d8 d6f5 g7h7 f5e7 d8d5 e7d5 f6d4 g1h1,https://lichess.org/training/5pjAF
8xhdm,r1b1k1nr/pppp1p1p/2nq4/5Q2/4P3/2N5/PPP1K1PP/R1B2B1R w KQkq - 0 1,c1f4 c6d4 e2f2 d4f5 f4d6 f5d6 e4e5 d6f5,https://lichess.org/training/8xhdm
9S6Ne,8/k2Q4/pq1N3p/3pP3/3p1P2/p2P2P1/6KP/2r5 b KQkq - 0 1,c1c7 d6c8 a7b7 c8b6 c7d7 b6d7 b7c6 d7b8,https://lichess.org/training/9S6Ne
CkdeJ,7k/pp1b1qb1/2p2n2/5PQN/2pP2P1/2P2N1P/PP3K2/8 w KQkq - 0 1,f3e5 f6e4 f2e3 e4g5 e5f7 g5f7 h5g7 h8g7,https://lichess.org/training/CkdeJ
IhdD6,r5k1/5p2/B6p/2B3p1/4qn2/P5Q1/6PP/5RK1 w KQkq - 0 1,a6b7 f4e2 g1f2 e2g3 b7e4 g3e4 f2e2 e4c5,https://lichess.org/training/IhdD6
Iv0yN,8/ppp1nk1p/8/3p4/3P1rq1/2P1RN2/P1PK1Q2/8 b KQkq - 0 1,e7f5 f3e5 f7g7 e5g4 f4f2 g4f2 f5e3 d2e3,https://lichess.org/training/Iv0yN
Mb0jU,2r2rk1/p4ppp/4pn2/8/2PP4/2Q1PN2/q2K1PPP/1R5R w KQkq - 0 1,b1b2 f6e4 d2d3 e4c3 b2a2 c3a2 h1a1 a2b4,https://lichess.org/training/Mb0jU
PzkVQ,r6r/ppQ1bkpp/2b1q3/4P3/8/2P2N2/PP3PPP/R4RK1 b KQkq - 0 1,h8c8 f3g5 f7g8 g5e6 c8c7 e6c7 a8c8 c7e6,https://lichess.org/training/PzkVQ
U0tAX,7r/2n1k3/p2p4/1p2n1P1/3QPP2/P3B2p/1Pq4P/R4RK1 w KQkq - 0 1,f1f2 e5f3 g1h1 f3d4 f2c2 d4c2 a1c1 c2e3,https://lichess.org/training/U0tAX
XrEDH,7k/pp3pp1/7p/2p5/8/2NQ1n1P/PP1KRq2/8 w KQkq - 0 1,d2c2 f3e1 c2d2 e1d3 e2f2 d3f2 d2e2 f2h3,https://lichess.org/training/XrEDH
ipD90,8/pQ6/3q2pk/2p3N1/1p1p3P/1P1Pr1n1/2P5/5RK1 b KQkq - 0 1,e3e7 g5f7 h6g7 f7d6 e7b7 d6b7 g3f1 g1f1,https://lichess.org/training/ipD90
wnsS7,1k6/2p2ppp/p1N1p3/1P1q4/P7/3rQ1PK/5P1P/8 b KQkq - 0 1,b8c8 c6e7 c8d7 e7d5 d3e3 d5e3 a6b5 a4b5,https://lichess.org/training/wnsS7
z1KOT,rn1qr3/ppk2Q2/2p2n2/3p4/3b1N2/4B3/PP3PPP/R3K2R b KQkq - 0 1,e8e7 f4e6 c7d7 e6d8 e7f7 d8f7 d4e3 f2e3,https://lichess.org/training/z1KOT
