02fjz,3r1rk1/pp3p1p/1q3p2/5B1Q/8/1P2p3/P4PPP/2R2K2 b KQkq - 0 1,b6b5 f1g1 f8e8 f5h7 g8g7 h5b5,https://lichess.org/training/02fjz
03S6t,Nk3r2/pp4p1/3p3p/1Qbqp3/8/2P5/P4PPP/4RRK1 w KQkq - 0 1,e1d1 c5f2 f1f2 d5d1 b5f1 d1f1,https://lichess.org/training/03S6t
0LTmZ,rn2k2r/pp2ppbp/2p1N1p1/3pP3/3q4/1PNB2P1/P1P2PP1/R2QK2R b KQkq - 0 1,f7e6 d3g6 h7g6 h1h8 g7h8 d1d4,https://lichess.org/training/0LTmZ
0Xhzz,5nk1/5ppp/8/Q2Bq3/8/6PP/5P1K/8 b KQkq - 0 1,g7g6 d5f7 g8g7 a5e5,https://lichess.org/training/0Xhzz
0Zj3q,5q1r/2nknB2/2p1pQ2/Rp1pP2P/1P1P3P/2P5/4K3/8 b KQkq - 0 1,h8h6 f7e6 c7e6 a5a7 d7d8 a7a8,https://lichess.org/training/0Zj3q
0ZkUg,4k2r/pp3ppp/2b5/2b1q3/2P1B2N/P5P1/4QP1P/4R1K1 b KQkq - 0 1,e8g8 e4h7 g8h8 e2e5,https://lichess.org/training/0ZkUg
0eWTl,5r1k/p1p4p/1q1bQ1p1/8/1P6/2P1R3/P4PPP/5RK1 w KQkq - 0 1,e3f3 f8f3 e6e8 f3f8,https://lichess.org/training/0eWTl
10nZ7,r1b2r1k/pp1q3p/2nb2p1/3Q4/2pp4/2P1PN2/PPB3PP/R1B2RK1 w KQkq - 0 1,e3d4 d6h2 f3h2 f8f1 h2f1 d7d5,https://lichess.org/training/10nZ7
12urk,8/p6r/1p2p1k1/n2pPpPp/3P1Pp1/Qb1B2q1/3NKR2/8 b KQkq - 0 1,b3c4 d2c4 a5c4 d3f5 e6f5 a3g3,https://lichess.org/training/12urk
14ut7,r6r/p3k1pp/4p3/1QbqB3/3p2b1/5N2/PPP3PP/3R1RK1 w KQkq - 0 1,e5d4 c5d4 f3d4 d5b5,https://lichess.org/training/14ut7
15hj0,r4rk1/pppq1p1R/5bp1/8/8/2PB1P2/PP3P1P/RN1Q2K1 b KQkq - 0 1,g8h7 d3g6 h7g7 d1d7,https://lichess.org/training/15hj0
1D1kW,R6r/3kp3/6p1/1P1qb3/5Q2/1P6/2PP1PPP/5RK1 w KQkq - 0 1,f4f5 g6f5,https://lichess.org/training/1D1kW
1T38C,r1bqr1k1/pp3p1p/1np3p1/8/2Pb4/1PNQ2P1/PB3PBP/R4RK1 w KQkq - 0 1,f1e1 e8e1 a1e1 d4f2 g1f2 d8d3,https://lichess.org/training/1T38C
1sdSM,r4rk1/1b3ppp/p3Pn2/1p6/3q4/3B4/PP4PP/R1BQ1R1K b KQkq - 0 1,f7e6 d3h7 f6h7 f1f8 a8f8 d1d4,https://lichess.org/training/1sdSM
20HW3,r5k1/3n1r1n/p1p1q1BQ/2p1P3/3P2P1/P5K1/1P6/7R b KQkq - 0 1,f7g7 g6h7 g8f7 h1f1 f7e7 h6g7,https://lichess.org/training/20HW3
23Ca6,6rk/BPp4p/3p1r2/P2Q4/2N1pb1q/5pPP/2R2P1K/6R1 w KQkq - 0 1,d5e4 h4h3 h2h3 f6h6,https://lichess.org/training/23Ca6
29C29,2k2B2/1pp1p3/p3q3/4b2n/8/2P3Pp/PPB1bQ1K/5N2 w KQkq - 0 1,f2e2 h5g3 f1g3 e5g3 h2g3 e6e2,https://lichess.org/training/29C29
2VXro,6k1/pp3ppp/4q3/3rbb2/2P5/1P2QB2/P5PP/5RK1 w KQkq - 0 1,c4d5 e5h2 g1f2 h2g3 f2e2 e6a6,https://lichess.org/training/2VXro
2aqcU,4rrk1/2pR1ppp/p7/1p4Pq/7b/2P1B2Q/PP3P1P/3R2K1 w KQkq - 0 1,d1d4 h4f2 g1g2 h5h3,https://lichess.org/training/2aqcU
2iuWz,2r2rk1/1p1bbppp/p2p4/2qPp1N1/P7/3B3P/1PPQ1PP1/R2R2K1 b KQkq - 0 1,c5d5 d3h7 g8h8 d2d5,https://lichess.org/training/2iuWz
2njNE,r2qr3/ppp2ppk/8/3b4/8/4QP2/PP1BN2P/1K1R3R w KQkq - 0 1,e3d3 d5e4 d3e4 e8e4 f3e4 d8d3,https://lichess.org/training/2njNE
2uhcR,rn3rk1/ppb2ppp/2p1b3/4P3/3q1Nn1/2NB4/PP4PP/R1BQ1R1K b KQkq - 0 1,g4f2 f1f2 d4f2 c3e4 e6g4 e4f6 g8h8 f6g4,https://lichess.org/training/2uhcR
3ODWR,r5qk/6bp/p1p1P3/3pQ3/2pP4/2P4P/PP6/4RRK1 w KQkq - 0 1,e5g5 g7d4 g1h2 g8g5,https://lichess.org/training/3ODWR
3XVe5,r6k/pp1qr1p1/3b1pPp/3Q4/2pP4/2P5/PPB1R1PP/1R4K1 w KQkq - 0 1,b1e1 e7e2 e1e2 d6h2 g1h2 d7d5,https://lichess.org/training/3XVe5
3c1Ub,r3rk2/p4pbQ/1pqp2pB/8/8/3B4/P4K2/7R b KQkq - 0 1,c6h1 h6g7 f8e7 h7h1,https://lichess.org/training/3c1Ub
3cknw,rnb2rk1/pp4pp/2pppq2/6N1/3P1n2/3B4/PPP3PP/R1BQ1RK1 b KQkq - 0 1,f6d4 g1h1 f4d3 f1f8 g8f8 d1f3 f8e7 f3f7,https://lichess.org/training/3cknw
3dlN9,r2qk2r/2p2ppp/p2bb3/1p6/3Q2n1/1B6/PPP2PPP/RNB1R1K1 w KQkq - 0 1,b3e6 d6h2 g1f1 d8d4,https://lichess.org/training/3dlN9
3hk2c,r2q1rk1/2p2ppp/p1pb4/8/4n1b1/2P2N2/PP3PPP/RNBQR1K1 w KQkq - 0 1,e1e4 d6h2 g1h1 d8d1,https://lichess.org/training/3hk2c
3vhjl,r3r1k1/1ppq1p2/p2b1p1p/8/3nP3/2N5/PPP3PP/R2Q1RK1 w KQkq - 0 1,d1d4 d6h2 g1h1 d7d4,https://lichess.org/training/3vhjl
45XGw,1r1r3k/6pp/p1n5/1p6/1P6/P3P1P1/1BQ2P1P/q2R2K1 b KQkq - 0 1,a1a2 d1d8 b8d8 b2g7 h8g7 c2a2,https://lichess.org/training/45XGw
48R2e,2k4r/pp3ppp/2p2n2/q4bQ1/8/2Nr3P/PPP5/1K1R3R w KQkq - 0 1,c2d3 f5d3 b1a1 a5g5,https://lichess.org/training/48R2e
4Fa1G,kr3r2/pp2np2/6p1/2p1P2p/q1P1BQ2/2P4P/P4PP1/1R4K1 b KQkq - 0 1,a4c4 b1b7 c4e4 b7b8 f8b8 f4e4,https://lichess.org/training/4Fa1G
4GuHa,r2q1rk1/p1p3pp/3b1n2/5Q2/8/2Pp4/PP3PPP/RNB2RK1 w KQkq - 0 1,f5d3 d6h2 g1h1 d8d3,https://lichess.org/training/4GuHa
4J6HN,8/2p2pr1/3k4/QbqPN3/1p2P1p1/1P4P1/1P4KP/5R2 w KQkq - 0 1,e5f7 g7f7 f1f7 b5f1 f7f1 c5a5,https://lichess.org/training/4J6HN
4MYX3,rn3rk1/pp3ppp/8/1q1B2Q1/6b1/5N2/P4PPP/3R1RK1 b KQkq - 0 1,g4f3 d5f7 g8h8 g5b5,https://lichess.org/training/4MYX3
4RIZI,r3kb1r/1b3ppp/p3pB2/1p2n3/3q4/2NB4/PPP3PP/R2Q1R1K b KQkq - 0 1,g7f6 d3b5 d4d7 b5d7,https://lichess.org/training/4RIZI
4TAIZ,2r3k1/p1q2p2/4p1p1/1Rb1P2p/8/2Q4P/P1B2Pb1/3R3K w KQkq - 0 1,h1g1 c5f2 g1g2 c7c3,https://lichess.org/training/4TAIZ
4qXT3,r3r1k1/pp1n1ppp/2p3n1/2P5/3P4/qB3Q1P/P4PP1/R4RK1 b KQkq - 0 1,a8d8 b3f7 g8f8 f3a3,https://lichess.org/training/4qXT3
4rd86,r2q1r1k/p5pp/1p1b4/3Q1b2/1P6/P2BP3/5PPP/R1B2RK1 w KQkq - 0 1,d3f5 d6h2 g1h1 d8d5,https://lichess.org/training/4rd86
4sPVZ,5r1k/ppp3p1/qb4np/4B3/3P2bP/2P5/PPQN2P1/R4RK1 w KQkq - 0 1,c2g6 b6d4 c3d4 f8f1 a1f1 a6g6,https://lichess.org/training/4sPVZ
56e5m,r1r3k1/bp1b1ppp/3N4/4P3/1q1N1P2/1B2n2P/3R2P1/1Q3RK1 b KQkq - 0 1,e3f1 b3f7 g8f8 b1b4,https://lichess.org/training/56e5m
5LLF1,r4rk1/p1p2ppp/2Q5/4p1b1/2B5/2PP4/Pq4PP/1R3RK1 b KQkq - 0 1,b2c3 c4f7 g8h8 c6c3,https://lichess.org/training/5LLF1
5Z5mL,r5k1/r4pp1/P1Qp3p/2b1p3/R3P3/5N1P/2q2PP1/R5K1 w KQkq - 0 1,a1a2 c5f2 g1f1 c2c6,https://lichess.org/training/5Z5mL
5arfs,r4rk1/pp3ppp/2b1pb1B/q7/3P4/2PB3Q/P4PPP/R3K2R b KQkq - 0 1,a5c3 h6d2 c3a1 e1e2 h7h6 h1a1,https://lichess.org/training/5arfs
5dADX,1k1r2nr/pp4pp/8/6P1/2B1Q2P/1P2B3/P1P3K1/4q3 b KQkq - 0 1,d8d2 g2h3 e1d1 e3f4 b8a8 c4a6 d2d3 a6d3,https://lichess.org/training/5dADX
5irCL,1k1r4/ppq1b3/2p1P1p1/6Pp/3QP2P/8/PPP1N3/2KR4 w KQkq - 0 1,d4g7 e7g5 h4g5 d8d1 c1d1 c7g7,https://lichess.org/training/5irCL
5puJP,6k1/p5br/1pp1q3/4Bp1p/3p4/8/PPP1Q3/1K4R1 b KQkq - 0 1,g8h8 g1g7 h7g7 e5g7 h8g7 e2e6,https://lichess.org/training/5puJP
5uyDF,r1b1k2r/ppp2ppp/8/4P3/1b1q2n1/6P1/PP1B1PBP/RN1QK2R w KQkq - 0 1,d1a4 c8d7 a4b4 d4f2 e1d1 f2g2,https://lichess.org/training/5uyDF
