0CPfF,1k1r3r/1b5p/p1qbp2Q/1pp5/8/P3BN2/1PP3PP/3R1RK1 w KQkq - 0 1,h6e6 d6h2 g1h2 c6e6 d1d8 h8d8,https://lichess.org/training/0CPfF
0EVRn,r4r1k/pppnn1pp/3b4/1P2pp1N/5P2/3BP3/qBQP3P/2KR2R1 b KQkq - 0 1,g7g6 b2e5 d7e5 c2a2 e5d3 c1b1,https://lichess.org/training/0EVRn
0Jj7Z,r1bqk2r/pp2nppp/3b4/8/1P2R3/2P2N2/P4PPP/RNBQ2K1 w KQkq - 0 1,c1g5 d6h2 g1h2 d8d1 e4e7 e8f8,https://lichess.org/training/0Jj7Z
0Ll81,r1b2rk1/1p1p2pp/p1n1pn2/4N1B1/8/2qB2Q1/P4PPP/R3R1K1 b KQkq - 0 1,c6e5 d3h7 f6h7 g3c3 e5f3 g2f3,https://lichess.org/training/0Ll81
0rEBD,5r2/3p2kp/p2q2p1/1p1br3/3Q4/1B6/PP4PP/2R2R1K w KQkq - 0 1,f1f8 d5g2 h1g2 d6d4 f8f7 g7h6,https://lichess.org/training/0rEBD
0tIKY,2r3k1/2r2p2/3Q2p1/3BP3/3q4/P6P/8/5R1K b KQkq - 0 1,d4d3 d5f7 c7f7 d6d3 f7f1 d3f1,https://lichess.org/training/0tIKY
0wjYu,4r1k1/pp3ppp/8/3q4/3bN3/1P1Q4/P4PPP/2R3K1 w KQkq - 0 1,c1e1 d4f2 g1f2 d5d3 e4f6 g7f6,https://lichess.org/training/0wjYu
18YiW,r2qk2r/ppp2ppp/3b4/8/3n4/5B2/P1P2PPP/R1BQ1RK1 w KQkq - 0 1,d1d4 d6h2 g1h2 d8d4 f1e1 e8f8,https://lichess.org/training/18YiW
1BTkn,7r/4k2p/pN1qp1p1/1p3p2/3b4/4Q3/PP3PPP/R3R1K1 w KQkq - 0 1,e3d3 d4f2 g1f2 d6d3 a1d1 d3c2,https://lichess.org/training/1BTkn
1G5wv,rr5k/6p1/4P2p/2q3b1/8/2B3P1/p1Q2PBP/R5K1 b KQkq - 0 1,a8a3 c3g7 h8g7 c2c5 b8b1 g2f1,https://lichess.org/training/1G5wv
1GiKd,2kr3r/ppp2ppp/2n1b3/4q3/4B3/2N5/PP2QPPP/R2R2K1 b KQkq - 0 1,c6d4 e4b7 c8b7 e2e5 d4f3 g2f3,https://lichess.org/training/1GiKd
1I51k,3r1rk1/1p3ppp/p1n1pn2/2q5/5P2/2PB2QP/P1P3P1/3RR2K b KQkq - 0 1,c5c3 d3h7 g8h7 g3c3 d8d1 e1d1,https://lichess.org/training/1I51k
1JRjX,r4rk1/pQ2bppp/2n5/7n/3p4/1B1P2P1/PPPB1PKP/RNq5 b KQkq - 0 1,c1b2 b3f7 f8f7 b7b2 a8b8 b2c1,https://lichess.org/training/1JRjX
1NR3D,r3r1k1/pp3ppp/2P5/2bq4/8/3BPP1b/PP5P/RN1Q2RK b KQkq - 0 1,e8e3 d3h7 g8h7 d1d5 h3g2 h1g2,https://lichess.org/training/1NR3D
1Wagh,r2qr1k1/ppp3pp/3bbp2/3Q4/8/PP3N2/1B3PPP/R3R1K1 w KQkq - 0 1,e1e6 d6h2 g1h2 d8d5 e6e8 a8e8,https://lichess.org/training/1Wagh
1Z6vo,r4rk1/1p1b1ppp/p2ppq2/8/5P2/3B2P1/P1P4P/1R1QR2K b KQkq - 0 1,f6d4 d3h7 g8h7 d1d4 d7c6 h1g1,https://lichess.org/training/1Z6vo
