00DTg,r2qk2r/1pp2ppp/p1pb1n2/4P3/3Q4/2N2b2/PPP2PPP/R1B2RK1 w KQkq - 0 1,e5f6 d6h2 g1h2 d8d4,https://lichess.org/training/00DTg
00E29,r1bq1rk1/4bppp/p1n5/3P4/Pp6/3B1N2/1B3PPP/R2Q1RK1 b KQkq - 0 1,d8d5 d3h7 g8h7 d1d5,https://lichess.org/training/00E29
00xGN,r2q1rk1/ppp1nppp/3b4/1B6/3QP3/2N2b2/PPP2PPP/R1B2RK1 w KQkq - 0 1,g2f3 d6h2 g1h2 d8d4,https://lichess.org/training/00xGN
017Ut,3r3r/pp3pp1/5k2/2pbq3/3N4/Q4PP1/PPP1N2p/R3R2K w KQkq - 0 1,a3c5 d5f3 d4f3 e5c5,https://lichess.org/training/017Ut
01PrL,r7/ppp1kp1r/4n2R/4P1p1/6P1/2q1B2Q/P6P/5RK1 b KQkq - 0 1,h7h6 e3g5 e6g5 h3c3,https://lichess.org/training/01PrL
01y4w,r1b2rk1/ppp2ppp/3p4/4q3/P7/3BP2P/1PPQ1PP1/1R2K2R b KQkq - 0 1,e5d5 d3h7 g8h7 d2d5,https://lichess.org/training/01y4w
02Nzh,r1b2rk1/pppp1ppn/7p/2q1P3/2B2P2/2Q5/P5PP/RN2R2K b KQkq - 0 1,b7b5 c4f7 f8f7 c3c5,https://lichess.org/training/02Nzh
02UFP,r1b3k1/pp3rpp/8/2ppp1B1/3n3P/P1qB2Q1/2P2PP1/1R1K3R b KQkq - 0 1,c5c4 d3h7 g8h7 g3c3,https://lichess.org/training/02UFP
03Vlf,1kr5/1p1q1pp1/p2bb2p/8/3N4/3QP3/PP1B1PPP/3R2K1 w KQkq - 0 1,d4e6 d6h2 g1h2 d7d3,https://lichess.org/training/03Vlf
03cXe,r1b2rk1/p4ppp/1p2p3/3p4/7P/3B1Q2/q4PP1/2R1R1K1 b KQkq - 0 1,a2a3 d3h7 g8h7 f3a3,https://lichess.org/training/03cXe
03gNg,r4rk1/pp2b1pp/2n2p2/4p3/8/2PB1QB1/Pq3P1P/R3R1K1 b KQkq - 0 1,b2c3 d3h7 g8h7 f3c3,https://lichess.org/training/03gNg
03sFl,r1b2rk1/1p3ppp/p3p3/3p4/3Q4/3B4/PPq2PPP/1R3RK1 b KQkq - 0 1,c2d2 d3h7 g8h7 d4d2,https://lichess.org/training/03sFl
03wHw,1k1r1b1r/ppp2ppp/5n2/4p3/4P3/2N1BQ1P/PqP2PP1/R4RK1 b KQkq - 0 1,b2c3 e3a7 b8a7 f3c3,https://lichess.org/training/03wHw
0403H,1rbqr1k1/5pp1/p6p/1pbBB3/7P/P3P1P1/1PP2P2/R2Q1RK1 b KQkq - 0 1,e8e5 d5f7 g8f7 d1d8,https://lichess.org/training/0403H
044zv,rnb1r1k1/pp2npp1/7p/q1b3Q1/2B5/2N5/PPP1NPPP/R1B1K2R w KQkq - 0 1,g5h5 c5f2 e1f2 a5h5,https://lichess.org/training/044zv
046Rc,r4rk1/ppp2ppp/3p4/3q4/1P1b1P1n/3BB1RP/P4P1K/R2Q4 b KQkq - 0 1,d4a1 d3h7 g8h7 d1d5,https://lichess.org/training/046Rc
04cQs,2k4r/ppqb1Q2/1np5/8/2P2P1p/1B2N2P/PP4r1/R4RK1 w KQkq - 0 1,g1g2 d7h3 g2h3 c7f7,https://lichess.org/training/04cQs
04nGz,4r2r/p1pk1p2/Q2b2qp/2p3p1/P1PPp3/8/1P1B1PPP/R3R1K1 w KQkq - 0 1,d4c5 d6h2 g1h2 g6a6,https://lichess.org/training/04nGz
05em4,r3r3/p2qkppp/3b4/2pQ4/8/4P3/PP3PPP/RN2K2R w KQkq - 0 1,e1g1 d6h2 g1h2 d7d5,https://lichess.org/training/05em4
06NbQ,2r1r1k1/1b3p1p/pq4p1/8/Q1BR4/P6P/1P3PP1/1R4K1 b KQkq - 0 1,b6d4 c4f7 g8f7 a4d4,https://lichess.org/training/06NbQ
06Te1,5rk1/3Q1ppp/8/p2B4/1b6/4P2P/3q1PKP/6R1 b KQkq - 0 1,b4c5 d5f7 f8f7 d7d2,https://lichess.org/training/06Te1
06is8,r2qk2r/p1p3pp/2pbbp2/8/4p3/7P/PPP2PPN/RNBQR1K1 w KQkq - 0 1,e1e4 d6h2 g1h2 d8d1,https://lichess.org/training/06is8
075at,r4rk1/3p1ppp/1pbNp3/p1q1P3/Pn3P2/Q2B3P/1PP3P1/2RR3K b KQkq - 0 1,c5e3 d3h7 g8h7 a3e3,https://lichess.org/training/075at
07C3b,5rk1/pQ3pp1/1b5p/8/Pq6/1B5P/5PP1/5RK1 w KQkq - 0 1,b3d1 b6f2 f1f2 b4b7,https://lichess.org/training/07C3b
07HTs,r4rk1/pQ4pp/3pb3/2p1qp2/2P5/1P5P/P2N1PP1/3R1K1R w KQkq - 0 1,b7e7 e6c4 d2c4 e5e7,https://lichess.org/training/07HTs
07L7Q,r4rk1/1pp2pp1/5n1p/p1b1Q3/P1q5/6P1/1P3PBP/R1B2RK1 w KQkq - 0 1,e5c7 c5f2 f1f2 c4c7,https://lichess.org/training/07L7Q
07Q0w,r4rk1/ppp2p1p/5np1/4p2b/2B1P2q/2NPQPR1/PPP4P/6RK w KQkq - 0 1,e3h6 h5f3 g3f3 h4h6,https://lichess.org/training/07Q0w
07Sp9,2kr3r/pp2bp1p/1n4pB/q3Pb2/P1p5/2P2BQ1/3N1PPP/R3K2R b KQkq - 0 1,a5c3 f3b7 c8b7 g3c3,https://lichess.org/training/07Sp9
07WRS,r2q1r1k/pb3p1p/1p1pp3/2p2p2/2PbP3/3PB1PP/PP1Q2B1/R4RK1 b KQkq - 0 1,d8g5 e3d4 c5d4 d2g5,https://lichess.org/training/07WRS
082Ma,6k1/6p1/5P2/1p1p4/3Qbq2/pP6/P1P5/2K3R1 w KQkq - 0 1,c1b1 e4c2 b1c2 f4d4,https://lichess.org/training/082Ma
086ae,r2q3r/p3kppp/3bb3/1B6/8/4N3/PP1Q1PPP/R4RK1 w KQkq - 0 1,f1e1 d6h2 g1h2 d8d2,https://lichess.org/training/086ae
08HSO,r2qk1nr/1pp2ppp/p1pb4/8/3QP1b1/5N2/PPP2PPP/RNB2RK1 w KQkq - 0 1,f3g5 d6h2 g1h2 d8d4,https://lichess.org/training/08HSO
08HWr,r3k1nr/ppp4p/2n3p1/3q4/1b2p1b1/3BPNBP/PP3PP1/RN1Q1K1R b KQkq - 0 1,e4f3 d3g6 h7g6 d1d5,https://lichess.org/training/08HWr
097H4,r4rk1/pppb2pp/3bpq2/3p4/3N4/P1NB3P/1PP2PP1/R2Q1RK1 b KQkq - 0 1,f6d4 d3h7 g8h7 d1d4,https://lichess.org/training/097H4
09MTB,2k1r3/pp4pr/8/4nq2/6Nb/2P1BB2/PP2K3/R4Q1R b KQkq - 0 1,e5g4 f3b7 c8b7 f1f5,https://lichess.org/training/09MTB
09c1j,r1b2rk1/p1p2ppp/8/3P4/8/3B3P/qB1Q1PP1/5RK1 b KQkq - 0 1,a2d5 d3h7 g8h7 d2d5,https://lichess.org/training/09c1j
0ALG5,4k3/Qbq2p2/p2pp3/1p6/4NP2/2N4P/PPP3r1/R6K w KQkq - 0 1,h1g2 b7e4 c3e4 c7a7,https://lichess.org/training/0ALG5
0AQZm,3r1rk1/pp3p1p/2p3p1/8/Q1B3b1/2K1P3/P4PqP/2R3R1 b KQkq - 0 1,g2e4 c4f7 f8f7 a4e4,https://lichess.org/training/0AQZm
0AUuq,rnb2rk1/pppp1ppp/5B2/2q5/2B1P3/8/P1Q2PPP/2K1R1NR b KQkq - 0 1,g7f6 c4f7 f8f7 c2c5,https://lichess.org/training/0AUuq
0Ac46,2kr3r/p1p2ppp/1p2p3/nPP5/Q2P1bq1/P3B3/3N1PPP/R4RK1 w KQkq - 0 1,d4d5 f4h2 g1h2 g4a4,https://lichess.org/training/0Ac46
0B6uj,rnb2rk1/pp4pp/2p5/q2pPp2/3P4/1B3Q2/P1PBN1PP/b2K3R b KQkq - 0 1,a5a3 b3d5 c6d5 f3a3,https://lichess.org/training/0B6uj
0B9v1,r2qk2r/2p1n1pp/p1pbb3/8/3Q4/8/PPP2PPP/RNB1R1K1 w KQkq - 0 1,e1e6 d6h2 g1h2 d8d4,https://lichess.org/training/0B9v1
0Beii,r2q1r2/p1p3k1/3bR2p/3Q2p1/3P4/5p2/PPPB2PP/4R1K1 w KQkq - 0 1,g2f3 d6h2 g1h2 d8d5,https://lichess.org/training/0Beii
0BxB9,r1b2rk1/p1pp1ppn/2p4p/2b1q3/8/1PNB1Q2/P1P2PPP/R1B2RK1 b KQkq - 0 1,e5c3 d3h7 g8h7 f3c3,https://lichess.org/training/0BxB9
0D66O,r1b2rk1/ppp2ppp/3p4/3Pq3/8/3B4/PP1Q1PPP/4RRK1 b KQkq - 0 1,e5d5 d3h7 g8h7 d2d5,https://lichess.org/training/0D66O
0Dby5,r1b2rk1/p1p3pp/2p5/3p4/3q4/2NB2P1/PPPQ1RPP/R6K b KQkq - 0 1,f8f2 d3h7 g8h7 d2d4,https://lichess.org/training/0Dby5
0EDHI,1r1q1rk1/p4ppp/3b4/1B1p4/1P2p3/2P5/5PPP/R1BQ1RK1 w KQkq - 0 1,d1d5 d6h2 g1h2 d8d5,https://lichess.org/training/0EDHI
0FP42,r1bq1rk1/p4ppp/5b2/2pN4/8/3B4/PPP2PPP/R2Q1RK1 b KQkq - 0 1,d8d5 d3h7 g8h7 d1d5,https://lichess.org/training/0FP42
0Fgzr,2r2rk1/pb3ppp/1p2pb2/4q3/1P6/2PB1P2/P5PP/2RQR1K1 b KQkq - 0 1,e5d6 d3h7 g8h7 d1d6,https://lichess.org/training/0Fgzr
0Flma,r4r1k/6p1/3p3p/p2Q1n2/1p1B4/5N2/PP2qPPP/4R1K1 b KQkq - 0 1,e2d3 d4g7 f5g7 d5d3,https://lichess.org/training/0Flma
0G6LL,3rk2r/pbq1nppp/1p6/2b5/5N2/P4NP1/1PQ1PPBP/R4RK1 w KQkq - 0 1,b2b4 c5f2 f1f2 c7c2,https://lichess.org/training/0G6LL
0G7Nb,r1b1k2r/ppp2ppp/1bn5/3q4/8/1N1B4/PPP2PPP/R1BQ1RK1 b KQkq - 0 1,e8g8 d3h7 g8h7 d1d5,https://lichess.org/training/0G7Nb
0HR0I,r3r1k1/pp1n1ppp/7q/3Q4/8/3B4/PP1N1PPP/R4K1R b KQkq - 0 1,h6d2 d3h7 g8h7 d5d2,https://lichess.org/training/0HR0I
0I6QI,1r3k1r/2p2ppp/p1Qb1qn1/8/2P5/1P2B3/P2P1PPP/RN3RK1 w KQkq - 0 1,b1c3 d6h2 g1h2 f6c6,https://lichess.org/training/0I6QI
0IEAo,r1bq1rk1/p1p2ppp/5n2/2P5/1b1B4/2NB4/PP3PPP/R2QK2R b KQkq - 0 1,d8d4 d3h7 f6h7 d1d4,https://lichess.org/training/0IEAo
0ILnN,r5k1/r2n1ppp/1pp1p3/3p4/PB1P4/2PqP3/1QB2PPP/R5K1 b KQkq - 0 1,d3e2 c2h7 g8h7 b2e2,https://lichess.org/training/0ILnN
0IvTE,rnb2rk1/1p3ppp/p1p1pq2/8/P2B4/3B4/5PPP/2RQR1K1 b KQkq - 0 1,f6d4 d3h7 g8h7 d1d4,https://lichess.org/training/0IvTE
0Ix8d,8/Q4pp1/1p4kp/2b5/2q5/2B4P/PP3PP1/6K1 w KQkq - 0 1,a7c7 c5f2 g1f2 c4c7,https://lichess.org/training/0Ix8d
0JAHD,r1bqk2r/p4ppp/2pbpn2/8/2BQ4/8/PPP2PPP/RNB2RK1 w KQkq - 0 1,c1g5 d6h2 g1h2 d8d4,https://lichess.org/training/0JAHD
0JcGw,rn4k1/pp3ppp/2p2N2/8/3q4/3BrP2/PP4PP/R2Q1RK1 b KQkq - 0 1,g7f6 d3h7 g8h7 d1d4,https://lichess.org/training/0JcGw
0JsjX,rnb2rk1/1pp2ppp/p2p4/8/3Nq3/3B4/PPP2PPP/R2Q1RK1 b KQkq - 0 1,e4d4 d3h7 g8h7 d1d4,https://lichess.org/training/0JsjX
0KHaT,r5k1/pppbn1pp/3ppr2/3P4/2PN2q1/3B4/PP3PPP/2RQR1K1 b KQkq - 0 1,g4d4 d3h7 g8h7 d1d4,https://lichess.org/training/0KHaT
0KJgh,r3k2r/pp1q3p/2nbp1p1/1B1p3Q/3P4/8/PP3PPP/R1B1R1K1 w KQkq - 0 1,h5d5 d6h2 g1h2 d7d5,https://lichess.org/training/0KJgh
0Ke81,3r1rk1/1p3p1p/p5p1/1q2bQ2/4B3/P7/1P3PPP/R3R1K1 w KQkq - 0 1,f5g5 e5h2 g1h2 b5g5,https://lichess.org/training/0Ke81
0KhUK,2q2rk1/1p3ppp/p1b1p3/P1Q1P3/4NP2/8/1PP3PP/3R3K w KQkq - 0 1,e4d6 c6g2 h1g2 c8c5,https://lichess.org/training/0KhUK
0LlAD,r1b1r1k1/p1p2p1p/2p2p2/8/3q4/3B1P2/PPPb2PP/R2Q1R1K b KQkq - 0 1,d2f4 d3h7 g8h7 d1d4,https://lichess.org/training/0LlAD
0LvuN,r4rk1/3n1ppp/1p3q2/p2p4/3P1n2/3BNP2/PP3P1P/R2Q2RK b KQkq - 0 1,f6d4 d3h7 g8h7 d1d4,https://lichess.org/training/0LvuN
0M8tq,r2qr1k1/1pp2p1p/p2b1p2/8/3nP3/P1N2B2/1P3PPP/R2Q1RK1 w KQkq - 0 1,d1d4 d6h2 g1h2 d8d4,https://lichess.org/training/0M8tq
0MKa7,r2r2k1/5p1p/p3p1pP/1pqb2Q1/8/3B1P2/PPP3P1/1K1R3R w KQkq - 0 1,d3e4 d5a2 b1a2 c5g5,https://lichess.org/training/0MKa7
0Mtuy,r1b3k1/5pbp/p1Nq2p1/2pB4/8/8/PP3PPP/2RQ2K1 b KQkq - 0 1,c8b7 d5f7 g8f7 d1d6,https://lichess.org/training/0Mtuy
0NDKt,1r5r/p1p1pkb1/2p1bnpp/8/3q4/2NB1P2/PBP3PP/1R1Q1R1K b KQkq - 0 1,b8b2 d3g6 f7g6 d1d4,https://lichess.org/training/0NDKt
0NZwv,r3k2r/p4ppp/1pq1p3/2bn4/8/2NR2P1/PPQ1PP1P/R1B3K1 w KQkq - 0 1,c3d5 c5f2 g1f2 c6c2,https://lichess.org/training/0NZwv
0NbGX,6k1/p4p2/1p3qbQ/4p3/8/1B1P4/P1P2P2/5K2 w KQkq - 0 1,a2a4 g6d3 c2d3 f6h6,https://lichess.org/training/0NbGX
0OBKY,1k1r2r1/p1p2p1p/2pb1q2/8/4Q3/3P4/PPP2PPP/R1B2RK1 w KQkq - 0 1,e4c6 d6h2 g1h2 f6c6,https://lichess.org/training/0OBKY
0OpRa,r4rk1/pp3ppp/2nPb3/4p3/3q4/3B2B1/PP3PPP/R2QR1K1 b KQkq - 0 1,d4d6 d3h7 g8h7 d1d6,https://lichess.org/training/0OpRa
0Ox6c,r4r1k/pp4pp/1q1bQn2/2p5/2P5/2P5/PP3PPP/RNB1K2R w KQkq - 0 1,e1g1 d6h2 g1h2 b6e6,https://lichess.org/training/0Ox6c
0OyEy,r4r1k/pp1q2p1/3b3p/3Qp3/5p1P/P2P4/1PPB1PP1/R3K2R w KQkq - 0 1,d2b4 d6b4 a3b4 d7d5,https://lichess.org/training/0OyEy
0P10p,1Q6/1b3rpk/4B3/2p4p/1q6/7P/1pP3P1/1R5K w KQkq - 0 1,e6f7 b7g2 h1g2 b4b8,https://lichess.org/training/0P10p
0P4a1,r1b2rk1/1p3ppp/pqn5/P7/2Bn4/2QP1N2/1PP3PP/R4R1K b KQkq - 0 1,b6c5 c4f7 f8f7 c3c5,https://lichess.org/training/0P4a1
0PJ6P,r2q1k1r/2p2pp1/np1b3p/p2Q4/3P4/P3PN2/1P1B1PPP/2R1K2R w KQkq - 0 1,e1g1 d6h2 g1h2 d8d5,https://lichess.org/training/0PJ6P
0PRxD,r1b2rk1/pp1p1ppp/4pq2/8/8/2PB2Q1/P4PPP/R4RK1 b KQkq - 0 1,f6c3 d3h7 g8h7 g3c3,https://lichess.org/training/0PRxD
0QboJ,r1b2rk1/p1p2ppn/2Qb1q1p/8/2B5/8/PPP2PPP/RNB2RK1 w KQkq - 0 1,b1c3 d6h2 g1h2 f6c6,https://lichess.org/training/0QboJ
0SPIa,3r1rk1/bb3ppp/p3p3/1p2q3/1P2B3/P7/3NQPPP/R4RK1 b KQkq - 0 1,d8d2 e4h7 g8h7 e2e5,https://lichess.org/training/0SPIa
0SYzh,rn3r2/1bp2pbk/pp1pp1pp/4P3/2PP2q1/2NB1PB1/PP1Q2K1/R4R2 b KQkq - 0 1,g4d4 d3g6 f7g6 d2d4,https://lichess.org/training/0SYzh
0SaS9,r4Bk1/p4p1p/1p2p1p1/3bP3/q2b2Q1/8/PP3PPP/R3R1K1 w KQkq - 0 1,f8a3 d4f2 g1f2 a4g4,https://lichess.org/training/0SaS9
0SmOf,rnb2rk1/pp1p1ppp/3q4/3B4/PP2n3/4N3/2P2PPP/R2Q1RK1 b KQkq - 0 1,e4f6 d5f7 f8f7 d1d6,https://lichess.org/training/0SmOf
0UCxq,k1rq3r/pp5p/2pb2p1/8/1P6/2PpQ3/P4PPP/R1B1R1K1 w KQkq - 0 1,e3d3 d6h2 g1h2 d8d3,https://lichess.org/training/0UCxq
0UKq8,r1b1r1k1/pp1n1ppp/2n1p3/3pP3/2p2P2/2P1P3/PqBN1BPP/R1Q1K2R b KQkq - 0 1,b2c3 c2h7 g8h7 c1c3,https://lichess.org/training/0UKq8
0UV3Q,r4rk1/p4ppp/4b3/3pq3/2p5/P3P3/1PBQ1PPP/3RR1K1 b KQkq - 0 1,e5b2 c2h7 g8h7 d2b2,https://lichess.org/training/0UV3Q
0UuTj,2kr3r/pppn1ppp/8/3PP3/1q1bQ1b1/6P1/PP1N1PBP/R1B1K2R w KQkq - 0 1,e4g4 d4f2 e1f2 b4g4,https://lichess.org/training/0UuTj
0V538,1r2k2r/p2q1ppp/4n3/1p4P1/1P1b3P/N2b4/2QB1PB1/1R2R1K1 w KQkq - 0 1,c2d3 d4f2 g1f2 d7d3,https://lichess.org/training/0V538
0V5sK,3q3k/p1p3pp/1p1b1r2/3Q1b2/1PP5/P2pB1PP/5P1K/R4R2 w KQkq - 0 1,c4c5 d6g3 f2g3 d8d5,https://lichess.org/training/0V5sK
0VU3N,4r1k1/1p3p1p/p1b3p1/2qr4/2B1pP2/1PQ1R1PP/P7/4R1K1 b KQkq - 0 1,d5d3 c4f7 g8f7 c3c5,https://lichess.org/training/0VU3N
0VaQo,4n1k1/5ppp/2Qbq3/3p4/3Pn3/1p1BP3/1P3PPP/R3B1K1 w KQkq - 0 1,a1a8 d6h2 g1h2 e6c6,https://lichess.org/training/0VaQo
0VgKX,r4rk1/1b3ppp/p2qp3/3p4/2P5/1P1B4/P4PPP/R2QR1K1 b KQkq - 0 1,d5c4 d3h7 g8h7 d1d6,https://lichess.org/training/0VgKX
0VpII,1r1q1r1k/pn4pp/1ppb4/8/4B3/3Q1P2/PP1B1P1P/R3R1K1 w KQkq - 0 1,e4c6 d6h2 g1h2 d8d3,https://lichess.org/training/0VpII
0WPbb,3rr1k1/pbp2pp1/7p/2q5/2B5/1P3P2/P1Q3PP/R4R1K b KQkq - 0 1,d8d6 c4f7 g8f7 c2c5,https://lichess.org/training/0WPbb
0WeTf,r1b1k2r/ppp2ppp/4p3/8/8/2qB1Q2/P1P3PP/R3R2K b KQkq - 0 1,e8g8 d3h7 g8h7 f3c3,https://lichess.org/training/0WeTf
0WlKF,rn1qkb1r/p3pppp/b1p5/8/Q1BPn3/2N5/PP3PPP/R1B1K1NR b KQkq - 0 1,d8d4 c4f7 e8f7 a4d4,https://lichess.org/training/0WlKF
0Wxpb,2kr3r/p1p2pp1/1p2p3/2Bn1b1p/q1BQ4/4RN2/P1P2PPP/R5K1 b KQkq - 0 1,d5e3 c4e6 f5e6 d4a4,https://lichess.org/training/0Wxpb
0X02H,3r2k1/5p1p/6p1/2QB4/7P/6P1/4qP1K/8 b KQkq - 0 1,e2e5 d5f7 g8f7 c5e5,https://lichess.org/training/0X02H
0XKcT,r3r1k1/p4ppp/2nb1q2/2p5/4Q3/2N5/PPPP1PPP/R1B2RK1 w KQkq - 0 1,e4c6 d6h2 g1h2 f6c6,https://lichess.org/training/0XKcT
0XNtV,2kr2r1/1pq1bQpp/p2p4/2n1pPP1/7P/3BBP2/PPP5/2KR3R w KQkq - 0 1,e3c5 e7g5 h4g5 c7f7,https://lichess.org/training/0XNtV
0Xc40,1k1r1r2/ppq1bpp1/4p1p1/4P3/1PPB2Q1/P6P/3R2P1/3R2K1 b KQkq - 0 1,c7c4 d4a7 b8a7 g4c4,https://lichess.org/training/0Xc40
0Xguo,r4rk1/p1pq1p1p/5p2/2bN4/6b1/1P1B4/P1P2PP1/R2Q1RK1 b KQkq - 0 1,d7d5 d3h7 g8h7 d1d5,https://lichess.org/training/0Xguo
0YXid,r4rk1/1bpp1p1p/pp1q2p1/n2B4/P7/BPP4P/5PP1/R2Q1RK1 b KQkq - 0 1,c7c5 d5f7 f8f7 d1d6,https://lichess.org/training/0YXid
0Z8m0,3r1knr/pbq2pNp/1p6/2b5/4p3/1p4P1/PBQ1PPBP/R4RK1 w KQkq - 0 1,a2b3 c5f2 f1f2 c7c2,https://lichess.org/training/0Z8m0
0ZUgt,r2q1r1k/pQ4pp/3b4/2n2p2/3N4/2P5/PP2R1PP/R1B3K1 w KQkq - 0 1,b7d5 d6h2 g1h2 d8d5,https://lichess.org/training/0ZUgt
0ZYeD,1k1r1r2/ppp1n2p/2p4b/4P2p/4qP2/2P1B1PP/PP2Q2K/R4R2 b KQkq - 0 1,d8d3 e3a7 b8a7 e2e4,https://lichess.org/training/0ZYeD
0ZwRW,2kq2Q1/pp2r1p1/2nb1p2/3p4/2pP4/2P1P3/PP3PPP/R4RK1 w KQkq - 0 1,g8d5 d6h2 g1h2 d8d5,https://lichess.org/training/0ZwRW
0ak0g,r1b2rk1/pp4pp/2p5/3pPp2/5PP1/1Q1Bq3/PPK1N2P/7R b KQkq - 0 1,f5g4 d3h7 g8h7 b3e3,https://lichess.org/training/0ak0g
0aqAz,4r2k/pp1q2pp/3b1r2/5P2/P2PQ3/4B2R/1P4PP/5RK1 w KQkq - 0 1,e4d5 d6h2 g1h2 d7d5,https://lichess.org/training/0aqAz
0bDkr,r3k1nr/3p1ppp/p1b1p3/Q1b1q3/1p2P3/2NB4/PPPB1PPP/R3R1K1 w KQkq - 0 1,c3a4 c5f2 g1f2 e5a5,https://lichess.org/training/0bDkr
0bTyo,r1b1r1k1/pppp1ppp/8/2qP4/8/3B4/PPP2PPP/R2Q1RK1 b KQkq - 0 1,c5d5 d3h7 g8h7 d1d5,https://lichess.org/training/0bTyo
