0SZzM,r4r2/pbpq1p1k/1p1p1p2/n3p3/4P1B1/P1P4P/1PP2PP1/R1Q1R1K1 b KQkq - 0 1,f6f5 g4f5 d7f5 e4f5,https://lichess.org/training/0SZzM
0sXYo,r3k1nr/2p2ppp/3Pb3/pp6/PbP1q3/1K6/1P4PP/RNBQ1BNR w KQkq - 0 1,d1e2 e6c4 e2c4 b5c4,https://lichess.org/training/0sXYo
1JUce,1kr4r/1p1b4/pP3q2/3p4/P2P1pp1/6P1/1Q1B1P2/RR4K1 b KQkq - 0 1,f6h6 d2f4 h6f4 g3f4,https://lichess.org/training/1JUce
1lii8,r5k1/1b1n2pp/2qb4/1pppp3/2P2B2/3P1B1P/1PNQ1PP1/4R1K1 b KQkq - 0 1,e5f4 f3d5 c6d5 c4d5,https://lichess.org/training/1lii8
2UIXa,5k2/2qbppb1/3P2p1/2B1P2p/5P2/6P1/5QKP/8 b KQkq - 0 1,e7d6 c5d6 c7d6 e5d6,https://lichess.org/training/2UIXa
2yUtl,2q1r3/5p1p/6k1/3PPnp1/1pp1B1P1/1P6/1B5P/5RK1 b KQkq - 0 1,c4c3 e4f5 c8f5 g4f5,https://lichess.org/training/2yUtl
3STQ7,r2q3r/1p1b1pk1/p3p1p1/3pPnB1/8/2bQ1N2/PP3PPP/R4RK1 b KQkq - 0 1,f7f6 g5f6 d8f6 e5f6,https://lichess.org/training/3STQ7
3T5sY,1k4r1/p1pqbp1r/1p4n1/2pP3p/3P2pP/Q5P1/PP1B2B1/4RRK1 w KQkq - 0 1,d4c5 e7c5 a3c5 b6c5,https://lichess.org/training/3T5sY
3zrvm,3r1r2/p2qp2k/1pp3pb/4pb1p/2pP1PPB/2P1Q2P/PP3N1K/R6R w KQkq - 0 1,g4f5 h6f4 e3f4 e5f4,https://lichess.org/training/3zrvm
47dWw,r1b2r2/2p1q3/2p2p1k/p1Npp1pp/P2PP1P1/2P1R2n/1P3P1K/R2QN3 w KQkq - 0 1,h2h3 c8g4 d1g4 h5g4,https://lichess.org/training/47dWw
4lQGN,r4r1k/1b3p1p/p2p4/qp2pp2/4Pn1P/N1P2QP1/PP3P2/1K1R1B1R w KQkq - 0 1,g3f4 b7e4 f3e4 f5e4,https://lichess.org/training/4lQGN
64FI9,3rqr2/pp5k/2p3pp/4P2P/1p6/8/P1B1QPP1/R5K1 b KQkq - 0 1,d8d5 c2g6 e8g6 h5g6,https://lichess.org/training/64FI9
