031po,r1b1kb1r/ppp1qppp/2P5/8/6n1/2N2p2/PP3KPP/R1BQ1BNR w KQkq - 0 1,f2f3 e7f6 c1f4 g4e5,https://lichess.org/training/031po
03SUf,r2q3r/pp2kpp1/2n1pb2/3p4/3n2Q1/2NB4/PPPB1PPP/3RR1K1 b KQkq - 0 1,f6e5 e1e5 c6e5 g4d4,https://lichess.org/training/03SUf
041qS,rnbqrk1Q/pp1n2p1/4p3/2bpP1N1/8/8/PPP2PPP/RNB2RK1 b KQkq - 0 1,f8e7 h8g7,https://lichess.org/training/041qS
04WpL,N1bk1bnr/pp3pp1/3N3p/4p3/4q3/4B3/PPn2PPP/R2QKB1R w KQkq - 0 1,e1e2 c8g4 e2d2 e4b4 d2c2 g4d1 a1d1 f8d6,https://lichess.org/training/04WpL
05CdA,r1b2rk1/2p2pp1/p1n4p/2b5/2P1B3/PP2P1qP/1B1N4/R2QK1NR w KQkq - 0 1,e1e2 g3e3 e2f1 e3f2,https://lichess.org/training/05CdA
05bgw,r2qrk1Q/2pb2p1/p1n1p3/1p1nP1N1/3P4/2P5/P2B1PPP/1R3RK1 b KQkq - 0 1,f8e7 h8g7,https://lichess.org/training/05bgw
06nc2,r1bq1r2/ppp1k1pp/1bnp4/4p1N1/4P3/1BP1B1Q1/PP3nPP/RN3RK1 b KQkq - 0 1,f2e4 g5e4 b6e3 g3e3,https://lichess.org/training/06nc2
07u50,rnbq1b1r/pp2kBpp/2p2n2/4p1B1/8/1QN5/PP3PPP/R3K1NR b KQkq - 0 1,b8d7 b3e6,https://lichess.org/training/07u50
09Hj1,r2q3r/pp2kBp1/2p1P2p/4n3/6bb/1P1P1N2/P1P4p/R1BQ1R1K b KQkq - 0 1,e5f3 c1a3 d8d6 a3d6,https://lichess.org/training/09Hj1
0Ax6K,rn1qk2r/6p1/2pbp2p/4Np1Q/3Pn3/4B3/PP3PPP/R4RK1 b KQkq - 0 1,e8e7 h5f7,https://lichess.org/training/0Ax6K
