02meJ,5k2/3Q4/p6p/2P4P/P2P2KP/5p2/5Pb1/7r w KQkq - 0 1,c5c6 g2h3 g4f3 h3d7 c6d7 f8e7 d7d8r e7d8,https://lichess.org/training/02meJ
0QNjF,rn2k2r/pp3ppp/2p1p3/3pPb1q/3P1Pn1/2N1B2P/PPP1K1P1/R2Q1B1R w KQkq - 0 1,h3g4 f5g4 e2d2 g4d1 h1h5 d1h5,https://lichess.org/training/0QNjF
0kPck,3b2k1/5p2/7p/1p2P1p1/4N1P1/pP2KP1b/P4Q2/4N2q w KQkq - 0 1,e4g3 d8b6 e3e2 b6f2 g3h1 f2e1,https://lichess.org/training/0kPck
1fZAk,4B3/8/5P2/6K1/8/4n3/1pk5/8 b KQkq - 0 1,b2b1q e8g6 c2c1 g6b1 c1b1 f6f7,https://lichess.org/training/1fZAk
1tnop,3r4/ppp2k2/2p1b3/8/4P3/2N2B2/PPPBK1Pq/R3Q3 w KQkq - 0 1,e1f1 e6c4 e2f2 c4f1 d2g5 d8g8 a1f1 g8g5,https://lichess.org/training/1tnop
28kxE,r4rk1/1pp2ppp/p1n5/8/1qb5/3P1N2/1PK1P1PP/R1BQ1B1R w KQkq - 0 1,c1d2 c4b3 c2b1 b3d1 d2b4 c6b4,https://lichess.org/training/28kxE
4eCRc,r1b2q2/ppp1k1b1/1nn3Bp/4P3/7P/2PQB3/PP4P1/RN4K1 b KQkq - 0 1,c6e5 e3c5 e7e6 c5f8 e5d3 f8g7,https://lichess.org/training/4eCRc
55tkv,8/3q4/1p3P2/2p1pRk1/3p4/1P1P2p1/2P1K1B1/8 b KQkq - 0 1,g5f5 g2h3 f5f6 h3d7 g3g2 e2f2 g2g1q f2g1,https://lichess.org/training/55tkv
5IfWI,r2q3r/p4pk1/2p2Qb1/2bp3p/N5p1/1B4BP/PPP2PP1/R3R1K1 b KQkq - 0 1,g7f6 g3h4 f6g7 h4d8 c5f2 g1f2,https://lichess.org/training/5IfWI
5cGPJ,8/7P/6K1/3pq1P1/3k4/2p5/8/2B5 b KQkq - 0 1,c3c2 c1b2 d4c5 b2e5 c2c1q h7h8q,https://lichess.org/training/5cGPJ
