000lC,3r3r/pQNk1ppp/1qnb1n2/1B6/8/8/PPP3PP/3R1R1K w KQkq - 0 1,d1d6 d7d6 b7b6 a7b6,https://lichess.org/training/000lC
004Ao,4qk2/1b3rR1/p7/1p2Q3/4P2P/P2P3K/2r5/3R4 w KQkq - 0 1,g7f7 e8f7 e5h8 f8e7,https://lichess.org/training/004Ao
00Er4,r3k2r/p1bN2pp/2p1pp2/3p3b/3P1q2/2N4P/PPPQ1PP1/R3R1K1 w KQkq - 0 1,e1e6 e8d7 d2f4 c7f4,https://lichess.org/training/00Er4
00ITc,3r1rk1/3b1pp1/7p/8/N2Qp1n1/1P6/PB1q1PP1/R5K1 b KQkq - 0 1,d7a4 d4g7,https://lichess.org/training/00ITc
02EGv,8/5r1k/p1qQp1pp/2p5/2P3P1/5nB1/1P3P1P/2R2K2 b KQkq - 0 1,f3h2 g3h2 c6h1 h2g1,https://lichess.org/training/02EGv
02X2y,r1b4r/ppp1kBpp/2p5/2b4Q/4P2q/2P4P/PP1P1nP1/RNB2RK1 b KQkq - 0 1,f2e4 d2d4 h4h5 f7h5,https://lichess.org/training/02X2y
02xvz,r6k/1b4pp/p2p4/4p3/1R3r2/8/PPqNQ1PP/5R1K b KQkq - 0 1,c2d2 b4f4 d2f4 f1f4,https://lichess.org/training/02xvz
033jV,8/2p3k1/2Pp2P1/2pP1p2/5P1Q/P2q4/4p2K/8 b KQkq - 0 1,e2e1q h4h7 g7f6 h7f7,https://lichess.org/training/033jV
03qeB,r3k2r/1p2ppbp/1qn1b3/1B3p2/PQ6/4P3/3P1PPP/RN2K1NR w KQkq - 0 1,b5c6 b6c6 g1e2 g7a1,https://lichess.org/training/03qeB
03yGi,2r1kb1r/pp2pppp/2n2n2/1P6/2Q5/B4B2/2PP1PPP/1q3RK1 b KQkq - 0 1,b1f1 g1f1 e7e6 b5c6,https://lichess.org/training/03yGi
040cM,r2q2kr/p1p3p1/7B/2bppn2/7Q/2PP1P2/PP1K1P1P/RN4R1 w KQkq - 0 1,g1g7 f5g7 h4d8 a8d8,https://lichess.org/training/040cM
04sR6,3r2r1/p1kpn1Qp/Bpp5/8/4q3/8/PPP2PPP/3RR1K1 w KQkq - 0 1,g7e7 e4g2,https://lichess.org/training/04sR6
05cTL,6rk/p1Q2Rp1/2q4p/8/2p5/7P/P5P1/7K b KQkq - 0 1,g8c8 f7f8 c8f8 c7c6,https://lichess.org/training/05cTL
06DLj,8/5pk1/Q1P3p1/3B3p/5P1P/1P3RP1/P3rbK1/4q3 w KQkq - 0 1,a6e2 e1g1 g2h3 g1h1,https://lichess.org/training/06DLj
06w9j,r4rk1/ppp2ppp/4b3/4P1q1/3RQ1Pn/2B4P/P1B2P2/5RK1 b KQkq - 0 1,g5e5 e4h7,https://lichess.org/training/06w9j
075MZ,5rk1/5pp1/7p/8/2PQR3/3q4/P4PK1/8 b KQkq - 0 1,f8d8 e4e8 d8e8 d4d3,https://lichess.org/training/075MZ
07CHw,4rrk1/1p2q3/2p1P2p/2b3p1/8/2B5/2Q1p1PP/3RR2K b KQkq - 0 1,e2d1q c2g6 e7g7 g6g7,https://lichess.org/training/07CHw
07quM,3rk2r/pp1n1ppp/4p3/6P1/1bq2B1P/3R1P2/PPP1Q1B1/2KR4 w KQkq - 0 1,d3d7 c4f4 c1b1 d8d7 d1d7 e8d7,https://lichess.org/training/07quM
08EmX,3k2r1/3rp2q/p7/3p1p1p/1P1P4/N6Q/P2n1P1P/2R3RK w KQkq - 0 1,h3h5 g8g1 c1g1 h7h5,https://lichess.org/training/08EmX
0935i,r4rk1/pb3p1p/5p2/3qp3/8/3B4/PP1Q1PPP/2R2RK1 w KQkq - 0 1,d3h7 g8h7 d2d5 b7d5,https://lichess.org/training/0935i
09DAj,r3k2r/1p3ppp/2p5/pB1p1b2/1b2q2P/8/PPNQ1PP1/R1BKR3 w KQkq - 0 1,d2d5 b4e1 b5c6 b7c6 d5e4 f5e4,https://lichess.org/training/09DAj
09Yiq,8/8/6Q1/4p1q1/5k2/5P2/6P1/6K1 w KQkq - 0 1,g2g3 g5g3 g6g3 f4g3 f3f4 e5f4 g1f1 g3f3,https://lichess.org/training/09Yiq
09ndC,8/1p4k1/p4qp1/3PQ3/5p2/3b1B2/P4rPP/2R4K w KQkq - 0 1,c1c7 g7h6 e5e1 f2f1 e1f1 d3f1,https://lichess.org/training/09ndC
0AAJv,5r1k/1b2qp1p/p2p1Rr1/8/Pp1pP2Q/1B1P3P/1PP3P1/5RK1 w KQkq - 0 1,f6f7 f8f7 h4e7 f7e7 f1f8 h8g7,https://lichess.org/training/0AAJv
0Ab4I,7k/5qp1/3P4/2pQ2P1/1p3p2/r4Pn1/P6N/2KR4 b KQkq - 0 1,g3e2 c1b2 f7d5 d1d5,https://lichess.org/training/0Ab4I
0AoOW,6kb/pp3p1p/7P/3Qq1p1/8/4PP2/P7/1KrR2NR w KQkq - 0 1,d1c1 e5b2,https://lichess.org/training/0AoOW
0Ar6p,3r2k1/pp3pp1/2p1p2p/4P2P/8/1Q1b2N1/1qPr2P1/2R1R1K1 b KQkq - 0 1,d2g2 g1g2 b2b3 c2b3,https://lichess.org/training/0Ar6p
0AxTq,2q4Q/3k1pp1/p4r2/3B4/2P3n1/B2P2P1/4rP1P/1R4K1 w KQkq - 0 1,b1b7 c8b7 d5b7 e2e1 g1g2 f6f2 g2h3 f2h2,https://lichess.org/training/0AxTq
0AzIh,1q1r1r2/4pNk1/R4bp1/2p2b1p/5N2/1QPP2PP/1P3P2/R5K1 w KQkq - 0 1,f4e6 f5e6 b3b8 d8b8,https://lichess.org/training/0AzIh
0B0ve,4Q3/kb1R4/p1q3p1/1p5p/8/P5bP/2P2rP1/3R3K w KQkq - 0 1,d7b7 a7b7 e8c6 b7c6,https://lichess.org/training/0B0ve
0B20n,8/2q3kp/p4pp1/8/3pRQ2/5NKP/2r5/8 b KQkq - 0 1,c2g2 g3g2 c7f4 e4f4,https://lichess.org/training/0B20n
0B4Lr,4qrk1/pb2RNbp/1p2Q1p1/7n/1Pr2P2/2P5/P5PP/2B2RK1 b KQkq - 0 1,e8e7 f7h6 g8h8 e6e7,https://lichess.org/training/0B4Lr
0CF33,2r2rk1/1p1bqppp/2p1p3/1p1pN1n1/3P3Q/3BPP2/PPP3PP/R4RK1 b KQkq - 0 1,g5f3 e5f3 e7h4 f3h4,https://lichess.org/training/0CF33
0CHjV,4r1k1/p2q2pp/2pbrp2/3p4/3BN1Q1/2P5/PP3PPP/R3R1K1 b KQkq - 0 1,e6e4 e1e4 d7g4 e4g4,https://lichess.org/training/0CHjV
0CJmt,1r2rk2/2p2p1R/5q2/p2p1N2/P1bP3Q/1p2P3/6PP/R5K1 b KQkq - 0 1,b3b2 h7h8 f6h8 h4h8,https://lichess.org/training/0CJmt
0CtnM,5k2/pR6/2q2r1p/3Q1Pp1/3p4/1PP4P/P5K1/8 w KQkq - 0 1,b7f7 f8e8 d5c6 f6c6 f7a7 d4c3,https://lichess.org/training/0CtnM
0DBpM,6K1/5QPP/1pp1q1n1/1k6/3P4/P7/1P6/8 b KQkq - 0 1,g6e7 g8f8 e7g6 f7g6,https://lichess.org/training/0DBpM
0DG5n,4rr2/ppk3p1/4bqQ1/4R1N1/8/8/P4PPP/3R2K1 w KQkq - 0 1,e5e6 f6f2 g1h1 f2f1 d1f1 f8f1,https://lichess.org/training/0DG5n
0EUdJ,r3kb1r/pp1q1pp1/8/2pNp3/Q1PnP3/P2P1BPp/5P1P/R4RK1 w KQkq - 0 1,d5c7 e8d8 a4d7 d8d7 c7d5 d4f3,https://lichess.org/training/0EUdJ
0EVGm,rn2r1k1/pb1qB1pp/8/1p1p1Q2/3P4/1B6/PPP2PPP/R3R1K1 w KQkq - 0 1,e7c5 e8e1 a1e1 d7f5 e1e8 g8f7,https://lichess.org/training/0EVGm
0Fo3f,qQ2k2r/P4ppp/2pnp3/3p1b2/3P4/6P1/1PP2P1P/R3K2R b KQkq - 0 1,e8d7 b8h8 a8h8 a7a8q h8a8 a1a8,https://lichess.org/training/0Fo3f
0GH7T,5rk1/pp3pp1/4p1N1/3q3R/6QP/1P1p2P1/P1r1p2K/4R3 b KQkq - 0 1,d5h5 g6e7 g8h7 g4h5,https://lichess.org/training/0GH7T
0GO23,1r2b1k1/p3p2p/3pN1p1/Q7/2p1P1P1/q3B3/NbP4R/KR6 w KQkq - 0 1,b1b2 a3b2,https://lichess.org/training/0GO23
0GRO5,r4r1k/1p4pp/pQ4q1/8/P7/1P2RbBP/5R1K/8 w KQkq - 0 1,e3f3 f8f3 b6g6 f3f2 g3f2 h7g6,https://lichess.org/training/0GRO5
0GSNp,3r4/p3rkpp/1p3p2/2p5/2P1q2Q/1P3R2/P1P3PP/5RK1 w KQkq - 0 1,f3f6 g7f6 h4f6 f7e8 f6f8 e8d7 f1d1 d7c6 d1d8 e4e3 f8f2 e3c1 f2f1 e7e1,https://lichess.org/training/0GSNp
0INUR,r4rk1/p1p1b2p/6q1/5R1R/3p4/P1PQP3/3N2PP/6K1 w KQkq - 0 1,f5g5 e7g5 d3g6 h7g6,https://lichess.org/training/0INUR
