00FAe,5Rbk/6pp/8/p3P3/Pp1pq3/8/1P4PP/3Q2K1 w KQkq - 0 1,d1b3 e4e1 f8f1 e1f1 g1f1 g8b3,https://lichess.org/training/00FAe
01XoC,8/1q4p1/6kp/3BQ3/5pP1/6b1/4p1K1/8 b KQkq - 0 1,e2e1n g2h3 b7d5 e5d5,https://lichess.org/training/01XoC
01k6e,r3kb1r/pq1b1ppp/Bp1Bp1n1/3pn3/QP6/2P2N2/P4PPP/RN3RK1 w KQkq - 0 1,a6b7 e5f3 g2f3 d7a4,https://lichess.org/training/01k6e
02NZR,r3k2r/pp1bqppp/5n2/1BbpnQB1/8/2N5/PPP2PPP/R3K1NR w KQkq - 0 1,g5f6 e5f3 e1d1 e7e1,https://lichess.org/training/02NZR
02c1a,4r1k1/Q4ppp/8/5q2/1P1br3/P2p2P1/3P1P1P/2R1RBK1 w KQkq - 0 1,e1e4 f5f2 g1h1 f2g1,https://lichess.org/training/02c1a
02cM5,r1bq2k1/3p1r2/p1p1pbn1/2p2pN1/4PP1Q/2NP4/PPP4P/R1B2RK1 w KQkq - 0 1,g5f7 f6d4 h4f2 d4f2 f1f2 g8f7,https://lichess.org/training/02cM5
02rnR,2r5/3k2p1/p2p4/1pqR2b1/2n1Bp2/P7/1PP1Q1PP/2K4R b KQkq - 0 1,c5d5 e2g4 d5e6 e4f5 c8c5 f5e6,https://lichess.org/training/02rnR
02xfT,2q3k1/p4ppp/bp2p3/3nP3/2N5/1P4P1/P3QPBP/6K1 w KQkq - 0 1,c4d6 c8c1 e2f1 a6f1,https://lichess.org/training/02xfT
0335v,7k/6p1/6p1/3P4/7q/1rBK1Q2/8/4R3 b KQkq - 0 1,h4e1 f3f8 h8h7 f8g7,https://lichess.org/training/0335v
03jS0,r3r1k1/2p2ppp/p1pb4/3p2n1/3P1BNq/2P3QP/PP3PP1/RN2R1K1 b KQkq - 0 1,h4g3 e1e8 a8e8 f2g3 d6f4 g3f4,https://lichess.org/training/03jS0
04B7R,1r3rk1/2R1Rppp/1p6/pq6/2BQ4/P5Pb/1P3P1P/6K1 b KQkq - 0 1,b8d8 e7f7 d8d4 f7g7 g8h8 g7h7,https://lichess.org/training/04B7R
05sdG,r4rk1/ppqb1ppp/3bpn2/8/2QnP3/2N1B2P/PP2BPP1/R4RK1 w KQkq - 0 1,c4c7 d4e2 c3e2 d6c7,https://lichess.org/training/05sdG
06L5W,rnbqk2r/1ppppp2/5P1b/p6p/2B2Qp1/8/PPPP1PPP/RNB1K1NR w KQkq - 0 1,f6e7 d8e7 f4e3 h6e3,https://lichess.org/training/06L5W
06h3O,rn1Qbk1r/ppBq1ppp/5N2/8/8/P7/2P3PP/R3R2K b KQkq - 0 1,d7d8 c7d6 d8d6 e1e8,https://lichess.org/training/06h3O
07Cej,6k1/2p2ppp/2pp1q2/p4b2/2Pb1P2/P3r3/1PQ3PP/4RR1K w KQkq - 0 1,e1e3 d4e3 c2e2 f6e6,https://lichess.org/training/07Cej
07WRS,r2q1r1k/pb3p1p/1p1pp3/2p2p2/2PbP3/3PB1PP/PP1Q2B1/R4RK1 b KQkq - 0 1,d8g5 e3d4 c5d4 d2g5,https://lichess.org/training/07WRS
07olC,r3kbnr/pp1bpp1p/6p1/3qn3/Q1B5/5N2/PP1B1PPP/R4RK1 w KQkq - 0 1,c4d5 e5f3 d5f3 d7a4,https://lichess.org/training/07olC
08AfH,r4rk1/p1pbq1b1/1p3nQp/3p4/3P1P2/2P1B1R1/PP1N3N/R5K1 w KQkq - 0 1,g6h6 e7e3 g3e3 g7h6,https://lichess.org/training/08AfH
08j16,r1b2rk1/p4pbp/1p1p2p1/2pP2q1/2P5/2NnB3/PP1QN2P/1K1R3R b KQkq - 0 1,g7c3 d2d3 g5f5 e2c3 f5d3 d1d3,https://lichess.org/training/08j16
09EUH,rn3bnr/ppq3pp/2p1BP2/1k6/PP3B2/8/2P2PPP/R2bR1K1 b KQkq - 0 1,b5b4 e1e4 b4a5 f4c7,https://lichess.org/training/09EUH
09dFg,4k3/ppq2p2/1np1pB1p/4Q2P/2P2P2/1P4r1/P7/2KR4 b KQkq - 0 1,c7e5 d1d8,https://lichess.org/training/09dFg
0A8KM,r4rk1/2qbb1p1/p1n3P1/1pp5/2Pp1Bp1/1P1P1NP1/P3BPK1/R2QR3 b KQkq - 0 1,g4f3 e2f3 f8f4 f3d5,https://lichess.org/training/0A8KM
0AOzw,r6q/pp2k3/4bb2/2P4Q/5P2/3P1K2/P1P5/4R1R1 w KQkq - 0 1,h5d5 h8h3 g1g3 h3h1 e1h1 e6d5 f3e3 d5h1,https://lichess.org/training/0AOzw
0Apbk,3r1rk1/ppR2pbp/5np1/8/4qB2/1B6/PPb2PPP/RN2Q1K1 w KQkq - 0 1,e1e4 d8d1 e4e1 d1e1,https://lichess.org/training/0Apbk
0B31E,2kr3r/1ppq1Rp1/p1np4/4p3/1P2P1n1/1BPP4/P2N1PPp/R2Q3K b KQkq - 0 1,d7f7 d1g4 f7d7 b3e6 d7e6 g4e6,https://lichess.org/training/0B31E
0BC2u,3r1rk1/4pp1p/p1b5/2q2PpN/8/3BR3/PPPQ2PP/7K b KQkq - 0 1,c5f5 d2c3 f5g6 d3g6 d8d1 e3e1,https://lichess.org/training/0BC2u
0BGpX,1q6/3k1r2/p1pB1np1/3pPb2/3P2PQ/P7/2P4K/5R2 b KQkq - 0 1,f7h7 h4h7 f6h7 d6b8,https://lichess.org/training/0BGpX
0BYYw,2kr4/ppp2p2/4p1r1/2q3P1/2Pn1PP1/1PQRB3/P7/1K6 b KQkq - 0 1,d4e2 d3d8 c8d8 c3h8 d8d7 e3c5,https://lichess.org/training/0BYYw
0BsfT,3q3k/pp1r2pp/1bn2p2/3P4/5B2/PB3N1P/1PP2QP1/1K1R4 w KQkq - 0 1,d5c6 d7d1 b1a2 b6f2 c6b7 d1d6,https://lichess.org/training/0BsfT
0CD09,r5k1/1p3pp1/pq5p/8/1P1n2Q1/P2pB2P/2bN1PP1/2R3K1 b KQkq - 0 1,d4e2 g4e2 d3e2 e3b6,https://lichess.org/training/0CD09
0D03o,2kr1b1r/ppp2ppp/2n1p3/3n4/6B1/2N4q/PPP2P1N/R1BQ1RK1 b KQkq - 0 1,d5c3 d1d8 c6d8 g4h3,https://lichess.org/training/0D03o
0DnBL,r1b1r1k1/ppq2p1p/6p1/2p1b3/5B2/7P/PPB3P1/R2Q1RK1 b KQkq - 0 1,e5d4 d1d4 c5d4 f4c7,https://lichess.org/training/0DnBL
0DzAF,3r3k/5Bpp/P7/8/5R2/5bPP/5P2/Q2r2K1 w KQkq - 0 1,a1d1 d8d1 g1h2 d1h1,https://lichess.org/training/0DzAF
0E9Wt,8/2P1Q2p/b5pk/p4p2/4p3/1P4PK/P6P/7q w KQkq - 0 1,c7c8q a6f1 h3h4 h1h2,https://lichess.org/training/0E9Wt
0EBtm,r5k1/6bp/p1p3p1/3p1pqn/1P6/2NP2Pb/2P2P1P/R1B1Q1K1 b KQkq - 0 1,g7c3 e1e6 g8h8 c1g5,https://lichess.org/training/0EBtm
0EFj4,r3Rnk1/1pq2pp1/p7/2pN3Q/6b1/8/PPP2PPP/6K1 w KQkq - 0 1,d5c7 a8e8 c7e8 g4h5,https://lichess.org/training/0EFj4
0EJpw,2nr3k/pb1P1Qp1/1p5p/2p1P3/2P1q3/8/4B1PP/4RR1K w KQkq - 0 1,d7c8q e4g2,https://lichess.org/training/0EJpw
0EVYN,1n1r2k1/1pp2ppp/8/1P4P1/3B4/r3Pq1P/5PB1/2KR2R1 b KQkq - 0 1,a3a1 d4a1 f3d1 g1d1 d8d1 c1d1,https://lichess.org/training/0EVYN
0EWvK,2krr3/pR3ppp/8/4P3/4B3/7P/P4qP1/2R4K b KQkq - 0 1,f2c2 c1c2,https://lichess.org/training/0EWvK
0Fje7,2q2bk1/5p2/6pQ/8/4p3/pP2P3/r5PP/2R4K w KQkq - 0 1,c1c8 a2a1 c8c1 a1c1,https://lichess.org/training/0Fje7
0FsIs,rnb1k1r1/1pp2p2/p2P3p/2P1p3/2P1P2Q/P1q5/5PBP/R4RK1 b KQkq - 0 1,c3f3 h4e7,https://lichess.org/training/0FsIs
0G34v,4rrk1/1b4p1/7p/2pR1p2/1pP4q/1P2pQBP/P5P1/R4BK1 b KQkq - 0 1,b7d5 f3d5 g8h8 g3h4,https://lichess.org/training/0G34v
0GQPQ,3r1rk1/ppp3p1/5p1p/4Q3/8/n1B4P/qR3PP1/5RK1 b KQkq - 0 1,a2b2 e5e6 g8h8 c3b2,https://lichess.org/training/0GQPQ
0GmCU,r1b1k3/1pq1np1r/p2p1Bp1/3P4/1b3PQ1/1N6/PPP3PP/4RRK1 w KQkq - 0 1,e1e7 c7e7 f6e7 c8g4,https://lichess.org/training/0GmCU
0GzQa,r4rk1/pp4pp/2bp4/Qq6/2NP4/4P3/P5PP/R4RK1 w KQkq - 0 1,a5b5 f8f1 a1f1 c6b5 c4d6 b5f1,https://lichess.org/training/0GzQa
0Haoh,3r4/1R2bk2/4q3/1Q4p1/8/P5P1/5P1P/6K1 w KQkq - 0 1,b5g5 e6e1 g1g2 e1e4,https://lichess.org/training/0Haoh
0HhBE,rnb1r1k1/p3pp1p/2p2NpB/1p6/2B5/7P/PPPq1PP1/1K1RR3 b KQkq - 0 1,e7f6 e1e8,https://lichess.org/training/0HhBE
0HyV3,rn3rk1/1b1p1ppp/p2Pp3/1pP5/1P1nNP2/P2B1QPq/7P/R1B1K2R w KQkq - 0 1,e4f6 g7f6 f3b7 b8c6,https://lichess.org/training/0HyV3
0IfKX,r6k/2q2p1p/2Np4/1PpP1b1P/4n3/8/1P1BQ3/2KR2R1 w KQkq - 0 1,e2e4 a8a1 c1c2 f5e4,https://lichess.org/training/0IfKX
0ImKE,2r3k1/3r2pp/1p2p3/p7/4q3/PQ2PBB1/2p3PP/2R3K1 b KQkq - 0 1,d7d1 f3d1 c2d1q c1d1 c8c2 g3f2,https://lichess.org/training/0ImKE
0ItpB,r1b4k/1pq2Qpp/5p2/p1p5/8/1B6/P1P2PPP/3R2K1 b KQkq - 0 1,c7f7 d1d8 f7e8 d8e8,https://lichess.org/training/0ItpB
0JnVz,r4rk1/pp2bpp1/2bp1n1p/q1pN4/2P1P3/4BB2/PP1Q1PPP/R4RK1 b KQkq - 0 1,a5d2 d5e7 g8h7 e3d2,https://lichess.org/training/0JnVz
0Knjg,3k1b1r/pp4pp/8/1bq1p3/8/1PQ1n3/P1PP1PPP/R1B1K2R w KQkq - 0 1,c3c5 e3g2 e1d1 f8c5,https://lichess.org/training/0Knjg
0L8wG,r1b1r1k1/ppp2ppp/5n2/3q4/1b1N4/2NBB2P/PP3PP1/R2QK2R b KQkq - 0 1,d5d4 d3h7 f6h7 d1d4,https://lichess.org/training/0L8wG
0Ls7M,3r3k/4Q2p/1P3b2/5r2/2P5/4BpPq/5P1P/1R4RK w KQkq - 0 1,e3d4 h3h2 h1h2 f5h5,https://lichess.org/training/0Ls7M
0MJdp,r1b1k3/3pb3/p5p1/7p/8/2N3B1/PP1q2PP/4RQ1K w KQkq - 0 1,f1f6 d2e1 g3e1 e7f6,https://lichess.org/training/0MJdp
0MSj5,2r3k1/pp2q1p1/3b1p1p/3p4/B2P2b1/2P2RPP/P7/2R1Q2K w KQkq - 0 1,e1e7 g4f3 h1g1 d6e7,https://lichess.org/training/0MSj5
