004sg,6k1/p3b2p/1p1pP3/2p3P1/1Pnp3B/P6P/3Q3K/8 w KQkq - 0 1,b4c5 c4d2 c5c6 d6d5 g5g6 e7d6,https://lichess.org/training/004sg
009FS,r2qr1k1/p5bp/1pp1b1p1/8/2QN1p2/2P1n2P/PP3PP1/R1B1RNK1 w KQkq - 0 1,d4e6 e3c4 e6d8 e8e1,https://lichess.org/training/009FS
02nXf,2r1k2r/1p1Nppb1/1q3n1p/p2p2p1/6P1/1P2P2P/PBQP1P2/2R1KB1R b KQkq - 0 1,c8c2 d7b6 c2c1 b2c1,https://lichess.org/training/02nXf
03AGC,5rk1/1bq2p2/ppn1NRp1/2p4p/2P4Q/NP2P1P1/P5rP/R4K2 b KQkq - 0 1,g2h2 e6c7 h2h4 g3h4,https://lichess.org/training/03AGC
06bnw,2kr3r/pppq4/1b1p4/P3n2p/1P2P1pP/3Q2P1/4NP1N/1R3R1K w KQkq - 0 1,a5b6 e5d3 b6a7 d7a4 b1a1 a4a1 f1a1 c8d7,https://lichess.org/training/06bnw
08ups,2r2rk1/Qp3ppp/2nqpn2/1Bpp1b2/3P4/2P1PN2/PP1N1PPP/R3K2R w KQkq - 0 1,d4c5 c6a7 c5d6 a7b5,https://lichess.org/training/08ups
0987S,rnbq1b1r/ppp1k1pp/5n2/3ppP1Q/3P4/2N5/PPP2PPP/R1B1KBNR w KQkq - 0 1,d4e5 f6h5 c1g5 h5f6,https://lichess.org/training/0987S
0EtLD,2rqrb2/n4p1k/8/pQ1pP2p/1p1P1Bp1/1P4P1/6PP/2RRN1K1 w KQkq - 0 1,c1c8 a7b5 c8d8 e8d8,https://lichess.org/training/0EtLD
0FU1P,r4rk1/pp1q1pbp/2p3p1/2Np2P1/3Pn3/2P1PQ2/PP4P1/R1B1R1K1 b KQkq - 0 1,e4g5 c5d7 g5f3 g2f3,https://lichess.org/training/0FU1P
0FuBf,6k1/5p1p/pb2p1p1/1p6/2q1n3/P3P1BP/1P1QBPP1/5K2 w KQkq - 0 1,e2c4 e4d2 f1e2 d2c4,https://lichess.org/training/0FuBf
0GAMZ,6k1/2p1Np1p/2q5/3p4/3b4/p7/6PP/4R2K b KQkq - 0 1,g8f8 e7c6 d4c3 e1e2 c3b2 c6b4 c7c5 b4a2,https://lichess.org/training/0GAMZ
