02Clu,8/1pN2pk1/p5p1/8/1b6/3n1Q2/PP3nPP/6RK w KQkq - 0 1,f3f2 d3f2,https://lichess.org/training/02Clu
0AfKR,2r2k2/1b3Pp1/pq4Qp/3B4/5N1P/1Pp3P1/P6K/5R2 b KQkq - 0 1,b6g6 f4g6,https://lichess.org/training/0AfKR
0IxtE,r1bqkb1r/3npppp/p1Np1n2/1p1N4/4P3/5P2/PPP3PP/R1BQKB1R b KQkq - 0 1,d8c7 d5c7,https://lichess.org/training/0IxtE
0Kr9j,2kr4/ppp3pQ/3q1p2/P2p4/5n2/2N2b2/1PP2P1P/R4RK1 w KQkq - 0 1,h7h3 f4h3,https://lichess.org/training/0Kr9j
18tzl,r1b3rk/ppq2Nbp/2n3pN/2p5/8/2P5/1P1P1PPP/R1B1R1K1 b KQkq - 0 1,c7f7 h6f7,https://lichess.org/training/18tzl
19Wtx,5q2/pp4k1/2p1p3/3pP2p/3nb1p1/2P1B1P1/PP2Q1KP/3R1R2 w KQkq - 0 1,g2g1 d4e2,https://lichess.org/training/19Wtx
1DWP0,r1b2rkn/pp2qp1p/2p3NP/8/4n3/3P2P1/PPP2PB1/R1Q1K2R b KQkq - 0 1,e4g3 g6e7,https://lichess.org/training/1DWP0
1FIBJ,r1b1nrk1/1p1nq1p1/p2bppN1/2pp3Q/P2P3P/2P1P1B1/1P1N1PP1/R3K2R b KQkq - 0 1,d6g3 g6e7,https://lichess.org/training/1FIBJ
1R5yr,r4rk1/pp3pp1/4pn1p/1qb2b2/N1Pn3P/1B5N/PP1BQPP1/2KR3R w KQkq - 0 1,c4b5 d4e2,https://lichess.org/training/1R5yr
1WbLp,rn4rk/pp3Npp/2p2q2/4Np1n/3p1Bb1/P2B4/1PP2PPP/R3K2R b KQkq - 0 1,f6f7 e5f7,https://lichess.org/training/1WbLp
1cBO2,3b2k1/5ppp/8/4p3/3nP1PP/qP1Q4/p1r1NP2/K2RR3 w KQkq - 0 1,d3c2 d4c2,https://lichess.org/training/1cBO2
1e0Bw,rnb3qk/pp3Qp1/1np2N1p/4B1N1/3P4/7P/PPP2KP1/R6R b KQkq - 0 1,g8f7 g5f7,https://lichess.org/training/1e0Bw
1mfZm,r1b5/pp3k1p/2p3p1/8/2P1nP2/1P6/P3QnPP/RN4RK w KQkq - 0 1,e2f2 e4f2,https://lichess.org/training/1mfZm
24JWL,4rrk1/2pqnpp1/pb2p2p/1p1pN3/1P2bB2/1QP1P2P/P4PP1/3RKB1R b KQkq - 0 1,e7g6 e5d7,https://lichess.org/training/24JWL
2NQ7v,r4rk1/pp3p2/2n1bP1Q/1n4p1/3q2N1/3P2b1/PPP3PP/R6K b KQkq - 0 1,d4f6 g4f6,https://lichess.org/training/2NQ7v
2OcjH,2r2rk1/pp3pBp/8/3p1N2/4pP2/1P5n/P2Q1nPP/R5RK w KQkq - 0 1,d2f2 h3f2,https://lichess.org/training/2OcjH
2VCih,6kr/p4pp1/2qBp3/7p/1PP3n1/6n1/P3QP2/3R1R1K w KQkq - 0 1,h1g1 g3e2,https://lichess.org/training/2VCih
2jxkB,rnb1kb1r/1p1n1ppp/pq2p3/PN1pP1B1/3p4/5N2/1PPQ1PPP/R3KB1R b KQkq - 0 1,b6c7 b5c7,https://lichess.org/training/2jxkB
32iri,5rk1/5ppp/2r5/p3p3/1pp1P3/6Pn/PP2QnBP/RN4RK w KQkq - 0 1,e2f2 h3f2,https://lichess.org/training/32iri
35NA5,3r2rk/p4qpp/1p6/2b1Np2/P5Q1/6PP/6PK/1R3R2 b KQkq - 0 1,f5g4 e5f7,https://lichess.org/training/35NA5
3PBsj,r3nkr1/1ppb1qbR/p3p1Q1/3pPpN1/3P1N2/P2B2P1/1PP2PK1/7R b KQkq - 0 1,f7g6 f4g6,https://lichess.org/training/3PBsj
3T7a0,rn3rk1/ppp1qpp1/3p1n1p/3N1bB1/2B4Q/5N2/PPP2PPP/2KR4 b KQkq - 0 1,h6g5 d5e7,https://lichess.org/training/3T7a0
3tpg3,r3k2r/ppp1qppp/8/3P1N2/2p1n3/3n4/PP1QBPPP/R4KNR w KQkq - 0 1,f5e7 e4d2,https://lichess.org/training/3tpg3
3uO9H,rr4k1/p4p1N/2p1pPpQ/3p4/3q1P2/8/2P3PP/5R1K b KQkq - 0 1,d4f6 h7f6,https://lichess.org/training/3uO9H
3xnUl,r4k1r/ppp2ppp/2n3q1/8/3P1n2/3B1N1b/PP2QP1P/RN4KR w KQkq - 0 1,d3g6 f4e2,https://lichess.org/training/3xnUl
4JmT0,3r3Q/P4p2/6p1/6k1/2P1pn2/4PqPp/5P1P/5RK1 w KQkq - 0 1,h8h3 f4h3,https://lichess.org/training/4JmT0
4LEMl,r4rk1/pp2bppp/2bNp3/4P3/5n2/6Pq/PP2QPBP/R1B2RK1 w KQkq - 0 1,g2h3 f4e2,https://lichess.org/training/4LEMl
4Xu07,r3kb1r/pp3ppp/2p5/3Pp3/2P1P3/2N3Nn/PP2QnPP/R1B3RK w KQkq - 0 1,e2f2 h3f2,https://lichess.org/training/4Xu07
4bUT1,rn1qkb1r/pb1p1p1p/1pp3p1/3NP1B1/2P1n3/5N2/PP3P1P/R2QKBR1 b KQkq - 0 1,d8c7 d5c7,https://lichess.org/training/4bUT1
4q0B3,6rk/pp6/2p1p2p/3p4/4n3/2P5/PPQ2n1P/R5RK w KQkq - 0 1,c2f2 e4f2,https://lichess.org/training/4q0B3
5IuU6,r1bq1rk1/1p3pn1/p1n2Np1/3N4/4p1P1/4P1b1/PPP1BP2/R2QK2R b KQkq - 0 1,d8f6 d5f6,https://lichess.org/training/5IuU6
5a0r9,r2r3k/1pp1qN1p/p1nN1p2/4p3/7P/2PQ4/PP3P2/1K1R2R1 b KQkq - 0 1,e7f7 d6f7,https://lichess.org/training/5a0r9
5cJhF,1r2r1k1/p1p2ppp/2p1b3/3nP3/3P2P1/2qQB2P/1pP2P2/1K2RB1R w KQkq - 0 1,d3c3 d5c3,https://lichess.org/training/5cJhF
5hxTt,r5rk/1b3Nbp/5qpN/p1pp4/1p6/3B4/P1P2PPP/1R3RK1 b KQkq - 0 1,f6f7 h6f7,https://lichess.org/training/5hxTt
62ayb,r1b2rk1/1p3p1p/p2p2p1/8/2P1pP1N/NP4Pn/P3QnBP/R5RK w KQkq - 0 1,e2f2 h3f2,https://lichess.org/training/62ayb
64QNj,r3k2r/pb1p1pp1/3q4/2p4p/1p2P1nP/2P2NQK/PP2NnP1/R4B1R w KQkq - 0 1,g3f2 g4f2,https://lichess.org/training/64QNj
