00VEX,4r1k1/3b1pp1/1B3q1p/r7/P1p1Q3/2P4P/5PP1/R4RK1 w KQkq - 0 1,b6d4 e8e4 d4f6 g7f6,https://lichess.org/training/00VEX
00i6P,1r2R2k/3P2p1/p4q1p/8/2P5/5P2/P4P1P/6K1 b KQkq - 0 1,f6f8 e8f8 b8f8 c4c5 f8d8 c5c6,https://lichess.org/training/00i6P
00q7B,Q6r/p1pqk1bp/3ppnp1/2n5/4P3/2N2N2/PB3PPP/R3R1K1 w KQkq - 0 1,e4e5 h8a8 e5f6 e7f6 c3e4 f6f7 e4c5 d6c5,https://lichess.org/training/00q7B
01F1G,r2q3k/4n1bp/bpB1Qrp1/pN3p2/P4B2/5N2/1P3PPP/R2R2K1 b KQkq - 0 1,d8d1 a1d1 f6e6 c6a8,https://lichess.org/training/01F1G
01IKl,k1r4r/2Qn1p1p/1p1Bpnp1/q7/2BP4/2P5/1PK2P1P/3R2R1 w KQkq - 0 1,c7c8 h8c8 d1a1 c8c4 a1a5 b6a5,https://lichess.org/training/01IKl
01Kjm,8/KP2r1pk/5p2/7p/4b2P/3Q4/8/8 w KQkq - 0 1,d3e4 e7e4 b7b8q e4a4 a7b7 a4b4 b7c8 b4b8,https://lichess.org/training/01Kjm
01VAQ,4Q2k/ppp3pp/2q5/6r1/2N3P1/6nP/PP3r2/2R1R1K1 b KQkq - 0 1,c6e8 e1e8 f2f8 e8f8,https://lichess.org/training/01VAQ
029Qb,3r2k1/1b4pp/p1B1R1n1/1p6/2p5/6B1/PPQ2PPP/3q2K1 w KQkq - 0 1,c2d1 d8d1 e6e1 d1e1,https://lichess.org/training/029Qb
02LQB,r5k1/5pp1/r6p/P1Q5/7P/8/3q1PP1/R2R2K1 b KQkq - 0 1,a6a5 d1d2 a5a1 g1h2,https://lichess.org/training/02LQB
02lVn,4r1k1/4p2p/4p1pB/1p1q4/p2Pn2Q/7P/P4PP1/2R3K1 w KQkq - 0 1,h4e7 e8e7 c1c8 e7e8,https://lichess.org/training/02lVn
03VSQ,8/7P/1R6/1p6/5k2/5b2/PP5r/5K2 w KQkq - 0 1,h7h8q h2h8 b6b5 f4g3 b5g5 f3g4 g5g4 g3g4,https://lichess.org/training/03VSQ
03uA2,2R3Q1/r2kqp2/p3p3/1p4r1/8/4PB2/PP3PP1/2R3K1 w KQkq - 0 1,c8c5 g5g8 c1d1 e7d6 d1d6 d7d6,https://lichess.org/training/03uA2
046XM,r4rk1/ppq1b1p1/2n1p2p/3pP3/1P6/P2Q1N2/3N1PPP/R1R3K1 b KQkq - 0 1,c6e5 c1c7 e5d3 c7e7,https://lichess.org/training/046XM
04Hkj,3rb1k1/R5p1/4n2p/1p3p2/1Pp5/Q2qPBP1/5P1P/3R2K1 b KQkq - 0 1,d3a3 a7a3 d8d1 f3d1,https://lichess.org/training/04Hkj
04QwV,4r3/1qR2kpp/3rpp2/p3P3/1p3P1P/4B3/PP4P1/1KR5 b KQkq - 0 1,b7c7 c1c7 d6d7 c7d7,https://lichess.org/training/04QwV
