004BW,r1bk2r1/ppq2pQp/3bpn2/1BpnN3/5P2/1P6/PBPP2PP/RN2K2R w KQkq - 0 1,e5f7 d8e7 g7g8 f6g8,https://lichess.org/training/004BW
005YX,2rr4/2N2pk1/p1Q1b1pp/1p4q1/3pP3/1B1P4/PPP3PP/6RK w KQkq - 0 1,c7e6 f7e6 c6b7 g7h8,https://lichess.org/training/005YX
00GY4,3k2r1/pR5R/3r4/4p1q1/7Q/3Pn1PP/PP5K/8 b KQkq - 0 1,g5h4 b7b8,https://lichess.org/training/00GY4
00H1C,r3r3/1kpRnqpp/p4p2/Qp2P2P/1N6/4Pb2/PPP3P1/2K2R2 b KQkq - 0 1,e7c6 a5c7,https://lichess.org/training/00H1C
00ZEc,1r3bk1/5p2/3P1qRP/r1n1p3/ppB5/P2Q1P2/1PP5/1K6 b KQkq - 0 1,g8h7 g6g7 h7h6 d3h7,https://lichess.org/training/00ZEc
00bnu,2r2rk1/2QR1p1p/p3p1p1/1p4q1/5P2/P1N5/BPP3bP/2K4R w KQkq - 0 1,c7c8 g5f4 c1b1 f8c8,https://lichess.org/training/00bnu
00gsT,1r3rk1/p4pp1/4p2p/1Q2Pn2/1b1P4/4BN2/q4PPP/2R2RK1 w KQkq - 0 1,c1a1 a2a1 f1a1 b8b5,https://lichess.org/training/00gsT
00ko8,6k1/5ppp/pp6/3q4/P2R2Q1/8/1Pr1r1PP/5R1K b KQkq - 0 1,h7h5 g4e2 c2e2 d4d5,https://lichess.org/training/00ko8
00rB5,2r3k1/4pp2/3p1bp1/1p6/1Pr1P1Q1/P3q1P1/6BP/1R2R2K b KQkq - 0 1,c4c1 g4c8 c1c8 e1e3,https://lichess.org/training/00rB5
010Ev,4b1k1/1p3p2/4pPp1/3p2Rp/p2P3R/q1rBQ2P/6P1/6K1 w KQkq - 0 1,d3g6 a3c1 e3c1 c3c1 g1h2 f7g6,https://lichess.org/training/010Ev
011Un,1k6/p2bRq2/1p1P1Pp1/2p4p/7r/5QK1/P5P1/8 b KQkq - 0 1,h4g4 f3g4 d7g4 e7f7,https://lichess.org/training/011Un
01749,2r3k1/5ppp/4p3/3n4/2QB4/1r4P1/5PKP/R2q4 b KQkq - 0 1,c8c4 a1a8 b3b8 a8b8 c4c8 b8c8,https://lichess.org/training/01749
01Jrn,5rk1/3q1r1p/1p1bQ1p1/8/1P4R1/7P/3N2P1/5R1K w KQkq - 0 1,e6d7 f7f1 d2f1 f8f1,https://lichess.org/training/01Jrn
01Jto,r1bqr1k1/1p3ppp/p5n1/8/4Q3/4N3/PP2BPPP/R4RK1 w KQkq - 0 1,f1d1 d8d1 a1d1 e8e4 d1d8 g6f8,https://lichess.org/training/01Jto
01e5j,Q4rk1/5ppp/4p3/1R1p4/2q5/8/P5PP/1R5K b KQkq - 0 1,c4b5 a8f8 g8f8 b1b5,https://lichess.org/training/01e5j
01jVT,r2Q1b1N/6pp/p1kn2q1/2pp4/5B2/2P2bP1/PP1N3P/R2K4 w KQkq - 0 1,d2f3 g6d3 d1e1 d3e4,https://lichess.org/training/01jVT
01nt0,2r2rk1/5ppn/p1b4p/1pb1qP1N/2pp2Q1/P6P/BPP3PN/4RR1K b KQkq - 0 1,h7f6 g4g7,https://lichess.org/training/01nt0
027oG,2r5/4Qrkp/2p3p1/5p2/P1RP1q2/7P/6P1/2R3K1 w KQkq - 0 1,d4d5 f4c1 c4c1 f7e7,https://lichess.org/training/027oG
0284S,r2q1k2/pppb2pQ/4p2r/4Rn1P/2PP4/2KB1R2/PP3PP1/8 w KQkq - 0 1,e5f5 e6f5 f3f5 d7f5,https://lichess.org/training/0284S
02Am1,8/2P1R3/5k2/1B1p4/N2Ppn2/4K3/2r5/8 w KQkq - 0 1,c7c8q f4g2,https://lichess.org/training/02Am1
02QYB,r3k2r/pp3ppp/2n1p3/2bnP3/Q1Bp4/P4NB1/1q3PPP/RR4K1 b KQkq - 0 1,d5c3 a4c6 b7c6 b1b2,https://lichess.org/training/02QYB
02R28,2Q2r2/6kp/3P4/pN1Qp2q/2P1P3/P3brPp/6bP/R3R1K1 w KQkq - 0 1,e1e3 f3f1 a1f1 f8f1,https://lichess.org/training/02R28
02YPX,r3kb1r/pppb1ppp/5n2/3PN3/Q2nP3/2N5/Pq1B1PPP/1R2KB1R b KQkq - 0 1,d4c2 e1e2 b2b1 e5d7,https://lichess.org/training/02YPX
02u5n,3Q1r1k/pp1P2pp/n5p1/8/6q1/P7/4RP2/3R2K1 w KQkq - 0 1,g1f1 g4e2 f1e2 f8d8 d1c1 a6b8,https://lichess.org/training/02u5n
02vDT,r3k1nr/ppp2ppp/3p4/2P5/4P1b1/5N2/PB2QPPP/1q3RK1 b KQkq - 0 1,g4f3 e2b5 c7c6 b5b7,https://lichess.org/training/02vDT
02zzS,5rk1/pp3p2/3p2p1/2pP4/2P1Pn1p/4RP1q/PP2NQrP/4R2K w KQkq - 0 1,e2f4 h3h2,https://lichess.org/training/02zzS
03HzC,5rk1/p4pp1/2p5/5n1p/5Pbb/1BN5/PPPrNqPQ/R4R1K b KQkq - 0 1,f5g3 e2g3 f2g3 h2g3 h4g3 c3e4 d2e2 e4g3,https://lichess.org/training/03HzC
03JCJ,1r4k1/3p1pp1/1p1q3p/1Qr5/4P3/5PP1/PPP4P/1KR3R1 w KQkq - 0 1,c1d1 d6d1 g1d1 c5b5,https://lichess.org/training/03JCJ
03RFF,2r1nrk1/4qPp1/p1p3b1/np4NQ/8/7P/PP3PP1/R1B1R1K1 b KQkq - 0 1,g6f7 h5h7,https://lichess.org/training/03RFF
03gXl,5rk1/5q2/p4p2/1p1QP1p1/1PpP3p/P5bP/2N1R1P1/7K w KQkq - 0 1,d5f7 g8f7 e5e6 f7e7,https://lichess.org/training/03gXl
048Um,3r3k/pp4rp/4pp2/8/3b1B2/3Q4/q3RPPP/1R4K1 b KQkq - 0 1,d4f2 g1f2 d8d3 e2a2,https://lichess.org/training/048Um
04Kcj,r6k/pp1r2pp/2p2p2/4R3/3Pp2q/Q3P3/PP3PPP/2R3K1 w KQkq - 0 1,a3a7 d7d8 a7a8 d8a8,https://lichess.org/training/04Kcj
04Utd,8/6p1/2p4p/3pNk2/5P1K/P4RP1/7P/5q2 b KQkq - 0 1,g7g5 f4g5 f1f3 e5f3,https://lichess.org/training/04Utd
