03jNq,r1b2rk1/5p2/p2pp1p1/1pq1n1bP/4P3/1NNB2Q1/PPP5/2K2R1R w KQkq - 0 1,g3g5 e5d3 c2d3 c5g5,https://lichess.org/training/03jNq
05Rlc,r3r1k1/ppp2ppp/8/4N1q1/3P1n2/2P1R2P/P2Q1PP1/4R1K1 w KQkq - 0 1,e3g3 f4h3 g3h3 g5d2,https://lichess.org/training/05Rlc
09ADK,3r4/1b5k/1p2q2p/p1p3pP/3bN3/R4P2/PPK1QBP1/8 b KQkq - 0 1,d4f2 e4g5 h6g5 e2e6,https://lichess.org/training/09ADK
0CAsb,r4rk1/2pq1ppn/p1np2bp/1p2pN2/4P1Q1/2PP2NP/PPB2PP1/2R1R1K1 b KQkq - 0 1,c6e7 f5h6 g7h6 g4d7,https://lichess.org/training/0CAsb
0CLa9,r4r2/1p1qb1nk/p2p1p1p/2BN1P2/5P1P/3Q4/PPP5/R3K2R b KQkq - 0 1,d6c5 d5f6 e7f6 d3d7,https://lichess.org/training/0CLa9
0DqlD,rn3rk1/pp2bppb/2p2p1p/2q5/2B1NQP1/7P/PPP1NP2/3RK2R b KQkq - 0 1,c5c4 e4f6 e7f6 f4c4,https://lichess.org/training/0DqlD
0E2f5,r7/2k1qp2/p1b1p3/2n1P3/PQ6/1P1B2P1/2P2p1P/R2R2K1 w KQkq - 0 1,g1f2 c5d3 d1d3 e7b4,https://lichess.org/training/0E2f5
0ERVU,6k1/6pp/p4p2/1p1qpP2/4N3/P1PpbQP1/1P5P/7K b KQkq - 0 1,d3d2 e4f6 g7f6 f3d5,https://lichess.org/training/0ERVU
0ElQM,r2q1rk1/ppp3pp/1b3p2/3Bp3/3nN3/3P1Q1P/PPPB1PP1/R4RK1 b KQkq - 0 1,d8d5 e4f6 f8f6 f3d5,https://lichess.org/training/0ElQM
0H5IP,6r1/p1pk3p/2nppn2/4p3/1P2PP2/2PPQN1q/P5rP/R4R1K b KQkq - 0 1,f6g4 f3e5 d6e5 e3h3,https://lichess.org/training/0H5IP
0Lvsj,6k1/3qbbp1/2n2p1p/pp1Np3/1Pp1P3/P1P2PNP/2B3P1/3Q2K1 b KQkq - 0 1,a5b4 d5f6 g7f6 d1d7,https://lichess.org/training/0Lvsj
0VmvD,1r3rk1/2p2pp1/5q1p/p3n3/2Pb4/P1N2B2/1P3PPP/R2Q1RK1 w KQkq - 0 1,d1d4 e5f3 g2f3 f6d4,https://lichess.org/training/0VmvD
0XFvx,7r/p4kpp/p3qp2/3n4/1QpP1BP1/4PB1P/2P2P2/5K1R w KQkq - 0 1,b4c4 d5e3 f4e3 e6c4,https://lichess.org/training/0XFvx
0dcFn,rnbqk3/1p1p1p1p/p3pn2/6Q1/4P3/1N1B4/PPP2b1P/RN2K2R w KQkq - 0 1,e1f2 f6e4 d3e4 d8g5,https://lichess.org/training/0dcFn
0h3yx,r1b1k1r1/ppp2p1p/2p2Q2/2b1n1B1/3qP3/2NP2PP/PPP3P1/2KR1B1R w KQkq - 0 1,g5f4 e5d3 f1d3 d4f6,https://lichess.org/training/0h3yx
0n0IB,r3r1k1/ppbq1p1p/4np2/3N4/8/P3P3/1P3PPP/R2Q1RK1 b KQkq - 0 1,c7e5 d5f6 e5f6 d1d7,https://lichess.org/training/0n0IB
0q1t5,2kr3r/pp2bpp1/3p1n1p/4pP2/qPN1P3/2PQ2PP/6B1/1R3RK1 b KQkq - 0 1,a4b5 c4d6 e7d6 d3b5,https://lichess.org/training/0q1t5
0rMaF,8/3bb1kp/p3p1p1/1pNpq3/8/P5P1/1PQ4K/8 b KQkq - 0 1,e5c7 c5e6 d7e6 c2c7,https://lichess.org/training/0rMaF
0tqt7,8/2p1qpk1/1pbb2p1/3p2Np/3Pn2P/2PQ1NP1/PPB2P2/1K6 w KQkq - 0 1,d3e2 e4c3 b2c3 e7e2,https://lichess.org/training/0tqt7
10Cmo,r3kb1r/pp1npppp/3p4/qN1Q4/4n3/2N5/PPP2PPP/R1B1K2R b KQkq - 0 1,e4c3 b5d6 e7d6 d5a5,https://lichess.org/training/10Cmo
12sWj,r4rk1/1pp3pp/3b1p1q/p2p4/3Pb1N1/P1R1P3/1P1BQPPP/5RK1 b KQkq - 0 1,h6h5 g4f6 f8f6 e2h5,https://lichess.org/training/12sWj
14Aq9,4r3/5bk1/Rp1r1q1p/2pPn1p1/2P1Pp2/2QB1P1P/1P3BP1/R5K1 w KQkq - 0 1,b2b4 e5f3 g2f3 f6c3,https://lichess.org/training/14Aq9
17dNJ,r6k/1p3qpp/p3n2n/3QPp2/P2b1P2/NP4PP/2R3K1/2B1R3 w KQkq - 0 1,a3c4 e6f4 c1f4 f7d5,https://lichess.org/training/17dNJ
188Gc,2kr2n1/1ppq2br/p2p1nNp/3Pp3/1PP1Np2/7P/P1QB1PP1/R4RK1 b KQkq - 0 1,d7f5 e4d6 c7d6 c2f5,https://lichess.org/training/188Gc
1HVw0,3r4/3P2k1/1p1R2p1/p3p2p/2Qn1q2/P4P2/1P4PP/4R1K1 w KQkq - 0 1,e1e5 d4f3 g2f3 f4c4,https://lichess.org/training/1HVw0
1L2DB,r5k1/4p3/3p1bP1/2pP1rBK/2q1N1Q1/P7/1P5P/3R4 b KQkq - 0 1,f5e5 e4f6 e7f6 g4c4,https://lichess.org/training/1L2DB
1Q5A2,r2qkb1r/1pp3pp/p4p2/3P4/4N3/5Q2/PPP3PP/R3K2R b KQkq - 0 1,d8d5 e4f6 g7f6 f3d5,https://lichess.org/training/1Q5A2
1ReHU,r5k1/pp1b3n/2pQ4/3p1n2/6q1/1B4P1/PPP4P/4RR1K w KQkq - 0 1,d6d7 f5g3 h2g3 g4d7,https://lichess.org/training/1ReHU
1Wvca,3rr1k1/pp3pp1/7p/3p4/N2Qn1q1/1P4P1/P1P3PP/4RR1K w KQkq - 0 1,a4c5 e4g3 h2g3 g4d4,https://lichess.org/training/1Wvca
1XuT3,r6r/pb1q1k2/1p3b2/5N2/3Pp2p/P4P1Q/1P5P/R4RK1 b KQkq - 0 1,f7g6 f5h4 f6h4 h3d7,https://lichess.org/training/1XuT3
1Y9Ci,1b3rk1/p5p1/1p1r1p2/5b1q/P2p1PN1/1P5P/1B2Q1P1/3R2K1 b KQkq - 0 1,f8e8 g4f6 d6f6 e2h5,https://lichess.org/training/1Y9Ci
1ZZmy,r6k/2q3bp/2p3p1/1p2N3/3P1P2/pPP5/P1K1Q3/8 b KQkq - 0 1,c7e7 e5g6 h7g6 e2e7,https://lichess.org/training/1ZZmy
1cEiU,1r3rk1/1P3ppp/p4nq1/2p1p3/Q1P1P1b1/2N2NP1/PP3KBP/R3R3 w KQkq - 0 1,a4a6 f6e4 e1e4 g6a6,https://lichess.org/training/1cEiU
1ctp3,8/1kp2p2/1p1q1n2/4pP2/p2pP1pQ/P2P2P1/1PP1NK2/8 w KQkq - 0 1,h4h6 f6e4 d3e4 d6h6,https://lichess.org/training/1ctp3
1dmoz,8/1p4pk/3B1pn1/1PPQnqp1/8/5P1P/6P1/4R1K1 w KQkq - 0 1,e1e4 e5f3 g2f3 f5d5,https://lichess.org/training/1dmoz
1eoa1,3r3k/3r4/p3pq2/1p2n2p/4Bp1P/1P3P2/P1P2RP1/Q2R2K1 w KQkq - 0 1,d1d7 e5f3 e4f3 f6a1,https://lichess.org/training/1eoa1
1ercR,2r2r1k/p4p1p/1p4p1/4P3/2p1qN2/P5Q1/5PPP/R5K1 b KQkq - 0 1,e4e5 f4g6 h7g6 g3e5,https://lichess.org/training/1ercR
1hIzS,r1b1k2r/pp2bp1p/3p1p2/qN1Qp3/4P3/2P5/P4PPP/R3KB1R b KQkq - 0 1,c8e6 b5d6 e7d6 d5a5,https://lichess.org/training/1hIzS
1hUZY,1r4k1/p3qpp1/7p/3pPN1Q/8/3PP1P1/P2r3P/R5K1 b KQkq - 0 1,e7e5 f5h6 g7h6 h5e5,https://lichess.org/training/1hUZY
1hjLM,r4r1k/pp4p1/2pNQp2/5nPp/3P1P2/2P4q/PP3B2/R3RK2 w KQkq - 0 1,f1e2 f5d4 f2d4 h3e6,https://lichess.org/training/1hjLM
1iGV8,8/2q2pkp/4pbp1/1pNp1n2/1P1P4/2Q2NP1/4KP1P/8 b KQkq - 0 1,h7h6 c5e6 f7e6 c3c7,https://lichess.org/training/1iGV8
1obyD,r1b2rk1/pp1nbpp1/1qnp4/1B1N3Q/2p2P2/8/PPPP2PP/R1B2R1K b KQkq - 0 1,b6b5 d5e7 c6e7 h5b5,https://lichess.org/training/1obyD
1qayu,2r4r/1p1nk3/p7/q2Pppp1/4p2p/2N1P3/PPPQ2PP/2KR3R b KQkq - 0 1,e7d6 c3e4 f5e4 d2a5,https://lichess.org/training/1qayu
1unYd,7q/pp2rp2/2p3pk/4n2p/1P2NN2/4PP2/PQ4PP/2R3K1 w KQkq - 0 1,c1c5 e5f3 g2f3 h8b2,https://lichess.org/training/1unYd
1vFLI,2rr3k/p2q2pp/1p1b1p2/2pppnPP/3P1PQ1/2P1PN2/PP1B2K1/R4R2 w KQkq - 0 1,f4e5 f5e3 d2e3 d7g4,https://lichess.org/training/1vFLI
1zVNf,r3k2r/pp1qbpp1/2n1p2p/3p2P1/Q1pP4/2P1PN2/PP1NKPP1/R6R w KQkq - 0 1,g5h6 c6d4 f3d4 d7a4,https://lichess.org/training/1zVNf
21TDG,3r1r2/1R4pk/p2P3p/2pQn1q1/P4p2/2N2P2/6PP/5RK1 w KQkq - 0 1,c3e4 e5f3 f1f3 g5d5,https://lichess.org/training/21TDG
22SQi,r4rk1/pb2qppp/1p2p3/2ppP1n1/2P5/2NBPP1Q/PP4PP/R3K2R w KQkq - 0 1,h3h4 g5f3 g2f3 e7h4,https://lichess.org/training/22SQi
26hze,2r3k1/5ppp/5q2/4n3/1Q1r4/1P3B2/P4PPP/R4RK1 w KQkq - 0 1,b4d4 e5f3 g2f3 f6d4,https://lichess.org/training/26hze
28dmS,7k/8/2p1p1p1/p2q1p2/P1nPnP2/2P1PB2/2Q2PK1/2B5 w KQkq - 0 1,c2b3 c4e3 c1e3 d5b3,https://lichess.org/training/28dmS
2CUHC,r4rk1/p5p1/1p3q1p/1P1pn3/3p4/P2QpPN1/6PP/R2BR1K1 w KQkq - 0 1,d3d4 e5f3 d1f3 f6d4,https://lichess.org/training/2CUHC
2Cd55,1k1r4/pp3prp/2p2pR1/8/Q2N1q2/7P/PPP2P2/4R2K b KQkq - 0 1,g7g6 d4c6 b7c6 a4f4,https://lichess.org/training/2Cd55
2Ep5u,1r3rnk/p3pp2/2p4p/4P1NQ/2pqN3/2P5/PP4P1/1K5R b KQkq - 0 1,d4e5 g5f7 f8f7 h5e5,https://lichess.org/training/2Ep5u
2GJeb,5rk1/5pp1/p6p/4qN1Q/2p5/7P/PPP3P1/6K1 b KQkq - 0 1,f8d8 f5h6 g7h6 h5e5,https://lichess.org/training/2GJeb
2JtBC,r3kb1r/pp2pppp/1qnp1n2/1N6/4P3/1Q3B2/PP3PPP/R1B2RK1 b KQkq - 0 1,a7a6 b5d6 e7d6 b3b6,https://lichess.org/training/2JtBC
2OWmY,N1bk3r/pp1p3p/3b1np1/4p3/B1qn3Q/8/PPPP1PPP/R1B1K1NR w KQkq - 0 1,a4b3 d4c2 b3c2 c4h4,https://lichess.org/training/2OWmY
2UoL7,4r2k/1b1r1pp1/7p/pQ2n2q/4P2N/P2P4/BPP1N1PP/R4RK1 w KQkq - 0 1,h4f3 e5f3 f1f3 h5b5,https://lichess.org/training/2UoL7
2Ww14,2kr3r/pppq1ppp/2n3b1/2P5/Q1BPp1P1/4P2P/P2B1P2/1R2K2R w KQkq - 0 1,e1e2 c6d4 e3d4 d7a4,https://lichess.org/training/2Ww14
2aqvL,7r/6k1/p2p2B1/q2n2p1/1p6/2P5/PP1Q4/1K2R3 w KQkq - 0 1,d2g5 d5c3 b2c3 a5g5,https://lichess.org/training/2aqvL
2ayLI,1r3rk1/4b1pp/p4p1n/2p2P2/3pN3/Pq1P1Q1P/1P3PK1/1RR5 b KQkq - 0 1,b3d5 e4f6 f8f6 f3d5,https://lichess.org/training/2ayLI
2byYX,8/1b4k1/2pb2pp/5p1P/3P1P2/2pqN1P1/5QBK/8 b KQkq - 0 1,d3d4 e3f5 g6f5 f2d4,https://lichess.org/training/2byYX
