003jH,rn3rk1/p5pp/3N4/4np1q/5Q2/1P3K2/PB1P2P1/2R4R w KQkq - 0 1,f3f2 e5d3 f2e3 d3f4 h1h5 f4h5,https://lichess.org/training/003jH
00Aas,3r1rk1/1p2q1pp/5p2/8/1P1n4/6Q1/PPbB1PPP/R2B1RK1 w KQkq - 0 1,d1c2 d4e2 g1h1 e2g3 f2g3 d8d2,https://lichess.org/training/00Aas
01lB9,1qkr3r/pp1b2p1/5p2/3Pn2p/2Pp1B2/P2B2P1/1Q3P1P/1R3RK1 w KQkq - 0 1,b2d4 e5f3 g1g2 f3d4 f4b8 c8b8,https://lichess.org/training/01lB9
02XhI,2kr3r/1pp2p2/2qp2p1/1N6/PP6/8/2P2QnP/R5K1 b KQkq - 0 1,h8h2 b5a7 c8b8 a7c6 b7c6 g1h2,https://lichess.org/training/02XhI
02ovT,r4rk1/pp3ppp/2npb1q1/2pNp3/4P2P/3P1Q2/PPP2PP1/2KR3R b KQkq - 0 1,c6d4 d5e7 g8h8 e7g6 f7g6 f3e3,https://lichess.org/training/02ovT
03Lh3,8/6pp/6k1/3p4/3Q4/1qn4P/5PP1/3R2K1 w KQkq - 0 1,d1d3 c3e2 g1f1 e2d4 d3b3 d4b3,https://lichess.org/training/03Lh3
05c89,8/1p5k/p4q1p/3n4/1P4Q1/P2P2P1/1R4KP/8 w KQkq - 0 1,b2f2 d5e3 g2h3 e3g4 f2f6 g4f6,https://lichess.org/training/05c89
06Uu3,8/2Qbrkp1/2p1qpp1/1p2p3/4P3/2P2N2/5RP1/6K1 b KQkq - 0 1,d7e8 f3g5 f7g8 g5e6 e7c7 e6c7,https://lichess.org/training/06Uu3
06V1F,4r1k1/pb5q/2p3pB/2Pp3B/1P1np3/P5Q1/6P1/5RK1 w KQkq - 0 1,h5g6 d4e2 g1f2 e2g3 g6h7 g8h7,https://lichess.org/training/06V1F
09amb,4k1r1/1ppb1p2/p3p3/3nn3/7Q/P1qB4/2PN1PPP/3R1RK1 w KQkq - 0 1,d2e4 e5f3 g1h1 f3h4 e4c3 d5c3,https://lichess.org/training/09amb
09zAC,3rr1k1/p1q1b1pp/1p3p2/2p1p3/1PP1Pn2/P1Q2N1P/3R1PP1/1B1R2K1 w KQkq - 0 1,d2d8 f4e2 g1h2 e2c3 d8e8 g8f7,https://lichess.org/training/09zAC
0BCqI,2r1r1k1/p4p2/5Q2/3pPN1p/6q1/1P6/P5PP/4R2K b KQkq - 0 1,e8e6 f5h6 g8h7 h6g4 e6f6 g4f6,https://lichess.org/training/0BCqI
0Cvkh,5rk1/1p3p2/2pN4/p3P1p1/3PQ1n1/P5q1/1P4P1/3KR3 w KQkq - 0 1,d6f5 g4f2 d1c2 f2e4 f5g3 e4g3,https://lichess.org/training/0Cvkh
0EWR4,2kr1b1r/pp6/2q5/2pNp2p/1PPnP1p1/P1Q5/3RBPP1/3R2K1 b KQkq - 0 1,f8h6 d5e7 c8c7 e7c6 d4e2 d2e2,https://lichess.org/training/0EWR4
0FKAQ,r2r2k1/2p3pp/1p2p3/pPPq1p2/P5n1/1N3PP1/2Q1P1KP/R4R2 w KQkq - 0 1,e2e4 g4e3 g2f2 e3c2 e4d5 c2a1,https://lichess.org/training/0FKAQ
0H7M7,2k4r/ppp2ppp/2n1q3/1B6/4nP2/2P1B2P/P1P1Q1P1/3R3K w KQkq - 0 1,b5c6 e4g3 h1h2 g3e2 c6d7 e6d7,https://lichess.org/training/0H7M7
0IDcd,4r1k1/ppp2pp1/1r1n2np/8/3N3R/P1PQP3/1B1RKPP1/8 w KQkq - 0 1,h4h1 g6f4 e2e1 f4d3 d2d3 b6b2,https://lichess.org/training/0IDcd
0IyTY,r1b2rk1/5pp1/p5qp/1p1PnNbN/2p1PR2/8/PPB1Q1PP/R5K1 b KQkq - 0 1,g5f4 f5e7 g8h8 e7g6 f7g6 h5f4,https://lichess.org/training/0IyTY
0JRSK,r1b2rk1/p1p1bp1p/2p3p1/3q4/4pQN1/8/PPPP1PPP/R1B1K2R b KQkq - 0 1,e7d6 g4f6 g8g7 f6d5 d6f4 d5f4,https://lichess.org/training/0JRSK
0KUWC,1k6/ppp5/3q4/4N3/3P1p2/1PP3rp/P4Q1K/8 b KQkq - 0 1,d6f6 e5d7 b8c8 d7f6 g3g2 f2g2,https://lichess.org/training/0KUWC
0Kp1D,2kr3r/1pp2p1p/p1n3q1/3NP3/3P1B2/5Qn1/PPP3PR/R3K3 b KQkq - 0 1,c6d4 d5e7 c8d7 e7g6 d4f3 g2f3,https://lichess.org/training/0Kp1D
0M5hf,4r3/1Q4k1/6p1/2qpnp2/5N2/1P3PP1/6K1/5R2 b KQkq - 0 1,e8e7 f4e6 g7f7 e6c5 e7b7 c5b7,https://lichess.org/training/0M5hf
0MtG8,rn1q1rk1/pp3pp1/2p1p3/4P2p/5B2/2n3Q1/PPP2PPP/3R1RK1 w KQkq - 0 1,d1d8 c3e2 g1h1 e2g3 h2g3 f8d8,https://lichess.org/training/0MtG8
0N37P,r4b1r/1p1n2pb/p1k1N3/q1pp1PBB/1n1P1Q1P/2N5/PP6/2K2R1R w KQkq - 0 1,d4c5 b4d3 c1b1 d3f4 e6d4 c6c7,https://lichess.org/training/0N37P
0Nk9f,r6r/pk1qp1pp/1p1pN3/3Pn3/5Q2/4B3/PP3PPP/R3K2R w KQkq - 0 1,a1c1 e5d3 e1d2 d3f4 c1c7 d7c7,https://lichess.org/training/0Nk9f
0O1K3,8/7p/5P2/5NK1/2k1q3/2n1P3/6P1/8 b KQkq - 0 1,c3d5 f5d6 c4d3 d6e4 d3e4 f6f7,https://lichess.org/training/0O1K3
0OJgf,1r3rk1/p4ppp/2Np2q1/2p5/8/B1P5/5PPP/1RR3K1 b KQkq - 0 1,b8b1 c6e7 g8h8 e7g6 h7g6 c1b1,https://lichess.org/training/0OJgf
0P9hl,r3r1k1/2p2pp1/3q1n1p/p3p3/P2nP1bB/1BQP4/2PN1PPP/R4RK1 w KQkq - 0 1,d2c4 d4e2 g1h1 e2c3 c4d6 c7d6,https://lichess.org/training/0P9hl
0QQxp,1r2k2r/2p1q1p1/p4p1p/4p3/1n6/pPQPBN1P/2P2PP1/2KR3R w KQkq - 0 1,e3c5 b4a2 c1d2 a2c3 c5e7 c3d1,https://lichess.org/training/0QQxp
0R5a0,4k1r1/pp1b1pb1/3pq2p/3N4/2r1P3/4BN2/PPP3Q1/2K3R1 b KQkq - 0 1,d7c6 d5c7 e8d7 c7e6 g7b2 c1b2,https://lichess.org/training/0R5a0
0SEEa,r1b1r1k1/5q2/2p2p2/p1Np1Npp/3PpbP1/P1Q2P1P/1PP3K1/3RR3 b KQkq - 0 1,h5g4 f5h6 g8g7 h6f7 g4f3 g2f2,https://lichess.org/training/0SEEa
0T6In,8/6k1/8/p1p1p1pp/3p4/3Bq1N1/PPP3K1/8 b KQkq - 0 1,h5h4 g3f5 g7f6 f5e3 d4e3 g2f3,https://lichess.org/training/0T6In
0VKcv,3rk1q1/ppp4p/4pP2/4p3/4P3/3B1Q1P/P1R2P2/1n3K2 w KQkq - 0 1,c2c7 b1d2 f1e2 d2f3 f6f7 g8f7,https://lichess.org/training/0VKcv
0Vu1X,8/8/5k2/8/5N2/3K1P2/8/4q3 b KQkq - 0 1,e1b4 f4d5 f6f5 d5b4 f5f4 d3e2,https://lichess.org/training/0Vu1X
0VyIu,5r2/2p1Q1k1/6b1/p1N5/5q1p/1P1p4/P5PP/4R1K1 b KQkq - 0 1,f8f7 c5e6 g7h6 e6f4 f7e7 e1e7,https://lichess.org/training/0VyIu
0WcHO,2kr3r/pp3ppp/2n1p3/1N1p4/8/PB1PQPn1/1PP1KRq1/R1B5 w KQkq - 0 1,e2d2 g3f1 d2e1 f1e3 f2g2 e3g2,https://lichess.org/training/0WcHO
0XG4L,3rr1k1/1p3pbp/1qpp2p1/p6B/2PnP3/1PN4P/P2Q2PB/1R1R2K1 w KQkq - 0 1,c3a4 d4f3 g1h1 f3d2 a4b6 d2b1,https://lichess.org/training/0XG4L
