003if,8/3q1kpp/1P2p3/4Q3/5P2/4B2P/2r3PK/8 b KQkq - 0 1,d7b7 e5h5 f7e7 e3c5 c2c5 h5c5,https://lichess.org/training/003if
004nd,3q2k1/2r5/pp3p1Q/2b1n3/P3N3/2P5/1P4PP/R6K b KQkq - 0 1,c7d7 e4f6 d8f6 h6f6,https://lichess.org/training/004nd
00MwU,3r1b1R/ppq3p1/2k3P1/3p4/1P1Q4/4PP2/P1P5/2K5 b KQkq - 0 1,a7a6 h8f8 d8f8 d4c5 c6d7 c5f8,https://lichess.org/training/00MwU
00T85,8/8/8/8/8/4K3/1k3Q2/1q6 b KQkq - 0 1,b2c1 f2d2,https://lichess.org/training/00T85
00ZR6,8/1pr2pk1/3R1np1/6p1/p5Pn/1B2P2P/P3qP2/3R2KQ w KQkq - 0 1,d6d2 h4f3 h1f3 e2f3,https://lichess.org/training/00ZR6
00ZeT,1Q1k4/4r3/2q4p/2p1pp1P/2Bb4/1P6/P6K/4R3 b KQkq - 0 1,d8d7 c4b5 c6b5 b8b5,https://lichess.org/training/00ZeT
00hsd,5k2/p4p2/1p6/3p1R2/7Q/P2Pr1KP/6P1/6q1 w KQkq - 0 1,f5f3 g1e1 g3g4 e1h4 g4h4 e3f3,https://lichess.org/training/00hsd
00l68,3k2Q1/q7/3pB1p1/2pP1p2/2P2P2/rp2PK1P/8/8 b KQkq - 0 1,d8c7 g8c8 c7b6 c8c6 b6a5 c6b5,https://lichess.org/training/00l68
015Ft,8/1k6/p7/2Q4P/p2K1P2/1q6/8/8 w KQkq - 0 1,c5d5 b3d5 d4d5 a4a3 h5h6 a3a2,https://lichess.org/training/015Ft
01QgQ,r1qk4/pp4Q1/2p1p3/4Pp1B/7P/6P1/P5K1/8 b KQkq - 0 1,c6c5 g7f8 d8c7 f8d6,https://lichess.org/training/01QgQ
01Vce,2r4r/6b1/8/1b1pPQ1k/2p2P2/4P3/PP1B3q/2K5 b KQkq - 0 1,h5h4 d2e1 h2g3 f5g5 h4h3 g5g3,https://lichess.org/training/01Vce
01eFU,8/6pk/8/8/Q2Pp3/P1P5/1PK1q3/8 w KQkq - 0 1,c2b3 e2d1 b3b4 d1a4 b4a4 e4e3,https://lichess.org/training/01eFU
01miF,8/pp6/2q1r1kp/P4p2/2p2Q2/2P3P1/5P1K/3R4 b KQkq - 0 1,e6e4 d1d6 c6d6 f4d6,https://lichess.org/training/01miF
01nLm,8/4p1k1/5pp1/4pb1p/2B1N2P/p7/2qNK3/5Q2 w KQkq - 0 1,f1f3 f5g4 f3g4 h5g4,https://lichess.org/training/01nLm
01uIa,2r2rk1/1p4p1/p3p2p/3p1p1q/8/2P1R3/PP1N1P2/RQ3K2 w KQkq - 0 1,d2f3 f5f4 e3d3 e6e5,https://lichess.org/training/01uIa
025y9,5rk1/6pp/pqp1p3/4P3/2K5/2P3P1/PP2Q2P/3R4 w KQkq - 0 1,b2b4 b6b5 c4b3 b5e2,https://lichess.org/training/025y9
02Hwz,5k2/2Q2p1p/4pnp1/8/2KP4/P1N2q2/2P4P/8 w KQkq - 0 1,a3a4 f3c3 c4c3 f6d5 c3d2 d5c7,https://lichess.org/training/02Hwz
02WQg,6k1/1PQ2p2/6pp/8/8/3q1KP1/6P1/8 w KQkq - 0 1,f3f4 g6g5 f4e5 d3g3,https://lichess.org/training/02WQg
02tqI,4Q3/pb2Rpkn/1pr2q2/3p3P/3p4/3P2PB/PPP2P2/6K1 b KQkq - 0 1,c6c2 h5h6 g7h6 e7f7 c2f2 f7f6,https://lichess.org/training/02tqI
0300T,r2qk2r/pppb2p1/2n1pbQp/8/8/P1N1BN1P/1PP2PP1/R3K2R b KQkq - 0 1,e8e7 e3c5,https://lichess.org/training/0300T
033xz,rn2k2r/pp2qppp/2p2n2/2b2p2/2BP4/5N2/PPPK1PPP/R1BQ3R w KQkq - 0 1,d4c5 f6e4 d2e1 e4c3,https://lichess.org/training/033xz
03Njs,2r4r/4qp2/p1p2k2/8/4p1Q1/6R1/PP3PPP/6K1 b KQkq - 0 1,c8g8 g4f4 f6e6 f4e4 e6d7 g3d3 d7e8 e4c6,https://lichess.org/training/03Njs
03SUf,r2q3r/pp2kpp1/2n1pb2/3p4/3n2Q1/2NB4/PPPB1PPP/3RR1K1 b KQkq - 0 1,f6e5 e1e5 c6e5 g4d4,https://lichess.org/training/03SUf
03VTn,rnbq1b1r/pppk2pp/5n2/4Q3/4P3/6P1/PPP2P1P/RNB1KB1R b KQkq - 0 1,b8c6 f1h3 f6g4 h3g4,https://lichess.org/training/03VTn
03VxU,7Q/pp3k2/8/3pn1p1/3P4/6PK/PP2q2P/8 w KQkq - 0 1,d4e5 g5g4 h3h4 e2h2 h4g4 h2h8,https://lichess.org/training/03VxU
03gc3,8/2P3p1/7k/8/1P2npKP/4q2P/2Q5/8 w KQkq - 0 1,c7c8q e3g3 g4f5 e4d6 f5e5 f4f3 e5d5 d6c8 c2c8 g3f4,https://lichess.org/training/03gc3
03yQX,r3r3/p5bk/2p4p/NpPp1pp1/1P1P1Rbq/P3P3/3B2B1/R2Q2K1 w KQkq - 0 1,f4g4 f5g4 d1c2 h7h8 d2e1 g4g3 e1g3 h4g3,https://lichess.org/training/03yQX
044wo,4kb1r/6p1/r3p1P1/1pp5/3p4/1PnP3P/1BP4Q/1qKR1B1R w KQkq - 0 1,c1d2 b1d1,https://lichess.org/training/044wo
047Qs,2kr3r/4q1pp/1Q3p2/3pp3/P7/2R1PP2/3P1P1P/6K1 b KQkq - 0 1,c8d7 b6c6,https://lichess.org/training/047Qs
04OE3,rnbq3r/pppnk3/4p1Bp/3p2p1/3Q4/6B1/PPP2PPP/RN3RK1 b KQkq - 0 1,b8c6 d4g7,https://lichess.org/training/04OE3
04WpL,N1bk1bnr/pp3pp1/3N3p/4p3/4q3/4B3/PPn2PPP/R2QKB1R w KQkq - 0 1,e1e2 c8g4 e2d2 e4b4 d2c2 g4d1 a1d1 f8d6,https://lichess.org/training/04WpL
04dFj,2r2rk1/1b1n1pp1/p3p2p/qp1pP3/8/3BPNP1/PP1KQPP1/3R3R w KQkq - 0 1,b2b4 a5b4,https://lichess.org/training/04dFj
05C6e,6rk/1Bp2p2/p2p1p2/1pb1p2P/3nP2N/3P2Pq/PPP1N3/R2QK3 w KQkq - 0 1,h4f5 d4f3,https://lichess.org/training/05C6e
05CdA,r1b2rk1/2p2pp1/p1n4p/2b5/2P1B3/PP2P1qP/1B1N4/R2QK1NR w KQkq - 0 1,e1e2 g3e3 e2f1 e3f2,https://lichess.org/training/05CdA
05J9x,1k5r/1Bp3p1/3r4/1Q1npp2/P7/1P3P1p/N4PqP/R1R2K2 w KQkq - 0 1,f1e2 d5f4 e2e3 d6d3 b5d3 f4d3,https://lichess.org/training/05J9x
05aFa,1b1r1r1k/pP4p1/8/5n2/PP2Pp2/5N2/Q3KPqN/2R1R3 w KQkq - 0 1,e1g1 f5g3 e2e1 f8e8,https://lichess.org/training/05aFa
05bIJ,3r4/p2P3p/8/6Q1/2k1B2P/P7/1qp3PK/8 b KQkq - 0 1,c2c1q g5d5 c4c3 d5d3,https://lichess.org/training/05bIJ
05bV8,2k1r3/pp1r4/2p2p1p/3pP2q/3P4/3B2R1/P2QKP2/R7 w KQkq - 0 1,f2f3 h5h2 e2d1 h2g3,https://lichess.org/training/05bV8
05jeK,8/8/8/1pQ5/pP2K3/Pk4P1/8/3q4 w KQkq - 0 1,c5d5 d1d5 e4d5 b3a3,https://lichess.org/training/05jeK
05u6t,6k1/p4ppp/1p6/3pP3/3n4/Pq2R3/3B4/R1rK1Q2 w KQkq - 0 1,d1c1 b3c2,https://lichess.org/training/05u6t
05wr2,r1bqk3/2p1bp2/p1Pp4/3P3Q/PPB2p2/8/5PrP/R3K2R b KQkq - 0 1,c8g4 h5h8 e7f8 e1f1 d8e7 a1e1 e7e1 f1e1,https://lichess.org/training/05wr2
05yvn,2kr4/p3Rp2/Pp4p1/3P1b2/2P4Q/2q2K2/5PP1/5B2 w KQkq - 0 1,f3f4 d8h8 h4g3 c3f6,https://lichess.org/training/05yvn
060hl,8/k2N2p1/1r2P2p/2Q5/1r6/3R4/P1K5/4q3 w KQkq - 0 1,d7b6 e1b1 c2d2 b4b2,https://lichess.org/training/060hl
064Uf,r1b2Q2/1p1k4/p1pB1b1p/P3Nqp1/3P4/2P5/5PPP/6K1 b KQkq - 0 1,d7e6 f8f7 e6d6 e5c4,https://lichess.org/training/064Uf
066sL,r2q4/p2bk3/4pR2/2pp3Q/2nP4/8/PPP4P/R6K b KQkq - 0 1,e7f6 h5h4 f6f7 h4h7 f7e8 a1g1 d8f6 g1g8,https://lichess.org/training/066sL
06Yag,2r5/p3n3/1p1RPk2/8/7Q/4K3/Pq3r1P/6R1 b KQkq - 0 1,f6e5 h4g3 f2f4 g3f4,https://lichess.org/training/06Yag
06Z0G,2R3nr/2brk2q/3P1p2/1QP1n3/4P3/2B3pp/2PN3p/5R1K b KQkq - 0 1,c7d6 c5d6 e7f7 c3e5,https://lichess.org/training/06Z0G
