0Gh5x,5bk1/5n1p/2Np2p1/3Q4/p1P2PP1/P3BK1P/8/1q6 w KQkq - 0 1,c6d8 b1h1 f3e2 h1d5 c4d5 f7d8,https://lichess.org/training/0Gh5x
0R2L1,4Q3/5p2/7p/4k3/8/6PK/pq3P2/8 b KQkq - 0 1,e5f6 e8h8 f6e7 h8b2 a2a1q b2a1,https://lichess.org/training/0R2L1
0R563,8/8/Q7/1r1R1PK1/8/8/8/2q2k2 w KQkq - 0 1,g5f6 c1h6 f6f7 h6a6 d5b5 a6b5,https://lichess.org/training/0R563
0ZgqY,8/6k1/2N3p1/1P2Q3/2K5/8/6b1/7q b KQkq - 0 1,g7h6 e5h8 h6g5 h8h1 g2h1 c4c5,https://lichess.org/training/0ZgqY
0gqSS,8/Q7/p7/Pk2N3/8/2PPK3/8/2q5 w KQkq - 0 1,e3d4 c1g1 d4d5 g1a7 c3c4 b5a4,https://lichess.org/training/0gqSS
0muK1,8/6p1/p1Q1k2p/8/8/1P5P/P2pq1P1/6K1 b KQkq - 0 1,e6e5 c6e8 e5d4 e8e2 d2d1q e2d1,https://lichess.org/training/0muK1
0xrTe,8/8/5k2/5pQp/7K/2q3P1/2p5/8 b KQkq - 0 1,f6e5 g5g7 e5e4 g7c3 c2c1q c3c1,https://lichess.org/training/0xrTe
13Bys,1r3r2/1q2bk2/5pp1/1P2p3/NBP3P1/3P1P1Q/4PK2/1R6 b KQkq - 0 1,e7b4 h3h7 f7e6 h7b7 b8b7 b1b4,https://lichess.org/training/13Bys
140Mt,5Q2/7P/8/1p6/1k6/5P2/4K3/q6r b KQkq - 0 1,b4a5 f8a8 a5b4 a8a1 h1a1 h7h8q,https://lichess.org/training/140Mt
1Djaz,4Q3/5p2/5kp1/7p/5P2/p5P1/1q3PK1/8 b KQkq - 0 1,a3a2 e8h8 f6e7 h8b2 a2a1q b2a1,https://lichess.org/training/1Djaz
1JcHx,8/4k1Q1/4pp2/3p3P/2nP4/q3PK2/8/8 b KQkq - 0 1,e7d6 g7f8 d6c6 f8a3 c4a3 h5h6 a3c4 h6h7,https://lichess.org/training/1JcHx
1QUQu,6Q1/1K6/8/8/5p2/5Pk1/8/7q b KQkq - 0 1,g3f3 g8d5 f3e2 d5h1 f4f3 h1h5,https://lichess.org/training/1QUQu
1RwlD,r3q2r/pppkb1R1/4p3/4P2p/2PP4/4B1nP/PP4P1/R2Q2K1 b KQkq - 0 1,h8g8 d1a4 d7c8 a4e8 g8e8 g7g3,https://lichess.org/training/1RwlD
1ZQtS,1q4k1/6p1/p1p1Pp1p/2Np1Pn1/3P4/5N2/P1Q2K1P/8 w KQkq - 0 1,f3g5 b8h2 f2e3 h2c2 e6e7 c2c1,https://lichess.org/training/1ZQtS
1harO,q7/P6k/6pp/8/8/2p3P1/5P1P/Q3K3 w KQkq - 0 1,e1d1 a8h1 d1c2 h1a1 a7a8q a1a8,https://lichess.org/training/1harO
1uHuW,8/8/2p2Q1k/2P3p1/1P4pq/4P3/8/5K2 b KQkq - 0 1,h6h5 f6h8 h5g6 h8h4 g5h4 b4b5 c6b5 c5c6,https://lichess.org/training/1uHuW
23mQX,8/8/6p1/5q1p/1Q1k4/5PK1/6P1/8 b KQkq - 0 1,d4d3 b4b1 d3e3 b1f5 g6f5 g3h3 h5h4 h3h4,https://lichess.org/training/23mQX
2Q13z,q3k3/6pp/5p2/5P2/3Pp1P1/pQ4K1/7P/8 b KQkq - 0 1,a3a2 b3g8 e8d7 g8a8 a2a1q a8a1,https://lichess.org/training/2Q13z
2WmrI,8/5K2/8/1Q6/2p5/1k6/8/q7 b KQkq - 0 1,b3c3 b5e5 c3d2 e5a1 c4c3 a1a5,https://lichess.org/training/2WmrI
2XgGz,2q5/6k1/8/4Q3/3P4/3K4/2p5/8 b KQkq - 0 1,g7f8 e5h8 f8e7 h8c8 c2c1q c8c1,https://lichess.org/training/2XgGz
2Xl0W,8/5QP1/p1k5/8/P1p1pP2/1KP1P3/5q2/8 w KQkq - 0 1,b3c4 f2a2 c4d4 a2f7 g7g8q f7g8,https://lichess.org/training/2Xl0W
2i80k,8/5p2/1Q2k1p1/4PpPp/5P1P/Pp3q2/1Kp5/8 b KQkq - 0 1,e6d5 b6b7 d5c5 b7f3 c2c1q b2c1,https://lichess.org/training/2i80k
36J6W,6Q1/8/6k1/1p1nqp2/3p4/5P1N/2p2KP1/8 b KQkq - 0 1,g6f6 g8h8 f6g6 h8e5 c2c1q e5d5,https://lichess.org/training/36J6W
36taA,8/8/4kpQ1/8/3p4/6PP/4q3/6K1 b KQkq - 0 1,d4d3 g6e8 e6d5 e8e2 d3e2 g1f2 e2e1q f2e1,https://lichess.org/training/36taA
3Jbgg,7Q/8/8/5PK1/8/8/6q1/6k1 w KQkq - 0 1,g5f6 g2b2 f6e7 b2h8 f5f6 h8h4,https://lichess.org/training/3Jbgg
3QWA4,4Q3/5pk1/3b2pB/3p4/3qnP2/1p6/1P4P1/7K b KQkq - 0 1,g7f6 e8h8 f6e6 h8d4 e4g3 h1h2,https://lichess.org/training/3QWA4
3gmHO,5kr1/p6q/3pNb2/3Qpp2/1p1p2rP/3P2P1/PPP5/4RRK1 b KQkq - 0 1,f8e7 d5b7 e7e6 b7h7 g4g3 g1h2 g3g2 h2h1,https://lichess.org/training/3gmHO
3hPmm,8/p3PQpk/1p6/6K1/6P1/7P/P2q4/8 w KQkq - 0 1,g5f5 d2f2 f5e5 f2f7 e7e8q f7e8,https://lichess.org/training/3hPmm
3mpdF,6k1/pp3ppp/8/P2N4/8/P4P1q/2QK2r1/R2R4 w KQkq - 0 1,d2c3 h3c8 c3b4 c8c2 d5e3 c2b2,https://lichess.org/training/3mpdF
3palr,5q2/1P6/8/2P3Q1/1K6/5k2/7p/8 b KQkq - 0 1,h2h1q g5d5 f3f2 d5h1 f8f4 b4b5,https://lichess.org/training/3palr
4NJaF,8/1b6/1p6/p1p1nk1Q/P1P5/1P4P1/2q2p1K/5B2 b KQkq - 0 1,f5e4 h5h7 e4d4 h7c2 e5f3 h2h3,https://lichess.org/training/4NJaF
4OKbx,8/8/8/2p2Q2/7K/6P1/3p1k2/6q1 b KQkq - 0 1,f2e3 f5c5 e3e2 c5g1 d2d1q g1d1,https://lichess.org/training/4OKbx
4S3eS,8/2Q3pp/4pkr1/p4p2/5P1q/4PRNP/6r1/5K2 b KQkq - 0 1,g6g3 c7d8 f6f7 d8h4 g3f3 f1g2,https://lichess.org/training/4S3eS
4lpyZ,6k1/PQ3pp1/8/7p/3pK3/4qPP1/7P/8 w KQkq - 0 1,e4d5 e3f3 d5c4 f3b7 a7a8q b7a8,https://lichess.org/training/4lpyZ
5EpTv,3rR3/5ppk/2p4p/3r4/1R6/P1P5/qP3PPP/2K1Q3 w KQkq - 0 1,e8d8 a2a1 c1c2 a1e1 d8d5 c6d5,https://lichess.org/training/5EpTv
5PhsS,r1b2rk1/pp2b1B1/4Pp2/2p2P1Q/3p4/3P3R/P1q1K1PP/RN6 w KQkq - 0 1,e2f3 c2d1 f3f2 d1h5 h3h5 g8g7,https://lichess.org/training/5PhsS
5PkiD,r7/pp3p1p/2k5/1Qb5/P6P/5q1b/3B1P1P/6K1 b KQkq - 0 1,c6d5 b5b7 d5d6 b7f3 a8g8 d2g5,https://lichess.org/training/5PkiD
5Tze5,r7/5Q1P/8/4P3/q1kP4/8/6PK/8 b KQkq - 0 1,c4d4 f7f4 d4d5 f4a4 a8a4 h7h8q,https://lichess.org/training/5Tze5
5sNNn,8/p1QP4/1p6/1k1K1q2/8/8/P6P/8 w KQkq - 0 1,d5d6 f5f4 d6d5 f4c7 d7d8q c7d8,https://lichess.org/training/5sNNn
68vGl,8/7Q/5kp1/1p3p2/2p1p1P1/P6K/5R2/1q6 w KQkq - 0 1,g4f5 b1h1 h3g3 h1h7 f5g6 f6g6,https://lichess.org/training/68vGl
6Gc8H,8/1q2k1b1/4p3/3r1p1Q/1P5P/2R2PPK/r7/1R6 b KQkq - 0 1,g7c3 h5h7 e7f6 h7b7 d5d2 b1h1,https://lichess.org/training/6Gc8H
6UrMg,2k2qr1/Qpp2p2/5n2/2p4p/4P2P/2PP1bB1/PP4P1/R5K1 b KQkq - 0 1,g8g3 a7a8 c8d7 a8f8 g3g2 g1f1,https://lichess.org/training/6UrMg
6Z33s,5k2/P7/4q3/8/Q7/4K3/8/8 w KQkq - 0 1,e3d4 e6g4 d4d3 g4a4 a7a8r a4a8,https://lichess.org/training/6Z33s
6wYyZ,Q7/8/2p2rk1/7p/2P5/1PB4r/2K3p1/8 b KQkq - 0 1,g2g1q a8g8 g6f5 g8g1 h3c3 c2c3,https://lichess.org/training/6wYyZ
7TEVw,q7/3k1p2/6p1/7p/3Q3P/6P1/p4P2/6K1 b KQkq - 0 1,d7c6 d4e4 c6d6 e4a8 a2a1q a8a1,https://lichess.org/training/7TEVw
7XtSE,8/4k3/8/5P2/4p2p/q1P1N3/6Q1/2K5 w KQkq - 0 1,c1c2 a3a2 c2c1 a2g2 e3g2 h4h3 g2f4 h3h2,https://lichess.org/training/7XtSE
7oaGe,8/3k1K1q/1p6/1P1BQ3/2pP1p2/2n1P1P1/8/8 w KQkq - 0 1,f7f6 h7h8 f6f7 h8e5 d5c6 d7c7 d4e5 f4e3 e5e6 e3e2,https://lichess.org/training/7oaGe
7qzqq,5r2/2R2Pk1/p5p1/6Q1/5P2/5K1P/8/3q4 w KQkq - 0 1,f3g3 d1g1 g3f3 g1g5 f4g5 f8f7 c7f7 g7f7,https://lichess.org/training/7qzqq
80fFX,8/6pp/8/5k2/2P3Q1/2q2P1P/P2p1PK1/3r4 b KQkq - 0 1,f5e5 g4g7 e5e6 g7c3 d1g1 g2g1,https://lichess.org/training/80fFX
86YR0,6k1/1R4pp/1n6/1PNq3n/3p4/3P2P1/4P2P/2Q2rK1 w KQkq - 0 1,g1f1 d5h1 f1f2 h1c1 b7b8 g8f7,https://lichess.org/training/86YR0
