048Un,6k1/6p1/8/Q7/P4PK1/6P1/8/3q4 w KQkq - 0 1,g4f5 d1h5 f5e4 h5a5,https://lichess.org/training/048Un
09orT,1q3k2/5p2/R2nb3/4Q2p/3pP3/1pbB4/5PP1/6K1 b KQkq - 0 1,b3b2 e5h8 f8e7 h8b8,https://lichess.org/training/09orT
0E1aH,5r1k/2pR2pp/4Q3/1p6/8/1N3bN1/P4K1P/1q6 w KQkq - 0 1,f2e3 b1e1 e3d3 e1e6,https://lichess.org/training/0E1aH
0EBQb,1r3r1k/p2R1Rp1/2q5/2p4p/2B5/PP3KPP/Q7/8 w KQkq - 0 1,f3e2 c6g2 e2d1 g2a2,https://lichess.org/training/0EBQb
0ECIN,1R4nk/8/5p1B/1p1p4/4q1PQ/5K1P/8/8 w KQkq - 0 1,f3g3 e4e1 g3g2 e1h4,https://lichess.org/training/0ECIN
0FZKJ,8/8/8/1Q4p1/2p2p2/1k6/6PK/q7 b KQkq - 0 1,b3c3 b5e5 c3c2 e5a1,https://lichess.org/training/0FZKJ
0G0iB,8/4Q3/3K4/3P2k1/2r1P3/8/8/6q1 b KQkq - 0 1,g5g4 e7g7 g4f3 g7g1,https://lichess.org/training/0G0iB
0Lnna,5rk1/1p3pp1/p6p/3p1N2/5P2/P3PP1q/1PQ2K2/R7 w KQkq - 0 1,a1b1 h3h2 f2e1 h2c2,https://lichess.org/training/0Lnna
0NNlZ,2r4k/1p3ppP/p2b2q1/8/N3p3/1P2P2P/P3KR2/3QB3 w KQkq - 0 1,a4b6 g6h5 e2f1 h5d1,https://lichess.org/training/0NNlZ
0R14g,3Q4/p5p1/5k2/4pP1p/2P5/6PK/5q1P/8 b KQkq - 0 1,f6f5 d8f8 f5e4 f8f2,https://lichess.org/training/0R14g
0VWiR,2Q5/8/6k1/8/7p/PK6/1P4pr/8 b KQkq - 0 1,g2g1q c8g8 g6f5 g8g1,https://lichess.org/training/0VWiR
0YKTb,8/8/5k1Q/3p2p1/3P4/6P1/4pq2/7K b KQkq - 0 1,f6f5 h6f8 f5e4 f8f2,https://lichess.org/training/0YKTb
0YWB4,7k/ppQ3pp/8/6P1/1P4K1/P1P2P2/7P/6q1 w KQkq - 0 1,g4f4 g1h2 f4e3 h2c7,https://lichess.org/training/0YWB4
0ahD3,2k5/p7/p1PQ4/5p1q/2P2P2/8/4KB2/8 w KQkq - 0 1,e2d3 h5d1 d3c3 d1d6,https://lichess.org/training/0ahD3
0brPc,1k6/2p5/1p1p4/1P6/2P1PQ2/3PKR2/1q4r1/8 w KQkq - 0 1,f3f2 b2c1 e3e2 c1f4,https://lichess.org/training/0brPc
0fo2P,8/7Q/2q2k2/1p3pp1/8/7P/6PK/8 b KQkq - 0 1,b5b4 h7h6 f6e5 h6c6,https://lichess.org/training/0fo2P
0l2WC,8/4k1pp/5p2/3Q1P2/3P2PP/2P3K1/8/4q3 w KQkq - 0 1,g3f3 e1h1 f3e2 h1d5,https://lichess.org/training/0l2WC
0lIyW,r5r1/1ppqk3/2np2n1/p1bPp2Q/8/P2P1N2/1PP2PPP/R4RK1 b KQkq - 0 1,g6f4 h5h7 e7f6 h7d7,https://lichess.org/training/0lIyW
0lNrO,1b6/5Qp1/7p/8/pk3N2/6P1/P4PKP/1q6 b KQkq - 0 1,b8f4 f7b7 b4a3 b7b1,https://lichess.org/training/0lNrO
