0AX0c,6r1/1b1qkn1Q/pp2p3/3p4/2p5/2P5/PPB4K/5R2 b KQkq - 0 1,g8h8 f1f7 e7e8 f7d7 h8h7 d7h7,https://lichess.org/training/0AX0c
0AfGR,8/1r6/8/8/3p1Q2/2kP1P1K/7r/8 w KQkq - 0 1,f4h2 b7h7 h3g2 h7h2 g2h2 c3d3 f3f4 d3e4 f4f5 e4f5,https://lichess.org/training/0AfGR
0HCoP,r3k1n1/ppp5/6P1/6B1/8/2P2n2/PP3P1r/RN1Q2K1 w KQkq - 0 1,g1f1 h2h1 f1e2 h1d1 e2d1 f3g5,https://lichess.org/training/0HCoP
0WgdG,8/R6P/ppp1p2K/2k3P1/1r6/7n/8/8 w KQkq - 0 1,h7h8q b4h4 h6g7 h4h8 g7h8 h3g5,https://lichess.org/training/0WgdG
0XpCB,4r1k1/BR3pp1/2p2n1p/8/8/P1P2P2/2PQ1K1P/7r w KQkq - 0 1,b7b8 h1h2 f2g3 h2d2 b8e8 f6e8,https://lichess.org/training/0XpCB
0bMAC,8/7p/5Q2/r4K1k/8/8/8/8 w KQkq - 0 1,f5e6 a5a6 e6e7 a6f6 e7f6 h5g4,https://lichess.org/training/0bMAC
0hQa5,8/pp1Q4/5pnk/3Pp3/4P3/P4KP1/1P4P1/7r w KQkq - 0 1,d7f5 h1f1 f3g4 f1f5 g4f5 h6g7,https://lichess.org/training/0hQa5
0j52o,2Qb3R/5k2/4p3/1pN5/1P5p/3KP3/6p1/2r5 w KQkq - 0 1,c8d8 c1d1 d3e2 d1d8 h8d8 g2g1q,https://lichess.org/training/0j52o
0kcvA,r2r2k1/1bq5/1p2pNn1/4P3/p7/PnN3P1/1P3P2/1K1R1B1R b KQkq - 0 1,g8f7 h1h7 f7f8 h7c7 d8d1 c3d1,https://lichess.org/training/0kcvA
0nQDa,7k/3Q2p1/p6p/8/1p3PP1/5K2/P1Pp3r/8 w KQkq - 0 1,d7d3 h2h3 f3e2 h3d3 c2d3 g7g6,https://lichess.org/training/0nQDa
0sM96,8/8/4k3/P3p2q/1KR3p1/8/8/8 b KQkq - 0 1,h5g6 c4c6 e6f7 c6g6 f7g6 a5a6,https://lichess.org/training/0sM96
0uIKT,8/2P5/8/2K5/3r1P2/3k4/8/8 w KQkq - 0 1,c7c8q d4c4 c5d5 c4c8 f4f5 d3e3,https://lichess.org/training/0uIKT
0yKrh,1r4k1/p2n1ppp/2pPp1q1/8/3PN1R1/1rP1B1P1/PPK1Q3/8 w KQkq - 0 1,g4g6 b3b2 c2d3 b2e2 g6g7 g8g7,https://lichess.org/training/0yKrh
15atK,rr6/1N6/2p1p3/6R1/6n1/NP1Rn1k1/1P6/2KB2q1 b KQkq - 0 1,b8b7 g5g4 g3h2 g4g1 h2g1 d3e3,https://lichess.org/training/15atK
1X87A,3k1b1r/p4p2/1r1p4/2P2p2/5qp1/1P2R3/P4P2/R2Q1K2 w KQkq - 0 1,c5b6 h8h1 f1e2 h1d1 b6a7 d1d2,https://lichess.org/training/1X87A
1XE9a,1K6/P2r1p2/8/4k3/6P1/5p2/7p/7R w KQkq - 0 1,a7a8q d7d8 b8b7 d8a8 b7a8 f3f2,https://lichess.org/training/1XE9a
1Xc4S,8/7R/p1qk4/1p2p3/3p1N1P/1P6/P4PPK/8 b KQkq - 0 1,e5f4 h7h6 d6d5 h6c6 d5c6 h2g1,https://lichess.org/training/1Xc4S
1a7bo,8/2qR4/2P5/2K2p2/6p1/7k/7P/8 b KQkq - 0 1,c7h2 d7h7 h3g2 h7h2 g2h2 c6c7 g4g3 c7c8q,https://lichess.org/training/1a7bo
1aIgv,8/1kp5/p1n5/1p1Q1P2/1P6/3K4/6P1/r7 w KQkq - 0 1,f5f6 a1d1 d3e4 d1d5 e4d5 c6d8,https://lichess.org/training/1aIgv
1cdEX,r2q1k1r/pp3pp1/2pp4/6N1/3PPp1n/2P2N2/PP6/3K2QR b KQkq - 0 1,h4f3 h1h8 f8e7 h8d8 f3g1 d8a8,https://lichess.org/training/1cdEX
1doT2,R7/1KP5/4pk2/8/3P4/8/5p2/2r5 b KQkq - 0 1,f2f1q a8f8 f6e7 f8f1 c1f1 c7c8q,https://lichess.org/training/1doT2
1k0Vf,2k4r/pppq4/2np4/4p1b1/6nP/1P1P2P1/PBPNQ1K1/R4R2 w KQkq - 0 1,h4g5 h8h2 g2g1 h2e2 f1f8 c6d8,https://lichess.org/training/1k0Vf
