00jXF,r1b1r1k1/ppp2ppp/2nb1q2/4N3/2BPQB2/8/PPP3PP/2KR3R w KQkq - 0 1,c4f7 f6f7 e5f7 e8e4,https://lichess.org/training/00jXF
00rw0,r2q3k/5Pb1/2n3Bp/3p2pP/pp1P2Q1/6B1/1PP5/6K1 b KQkq - 0 1,g7d4 g4d4 c6d4 g3e5 d8f6 e5f6,https://lichess.org/training/00rw0
03Bol,3q1rk1/p3ppbp/6p1/8/P4n2/Q3P3/RPrB1PPP/4KBNR w KQkq - 0 1,g1f3 d8d2 f3d2 c2c1,https://lichess.org/training/03Bol
04pLQ,r2q1k1r/ppp1b1p1/6Bp/3N2N1/2Q2Pb1/8/PP4PP/R1n2K1R b KQkq - 0 1,g4e2 c4e2 c1e2 g5e6 f8g8 e6d8,https://lichess.org/training/04pLQ
08zrd,1k5r/1p2ppbp/3p1np1/qN1Pn3/8/1P1QB3/P3BPPP/5RK1 w KQkq - 0 1,e3a7 a5a7 b5a7 e5d3,https://lichess.org/training/08zrd
0Gd5h,2r4k/pb2prbp/1p4p1/2nN4/2Q5/4B2P/Pq3PP1/2RR1BK1 b KQkq - 0 1,b7a6 c4a6 c5a6 c1c8,https://lichess.org/training/0Gd5h
0H51i,r5q1/pp1k4/3bb1n1/1N2n1B1/4P3/3p2Q1/PP4PP/2R4K b KQkq - 0 1,e5c4 g3d6 c4d6 c1c7 d7e8 b5d6 e8f8 g5h6,https://lichess.org/training/0H51i
0Njo3,2kr3r/ppp1bppp/2n1b3/3qP3/6n1/2P1BN2/PP1NBPPP/R2Q1RK1 w KQkq - 0 1,e2c4 d5c4 d2c4 d8d1 f1d1 e6c4,https://lichess.org/training/0Njo3
0OcM8,2kr4/pppbqp2/3p1nr1/n3p1B1/P3P2P/1BPP1Q2/2PK1PP1/R6R b KQkq - 0 1,d7g4 f3g4 f6g4 g5e7 a5b3 c2b3,https://lichess.org/training/0OcM8
0R6xP,r3k2r/ppq2p2/2b5/4p1np/4B1p1/NP4P1/P1Q2PKN/2R2R2 b KQkq - 0 1,c6e4 c2e4 g5e4 c1c7,https://lichess.org/training/0R6xP
0UYxd,r2q1rk1/pb3ppp/1p2pn2/5nB1/3P4/P2Q1N2/1PB2PPP/3R1RK1 b KQkq - 0 1,b7e4 d3e4 f6e4 g5d8,https://lichess.org/training/0UYxd
0hsjw,r1b1k1r1/p6p/4pp2/q1pnB3/1b6/2NB4/PPPQ1PPP/R3K2R w KQkq - 0 1,d3b5 a5b5 c3b5 b4d2 e1d2 f6e5,https://lichess.org/training/0hsjw
0iXey,2r1kb1r/pbq2ppp/2p2n2/5nN1/1P1Pp3/1BP1Q3/P4PPP/RNB1K2R w KQkq - 0 1,b3f7 c7f7 g5f7 f5e3 c1e3 e8f7,https://lichess.org/training/0iXey
0kCrR,r1b1k1nr/p1pp1pQp/1p6/8/3bq3/8/PPP1BPPP/RNB1K2R w KQkq - 0 1,b1c3 e4e2 c3e2 d4g7,https://lichess.org/training/0kCrR
0pMId,r5k1/pppq1pb1/3p2p1/5nNp/2PPNP2/3Q3P/PP4P1/4R1K1 b KQkq - 0 1,g7d4 d3d4 f5d4 e4f6 g8g7 f6d7,https://lichess.org/training/0pMId
0qGKf,2bq3r/6k1/p3p1n1/1p1pP3/1P1P2P1/3QBN2/5PK1/7R w KQkq - 0 1,e3g5 d8g5 f3g5 g6f4 g2g3 f4d3,https://lichess.org/training/0qGKf
0qcX4,1br1r2k/pR1R2pp/2p2p2/P7/3Pq3/3n1N1P/2Q2PP1/4B1K1 w KQkq - 0 1,d7g7 e4e1 f3e1 e8e1,https://lichess.org/training/0qcX4
0whrG,r4rk1/3q1ppp/pNnp4/1p2b3/4P3/1B5P/PPP3P1/R2Q1RK1 b KQkq - 0 1,e5d4 d1d4 c6d4 b6d7,https://lichess.org/training/0whrG
13UFe,3rk1nr/pp2q1bp/2p3p1/2p1pp1b/4P3/2PPBN1P/PP1NQPP1/R4RK1 w KQkq - 0 1,e3g5 e7g5 f3g5 h5e2,https://lichess.org/training/13UFe
14Mzw,r2q1rk1/1pp3bp/3p2n1/p1nPpb2/2P1N1p1/1PN2PP1/P1Q4P/R1B1RBK1 w KQkq - 0 1,c1g5 d8g5 e4g5 f5c2,https://lichess.org/training/14Mzw
