086r2,5k2/2R5/1PQ5/2Pp1n2/5P2/2b1r3/3K2P1/8 w KQkq - 0 1,d2c2 f5d4 c2b1 e3e1 b1a2 e1a1,https://lichess.org/training/086r2
0bIYq,3r3r/2R1bppp/1p2qn2/2kp1N2/8/2P4P/1P3PP1/5RK1 b KQkq - 0 1,c5b5 f5d4 b5a6 f1a1 e7a3 a1a3,https://lichess.org/training/0bIYq
1AN5O,3rr1k1/3qnpp1/p6p/1p5Q/3pN3/1P4RP/1P3PP1/4R1K1 b KQkq - 0 1,e7f5 e4f6 g8h8 e1e8 d8e8 f6d7,https://lichess.org/training/1AN5O
1VYX3,r1b3k1/2p3pp/p1N5/3P4/3q4/6Nn/1P4PK/5R2 b KQkq - 0 1,d4d5 c6e7 g8h8 f1f8 d5g8 f8g8,https://lichess.org/training/1VYX3
2KCRj,4r1k1/pb5p/q6P/1p1p2p1/2pPn3/2P2Q2/PPB3P1/2K1R2R w KQkq - 0 1,c1b1 e4d2 b1a1 e8e1 h1e1 d2f3,https://lichess.org/training/2KCRj
2Nt4N,8/p7/1pN1pk1R/5p2/2b5/P1Pq1P2/6PK/8 b KQkq - 0 1,f6f7 c6e5 f7g7 h6g6 g7h7 e5d3 h7g6 d3e5 g6f6 e5c4,https://lichess.org/training/2Nt4N
31zJw,k3rr2/1pp3pp/p2b4/4q3/2PB1n2/1P4P1/P4Q1P/4RRK1 w KQkq - 0 1,d4e5 f4h3 g1g2 f8f2 f1f2 h3f2,https://lichess.org/training/31zJw
3YO41,2k3r1/1b4r1/pp1pp3/2p4p/1PPnPP1q/P2P2PB/3QN2K/6R1 w KQkq - 0 1,g3h4 d4f3 h2h1 g7g1 e2g1 g8g1,https://lichess.org/training/3YO41
3j0dG,3r2k1/1n4pp/1pQ3q1/3N1R2/2P3P1/r4P2/7P/3R2K1 b KQkq - 0 1,g6c6 d5e7 g8h8 d1d8 b7d8 f5f8,https://lichess.org/training/3j0dG
3w2g7,4rk2/ppp2pp1/2n2q2/3Q2N1/6P1/2PR3r/P4P2/R5K1 b KQkq - 0 1,h3d3 g5h7 f8e7 a1e1 f6e6 e1e6,https://lichess.org/training/3w2g7
47uwJ,r3r2k/p1q3p1/5p1p/4n3/3Q1B2/P1P5/5PPP/3RR1K1 w KQkq - 0 1,g2g3 e5f3 g1f1 e8e1 d1e1 c7c8,https://lichess.org/training/47uwJ
4Lkug,8/6p1/5n1k/1P5p/P4p1P/6r1/3Q4/3B2K1 w KQkq - 0 1,g1f2 f6e4 f2e1 g3g1 e1e2 g1g2 e2f3 g2d2,https://lichess.org/training/4Lkug
4TnaR,2k5/pp3p1p/2pQ4/2P1p2P/4Pn2/2P2P2/PP1N1K2/3r4 w KQkq - 0 1,d6e5 f4d3 f2e2 d1d2 e2d2 d3e5,https://lichess.org/training/4TnaR
4WSOc,2k5/1pp4q/1p1pp3/4n2r/PP2P3/2PPQpRP/5P2/6RK w KQkq - 0 1,h1h2 e5g4 h2h1 h5h3 g3h3 h7h3,https://lichess.org/training/4WSOc
4eCjY,r1bQ2k1/1p4p1/p6p/3Pp2q/PP2N3/2P5/5r1P/6RK b KQkq - 0 1,f2f8 e4f6 g8f7 g1g7 f7g7 f6h5,https://lichess.org/training/4eCjY
4glJE,rr1q2k1/2p2ppp/3P4/8/p7/P1n2PQ1/1PP3PP/2KR3R w KQkq - 0 1,d6c7 c3e2 c1b1 b8b2 b1a1 d8f8 g3d6 b2c2 d6f8 a8f8,https://lichess.org/training/4glJE
4pzgU,r4rk1/ppp2pp1/1b1p4/3N2n1/4q3/1N3nRQ/PPP5/2K4R b KQkq - 0 1,g5h3 d5f6 g8h8 g3h3 f3h4 h3h4 e4h4 h1h4,https://lichess.org/training/4pzgU
4q2NI,3r2r1/pk2p3/b3P1p1/2p5/1p1nNBp1/2N3Q1/PPP3PP/R1KR4 w KQkq - 0 1,c3a4 d4e2 c1b1 d8d1 f4c1 d1c1,https://lichess.org/training/4q2NI
4zQDe,3r3r/ppp1k1p1/3b1n2/4p3/3n4/1Q1P4/PPP2PPP/RNB2RK1 w KQkq - 0 1,b3c3 d4e2 g1h1 h8h2 h1h2 d8h8 c1h6 h8h6,https://lichess.org/training/4zQDe
5yM2x,8/3R2kp/8/1NN1p1pK/1P3p2/P6P/5q2/r7 b KQkq - 0 1,g7f6 c5e4 f6e6 d7d6 e6e7 e4f2,https://lichess.org/training/5yM2x
6LJSN,r4nk1/1b1q1r1R/p2p2p1/3Np1P1/2p1P3/4BP2/PPPQ4/2K4R b KQkq - 0 1,f7h7 d5f6 g8h8 h1h7 d7h7 f6h7,https://lichess.org/training/6LJSN
