04LMD,4RN2/2R3k1/1r4pp/2p3q1/2P5/2r3PP/7K/8 b KQkq - 0 1,g7f6 f8h7 f6f5 c7c5,https://lichess.org/training/04LMD
1XOLo,1r3rk1/5p1p/6p1/2pNp1q1/p2pP1P1/6P1/PPP3P1/1K3R1R b KQkq - 0 1,g5g4 d5f6 g8g7 h1h7,https://lichess.org/training/1XOLo
28S94,r1b2rk1/4bp2/2pn2p1/1p1np1Pp/1p2N2P/1P3PN1/P1P1Q3/1KBR3R w KQkq - 0 1,e4d6 d5c3 b1a1 a8a2,https://lichess.org/training/28S94
2Cstf,r1b1kb1r/ppp2ppp/2n5/3q3Q/2ppN3/8/PPP2PPP/RNB1R1K1 b KQkq - 0 1,d5h5 e4f6 e8d8 e1e8,https://lichess.org/training/2Cstf
2P5ZB,6rk/pb3p1p/1p6/2p1pN2/P2nP2Q/3P3P/1PP4K/5Rq1 w KQkq - 0 1,f1g1 d4f3 h2h1 g8g1,https://lichess.org/training/2P5ZB
2WLTH,2r3k1/1bp2ppp/pp2p3/4r3/3n4/P1Q3q1/1P3PPP/1BR2RK1 w KQkq - 0 1,h2g3 d4e2 g1h1 e5h5,https://lichess.org/training/2WLTH
33WJe,1r3k1r/pQp2ppp/2n2q2/3RN3/8/7P/PPP2PP1/2K1R3 b KQkq - 0 1,b8b7 e5d7 f8g8 e1e8,https://lichess.org/training/33WJe
3BJPi,2r1kb1r/1bqQ1pnp/p3p1p1/np2P3/4NPP1/8/PPP3BP/2KR2NR b KQkq - 0 1,c7d7 e4f6 e8e7 d1d7,https://lichess.org/training/3BJPi
3SHWm,8/1R5p/5ppk/3Qp3/p3P1PP/P4PK1/2r1n3/8 w KQkq - 0 1,g3h3 e2f4 h3g3 c2g2,https://lichess.org/training/3SHWm
3UqhS,3r2k1/pp4p1/4bp1p/q3p3/1P2P3/P3Q1PP/3r1n1K/1BR1R1N1 w KQkq - 0 1,b4a5 f2g4 h2h1 d2h2,https://lichess.org/training/3UqhS
3mw30,3Rrk1r/2P1nppp/pNq5/1pQ1p1b1/1P6/8/P4PPP/6K1 b KQkq - 0 1,c6c5 b6d7 f8g8 d8e8,https://lichess.org/training/3mw30
4ACEx,1kr2b2/pp2p1pr/1q3Q1p/3pN2P/3n4/P3B3/1P3P2/2R2RK1 b KQkq - 0 1,b6f6 e5d7 b8a8 c1c8,https://lichess.org/training/4ACEx
4b9u0,3Q4/6Rp/4p3/2Np4/3P1p1n/4r2k/1PPK4/8 w KQkq - 0 1,d8g5 h4f3 d2c1 e3e1,https://lichess.org/training/4b9u0
4cG7X,5Q2/r5kp/2p3p1/p1q1b1Pn/Pp1NP3/8/1P2N2P/5RK1 b KQkq - 0 1,c5f8 d4e6 g7h8 f1f8,https://lichess.org/training/4cG7X
5BtqP,8/kp3p2/n5p1/3Q4/6P1/pP1N4/PqP5/1KRn1r1B w KQkq - 0 1,d3b2 d1c3 b1a1 f1c1,https://lichess.org/training/5BtqP
5NfUF,5r2/8/3R4/nk6/4NNP1/4PK2/q7/8 b KQkq - 0 1,a2b1 e4c3 b5c5 d6d5,https://lichess.org/training/5NfUF
5TGgs,4r1k1/1p3pp1/p1b4p/P3nNq1/1P1Q4/7P/5PP1/1BR1R1K1 w KQkq - 0 1,c1c6 e5f3 g1h1 e8e1,https://lichess.org/training/5TGgs
5dlmh,1r2qbk1/5Rp1/3p2PQ/3N3P/1P2P3/p1P5/p7/K7 b KQkq - 0 1,g7h6 d5f6 g8h8 f7h7,https://lichess.org/training/5dlmh
5i5VG,r1b2rk1/ppp3pp/6q1/3NQ3/8/1P3n2/PBP4P/1K1R1R2 b KQkq - 0 1,f3e5 d5e7 g8h8 f1f8,https://lichess.org/training/5i5VG
6hpym,r1b2rk1/3p1ppp/p1q3P1/3Np3/1Pp5/P2Q4/2P2PP1/R3K2R b KQkq - 0 1,c4d3 d5e7 g8h8 h1h7,https://lichess.org/training/6hpym
6rD09,r4k2/5pb1/pp1p1q2/2pb1PN1/7p/1P1P2RP/P1Q2P2/2K4R b KQkq - 0 1,d5h1 g5h7 f8e7 g3e3,https://lichess.org/training/6rD09
7AUtb,4r3/p5kp/1p3rp1/4p3/3nPP2/1PQ5/PB1P2PP/5RK1 w KQkq - 0 1,f4e5 d4e2 g1h1 f6f1,https://lichess.org/training/7AUtb
7slaC,r1b3k1/pp1n3p/2p1p2r/1PPp1p2/P2P4/2N1P1qn/3B2B1/R2QNR1K w KQkq - 0 1,f1f3 h3f2 h1g1 h6h1,https://lichess.org/training/7slaC
87wXG,1krr4/pp4pp/4p3/1N2n3/1QB5/8/P4PP1/4K2R w KQkq - 0 1,c4e6 e5d3 e1e2 c8c2,https://lichess.org/training/87wXG
8Urul,2krr3/p4ppp/2p2n2/2Q5/2b2P2/B7/P5PP/RN2K2R w KQkq - 0 1,e1f2 f6e4 f2f3 d8d3,https://lichess.org/training/8Urul
8dBjT,r3kb1r/ppp2ppp/2n5/7q/3PN3/6P1/PP2bPBP/R1BQR1K1 b KQkq - 0 1,e2d1 e4f6 e8d8 e1e8,https://lichess.org/training/8dBjT
8h8f1,8/5p1p/pp3Np1/2p1q1n1/8/P5Rk/5K1P/8 b KQkq - 0 1,h3h2 f6g4 h2h1 g3g1,https://lichess.org/training/8h8f1
8uYZn,4r1k1/5pp1/7p/3p4/4n1Q1/6bP/6P1/1NR1q2K w KQkq - 0 1,c1e1 e4f2 h1g1 e8e1,https://lichess.org/training/8uYZn
8uh6q,2kr3r/Qp1q1ppp/p1p5/3R4/N4b2/8/PP3PPP/4R1K1 b KQkq - 0 1,d7d5 a4b6 c8c7 e1e7,https://lichess.org/training/8uh6q
