03S6t,Nk3r2/pp4p1/3p3p/1Qbqp3/8/2P5/P4PPP/4RRK1 w KQkq - 0 1,e1d1 c5f2 f1f2 d5d1 b5f1 d1f1,https://lichess.org/training/03S6t
0CPfF,1k1r3r/1b5p/p1qbp2Q/1pp5/8/P3BN2/1PP3PP/3R1RK1 w KQkq - 0 1,h6e6 d6h2 g1h2 c6e6 d1d8 h8d8,https://lichess.org/training/0CPfF
0CnxG,r2r2k1/ppp2p1p/4p1p1/7n/3N4/q2BQ3/P4PR1/2B3K1 b KQkq - 0 1,a3c3 d3g6 c3e3 g6h5,https://lichess.org/training/0CnxG
0EVRn,r4r1k/pppnn1pp/3b4/1P2pp1N/5P2/3BP3/qBQP3P/2KR2R1 b KQkq - 0 1,g7g6 b2e5 d7e5 c2a2 e5d3 c1b1,https://lichess.org/training/0EVRn
0EcVL,1k1r4/1pq1bQ2/pn1p4/3Rp1P1/4P3/1N2B3/PPP2P2/2K5 w KQkq - 0 1,e3b6 e7g5 f2f4 c7f7,https://lichess.org/training/0EcVL
0Eqvq,8/5pk1/6p1/3pp2p/1QbqP2P/6P1/5P2/5BK1 w KQkq - 0 1,e4d5 c4f1 b4d4 e5d4 g1f1 g7f6 f1e2 f6e5 d5d6 e5d6,https://lichess.org/training/0Eqvq
0EvzP,4r1k1/p2q1pp1/1p1b3p/3p1b2/N2Pn3/PQ2PNP1/1P2BPP1/2R3K1 w KQkq - 0 1,b3d5 d6g3 d5d7 g3f2 g1f1 f5d7 c1c7 d7a4,https://lichess.org/training/0EvzP
0FGp1,r3kb2/pp2p3/2q2p2/3N1bp1/2BP4/4PP2/PP3KPp/R1Q5 b KQkq - 0 1,b7b5 c4b5 c6b5 d5c7 e8f7 c7b5,https://lichess.org/training/0FGp1
0GDAG,r3k2r/5pp1/p1b1pn2/1p5p/3NP3/P1PB1Q2/3q2P1/R4R1K b KQkq - 0 1,d2c3 d3b5 c3f3 b5c6,https://lichess.org/training/0GDAG
0JGuC,4r1kr/ppp1q1pp/4b2n/2P1Q3/4N2N/1B6/P2P2PP/1R2KR2 w KQkq - 0 1,f1f6 e6b3 e5e7 e8e7,https://lichess.org/training/0JGuC
0Jj7Z,r1bqk2r/pp2nppp/3b4/8/1P2R3/2P2N2/P4PPP/RNBQ2K1 w KQkq - 0 1,c1g5 d6h2 g1h2 d8d1 e4e7 e8f8,https://lichess.org/training/0Jj7Z
0LTmZ,rn2k2r/pp2ppbp/2p1N1p1/3pP3/3q4/1PNB2P1/P1P2PP1/R2QK2R b KQkq - 0 1,f7e6 d3g6 h7g6 h1h8 g7h8 d1d4,https://lichess.org/training/0LTmZ
0Ll81,r1b2rk1/1p1p2pp/p1n1pn2/4N1B1/8/2qB2Q1/P4PPP/R3R1K1 b KQkq - 0 1,c6e5 d3h7 f6h7 g3c3 e5f3 g2f3,https://lichess.org/training/0Ll81
0NrQR,rn1q1rk1/ppp2ppp/3p4/3P4/2Bb4/4B3/PP2QPPP/R4RK1 b KQkq - 0 1,d8e7 e3d4 e7e2 c4e2,https://lichess.org/training/0NrQR
0Xhzz,5nk1/5ppp/8/Q2Bq3/8/6PP/5P1K/8 b KQkq - 0 1,g7g6 d5f7 g8g7 a5e5,https://lichess.org/training/0Xhzz
0Zj3q,5q1r/2nknB2/2p1pQ2/Rp1pP2P/1P1P3P/2P5/4K3/8 b KQkq - 0 1,h8h6 f7e6 c7e6 a5a7 d7d8 a7a8,https://lichess.org/training/0Zj3q
0ZkUg,4k2r/pp3ppp/2b5/2b1q3/2P1B2N/P5P1/4QP1P/4R1K1 b KQkq - 0 1,e8g8 e4h7 g8h8 e2e5,https://lichess.org/training/0ZkUg
0a26x,3rr1k1/pp3qp1/2p1pb1p/2P1Q3/2BP2P1/5P1P/PP1N4/R4RK1 w KQkq - 0 1,e5f4 f6d4 f4d4 d8d4,https://lichess.org/training/0a26x
0dnVq,r5k1/3p2pp/p2qp3/1p4B1/2nb4/2Q1NP1P/P3RP2/R5K1 w KQkq - 0 1,c3d3 d4a1 d3d6 c4d6,https://lichess.org/training/0dnVq
0gs1l,4r1k1/Qb2qpp1/p6p/1p2P3/1n6/5NP1/PP3PBP/3R2K1 w KQkq - 0 1,g2h3 b7f3 a7e7 e8e7 d1d8 g8h7,https://lichess.org/training/0gs1l
0h9sI,r1b1k1nr/p4ppp/1qp1p3/3p4/1bP5/1P6/P2B1PPP/RN1QKB1R b KQkq - 0 1,b6d4 d2b4 d4a1 b4c3 a1a2 c3g7,https://lichess.org/training/0h9sI
0ox1D,q4kr1/4n3/4pp1p/8/pP1PP3/P3B3/4QPPN/6K1 b KQkq - 0 1,a8e4 e3h6 f8f7 e2e4,https://lichess.org/training/0ox1D
0rEBD,5r2/3p2kp/p2q2p1/1p1br3/3Q4/1B6/PP4PP/2R2R1K w KQkq - 0 1,f1f8 d5g2 h1g2 d6d4 f8f7 g7h6,https://lichess.org/training/0rEBD
0tIKY,2r3k1/2r2p2/3Q2p1/3BP3/3q4/P6P/8/5R1K b KQkq - 0 1,d4d3 d5f7 c7f7 d6d3 f7f1 d3f1,https://lichess.org/training/0tIKY
0ukkI,1r1q1r1k/p2b2bp/2p5/5p2/8/2PQ2N1/PP4P1/R1B2RK1 w KQkq - 0 1,g3f5 d7f5 d3d8 b8d8,https://lichess.org/training/0ukkI
0wjYu,4r1k1/pp3ppp/8/3q4/3bN3/1P1Q4/P4PPP/2R3K1 w KQkq - 0 1,c1e1 d4f2 g1f2 d5d3 e4f6 g7f6,https://lichess.org/training/0wjYu
0yFcH,r1bq2k1/1p1n1p2/p1p3p1/3pr3/3Q1B2/1PN3R1/P4PPP/R5K1 b KQkq - 0 1,d8h4 f4e5 h4d4 e5d4,https://lichess.org/training/0yFcH
10nZ7,r1b2r1k/pp1q3p/2nb2p1/3Q4/2pp4/2P1PN2/PPB3PP/R1B2RK1 w KQkq - 0 1,e3d4 d6h2 f3h2 f8f1 h2f1 d7d5,https://lichess.org/training/10nZ7
14ut7,r6r/p3k1pp/4p3/1QbqB3/3p2b1/5N2/PPP3PP/3R1RK1 w KQkq - 0 1,e5d4 c5d4 f3d4 d5b5,https://lichess.org/training/14ut7
15hj0,r4rk1/pppq1p1R/5bp1/8/8/2PB1P2/PP3P1P/RN1Q2K1 b KQkq - 0 1,g8h7 d3g6 h7g7 d1d7,https://lichess.org/training/15hj0
16AgL,r3k3/6p1/4P3/2p3p1/1p5b/pP6/P1P1qBQ1/2K2R2 b KQkq - 0 1,a8c8 f2c5 h4f2 g2f2 e2f2 c5f2,https://lichess.org/training/16AgL
18YiW,r2qk2r/ppp2ppp/3b4/8/3n4/5B2/P1P2PPP/R1BQ1RK1 w KQkq - 0 1,d1d4 d6h2 g1h2 d8d4 f1e1 e8f8,https://lichess.org/training/18YiW
