2dCSc,2r1k1nr/pp1b1ppp/1b2p3/3P2B1/1P4Q1/PKN5/2P2qPP/3R1B1R w KQkq - 0 1,d5e6 d7e6 g4e6 f7e6 f1b5 c8c6 b5c6 b7c6,https://lichess.org/training/2dCSc
6Qg3M,rn1b1rk1/1b1q2p1/pp1P3p/4ppN1/7Q/3B1N2/PPP3PP/2KR3R w KQkq - 0 1,f3e5 d8g5 h4g5 h6g5 e5d7 b8d7,https://lichess.org/training/6Qg3M
9lng7,r4rk1/pb1qn1bp/1p1ppp2/2p2PB1/8/P1NP2Q1/BPP3PP/R4RK1 b KQkq - 0 1,f6g5 a2e6 d7e6 f5e6 g7d4 g1h1,https://lichess.org/training/9lng7
CB5oc,2rr2k1/1q1n3p/ppbp1bp1/3P4/2P3P1/1P2BB1P/P1Q5/2R2RK1 b KQkq - 0 1,c6d5 f3d5 b7d5 c4d5 c8c2 c1c2,https://lichess.org/training/CB5oc
CHl1l,2r2r1k/pp1bbp1p/1qn1p1p1/3p2Pn/3P3N/P1PBB3/1PQN1P1P/R3K1R1 b KQkq - 0 1,c6d4 e3d4 b6d4 c3d4 c8c2 d3c2,https://lichess.org/training/CHl1l
D31N0,r4rk1/1p1b1ppp/p1P2q2/1Bp5/Q7/5N2/PP3PPP/R4K1R w KQkq - 0 1,c6b7 d7b5 a4b5 a6b5 b7a8r f8a8,https://lichess.org/training/D31N0
OsO5L,r3k2r/1ppbqpp1/p2p3p/1B1P4/Q3P3/4PP2/PP2K2P/2R4R w KQkq - 0 1,c1c7 d7b5 a4b5 a6b5 c7e7 e8e7,https://lichess.org/training/OsO5L
QYJTs,2kr3r/1p1bq2p/p1p4b/P3p3/3p2pP/P1N1P1P1/B1PQN1P1/1R3RK1 w KQkq - 0 1,c3e4 h6e3 d2e3 d4e3 f1f7 e7a3,https://lichess.org/training/QYJTs
QzM8q,r6r/ppbk1p2/4pB1p/3p2p1/5PP1/6K1/PP1Q3P/7R w KQkq - 0 1,f6h8 c7f4 d2f4 g5f4 g3f4 a8h8,https://lichess.org/training/QzM8q
bG4b5,Q3kb1r/3p1p2/pq2p3/1pp1Pn2/1P3P2/P7/2P2B1p/R6K b KQkq - 0 1,e8e7 f2c5 b6c5 b4c5 f5g3 h1g2 h2h1r a1h1,https://lichess.org/training/bG4b5
eglDJ,8/2q2p2/7k/6p1/p4R1N/6PP/3B3K/8 b KQkq - 0 1,g5f4 d2f4 c7f4 g3f4 a4a3 h4f5,https://lichess.org/training/eglDJ
fYBbs,1r3rk1/4b1pp/pPq5/3p4/2P5/5B1P/1P1N1PP1/R1B2K1R b KQkq - 0 1,e7c5 f3d5 c6d5 c4d5 f8f2 f1e1,https://lichess.org/training/fYBbs
k4oKx,5r2/pq2bppk/4p2p/4P3/4n3/3B1P2/PP5P/R1B3RK b KQkq - 0 1,e7c5 d3e4 b7e4 f3e4 c5g1 h1g1,https://lichess.org/training/k4oKx
niKJG,r2q3r/ppp2pk1/3pbnp1/2b1B1P1/4P2Q/1B3P2/PPP3P1/2KR3R b KQkq - 0 1,h8h4 e5f6 d8f6 g5f6 g7f6 h1h4,https://lichess.org/training/niKJG
ptoZK,2kr2nr/ppp2ppp/2n5/7q/1b1N1Bb1/2NQ3P/PPP1BPP1/R3K2R b KQkq - 0 1,d8d4 e2g4 h5g4 h3g4 d4d3 c2d3,https://lichess.org/training/ptoZK
sq490,r7/5p2/4q2k/4ppbp/1P6/2PB1P1P/3Q1P1K/4R3 w KQkq - 0 1,f3f4 g5f4 d2f4 e5f4 e1e6 f7e6,https://lichess.org/training/sq490
vjnsF,b5k1/6pp/4p3/4Pp2/1pPpPP2/5KP1/2Q4P/8 w KQkq - 0 1,g3g4 a8e4 c2e4 f5e4 f3e4 b4b3 e4d3 g7g6,https://lichess.org/training/vjnsF
y0E6o,2r1r1k1/1p1q1p1p/p2p1bp1/2pP1P2/1P1P4/P1Q5/1B4PP/1R3RK1 w KQkq - 0 1,f5g6 f6d4 c3d4 c5d4 g6f7 d7f7 f1f7 g8f7,https://lichess.org/training/y0E6o
ycx5X,1k1r2r1/1p3Rb1/p2B2Pp/2p2B2/1P6/1P6/5qPP/2KR4 b KQkq - 0 1,b8a7 d6c5 f2c5 b4c5 d8d1 c1d1,https://lichess.org/training/ycx5X
