01qgQ,5rk1/pp1q2pp/3N2n1/3Pr3/6Qb/6BP/PPB2PK1/4R3 b KQkq - 0 1,h4g3 g4d7 e5e1 g2g3,https://lichess.org/training/01qgQ
021aU,7k/6pp/2R1p3/p4p2/Q2rq3/6P1/3K1P2/3R4 w KQkq - 0 1,a4d4 e4d4 d2c1 d4a1,https://lichess.org/training/021aU
02V2j,3r2k1/pp1PRpp1/2p2nq1/8/3Q4/6Np/PPP3PP/6K1 w KQkq - 0 1,d4f6 g6f6 e7e8 g8h7,https://lichess.org/training/02V2j
03Nhj,6k1/1p3pp1/p6p/4Q3/1P2P3/2P1Kr2/7q/3RR3 w KQkq - 0 1,e3f3 h2e5 d1d8 g8h7,https://lichess.org/training/03Nhj
03m05,3rq1k1/p4p1p/6p1/3Q1b2/2n2B2/2P3P1/P3PPBP/1R4K1 w KQkq - 0 1,d5d8 e8d8 b1b8 f5c8 g2b7 c4b6,https://lichess.org/training/03m05
041LR,3r2rk/p5pp/Bp6/3b1p2/P2qp2P/6P1/3N1PK1/2RQR3 b KQkq - 0 1,d4d2 d1d2 e4e3 d2d5,https://lichess.org/training/041LR
06N86,r1bqk2r/ppp1bpp1/5P1p/8/2pQ4/8/PPP2PPP/RNB2RK1 w KQkq - 0 1,f6g7 d8d4 g7h8q d4h8,https://lichess.org/training/06N86
09BhL,1k2r2r/1pp4p/8/2b5/p1q1p2Q/P1P3P1/1P5P/RKB5 b KQkq - 0 1,e4e3 h4c4 e3e2 c1d2,https://lichess.org/training/09BhL
0Afzg,r2r2k1/5pp1/b3p2p/2Q5/3b4/2q1NN2/B4PPP/R3R1K1 w KQkq - 0 1,f3d4 c3c5 d4e6 f7e6,https://lichess.org/training/0Afzg
0Axw6,8/3k1pp1/p4q1p/QnB1p3/B7/P5P1/5P1P/6K1 w KQkq - 0 1,a5a6 f6a6 a4b5 a6b5,https://lichess.org/training/0Axw6
0CMsv,r1b3k1/p4p1p/2p1p1p1/3pQPq1/P7/3B3P/2P3P1/R4R1K w KQkq - 0 1,f5e6 g5e5 e6f7 g8f8,https://lichess.org/training/0CMsv
0CTIs,k2r4/1p1P3R/pq3Q2/8/2P5/1P4P1/5PK1/8 w KQkq - 0 1,h7h8 b6f6 h8d8 f6d8,https://lichess.org/training/0CTIs
0CukS,rn2r1k1/ppp2p2/3p3p/4b1q1/6b1/4PNP1/PPPN1QP1/R3KB1R b KQkq - 0 1,g5e3 f2e3 e5g3 e1e2 e8e3 e2e3,https://lichess.org/training/0CukS
0DIhL,r7/5p1p/q3pkp1/8/2RP4/p1P1P1P1/Q6P/6K1 b KQkq - 0 1,a6c4 a2c4 a3a2 c4f1 f6e7 f1a1,https://lichess.org/training/0DIhL
0DRZA,r1k4r/1pPn3b/p6p/1q2Q3/4p1BP/8/PP3P2/3R1KNR w KQkq - 0 1,g1e2 b5e5 d1d7 h7f5 g4f5 e5f5,https://lichess.org/training/0DRZA
0EAoN,r2q1rk1/p4ppp/3pb3/b2Q4/2B5/2P1B3/PP3PPP/RN2K2R w KQkq - 0 1,d5a5 d8a5 c4e6 f7e6,https://lichess.org/training/0EAoN
