001gi,r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQkq - 0 1,c7a8 a5c3,https://lichess.org/training/001gi
03PJo,5bkr/pb4pp/1p1qR3/2p5/2B5/2PP4/P1P2PPP/1RBK4 b KQkq - 0 1,d6e6 c4e6,https://lichess.org/training/03PJo
0CCNZ,r1b2k1r/pp2np1p/1bnNp1pq/3pPP2/6QN/8/P2B2PP/2R1KB1R b KQkq - 0 1,g6f5 d2h6,https://lichess.org/training/0CCNZ
0Cbk5,6r1/pbp2p1k/1p2pn1p/1R6/2PP4/4Pq2/P3QP1P/5R1K w KQkq - 0 1,e2f3 b7f3,https://lichess.org/training/0Cbk5
0DL2F,k7/p4p2/Bp5p/8/2P1b1n1/2q3Q1/P2b2P1/K2R4 w KQkq - 0 1,g3c3 d2c3,https://lichess.org/training/0DL2F
0GePL,8/Pb6/8/8/6k1/4Q1p1/7p/7K w KQkq - 0 1,e3e4 b7e4,https://lichess.org/training/0GePL
0KWcq,r3k2r/pQ1nbppp/4p3/q7/3P1Bb1/4P3/PP3PPP/R3KBNR w KQkq - 0 1,b7b4 e7b4,https://lichess.org/training/0KWcq
0QhWr,6rk/pp6/7p/7b/8/P2P1q2/2P2PQP/5R1K w KQkq - 0 1,g2f3 h5f3,https://lichess.org/training/0QhWr
15J57,4k2r/p1p2ppp/8/2b5/2P5/1P1pqPPb/P6P/R1Q3KR w KQkq - 0 1,c1e3 c5e3,https://lichess.org/training/15J57
1HWQX,4kbr1/1b1p1p2/3PpB1p/4P3/2p5/5q2/P3Q2P/R3R2K w KQkq - 0 1,e2f3 b7f3,https://lichess.org/training/1HWQX
1Lh8u,r2qr2k/1p1b3p/p2P1Q2/3B4/8/2B5/PP4PP/R5K1 b KQkq - 0 1,d8f6 c3f6,https://lichess.org/training/1Lh8u
1OgrC,r4r1k/ppp2P1p/2n1qQp1/2b3B1/2pp4/8/PPP2PPP/RN4K1 b KQkq - 0 1,e6f6 g5f6,https://lichess.org/training/1OgrC
1PjaR,2bk3r/5pp1/1Q1p1n1p/1B6/3q4/4B3/PPP3P1/4R1K1 b KQkq - 0 1,d4b6 e3b6,https://lichess.org/training/1PjaR
1WrwZ,r1b2k1r/p4Ppp/1p3n2/n7/2B5/B1P2N2/P4PPP/R2qR1K1 b KQkq - 0 1,d1d6 a3d6,https://lichess.org/training/1WrwZ
1mkQC,r3kb1r/pp3pp1/1q1p2bp/1Q1Pp3/4n2B/5N1P/PPP1BPP1/1R2K2R b KQkq - 0 1,b6b5 e2b5,https://lichess.org/training/1mkQC
1n7d1,1r4k1/Q4nb1/p3b3/8/3q4/3p4/P7/K4R1R w KQkq - 0 1,a7d4 g7d4,https://lichess.org/training/1n7d1
21zSu,rn4k1/bp4pp/p2p2b1/P2P4/1P4P1/2Q1q2P/NB2pr2/2K1R2R w KQkq - 0 1,c3e3 a7e3,https://lichess.org/training/21zSu
2286Q,r4r1k/ppp2p2/3q1Q1p/3P4/2P1BP2/P3P2P/1B5K/6R1 b KQkq - 0 1,d6f6 b2f6,https://lichess.org/training/2286Q
