00BKa,5rk1/p1Rb1ppp/2n1pn2/8/8/2P3P1/q4PBP/1rNQK2R b KQkq - 0 1,f8c8 c7c8 d7c8 c1a2 b1d1 e1d1,https://lichess.org/training/00BKa
00km1,1R3rk1/p2q1ppp/3bpn2/3p4/Q2P4/2N3P1/P3PP1P/2B2RK1 b KQkq - 0 1,d7a4 b8f8 g8f8 c3a4,https://lichess.org/training/00km1
00yfI,r1b5/1p3kpp/p1nBpn2/3p4/3P4/P1NQ4/1PP1B1qP/2K2R2 w KQkq - 0 1,d3h7 g2f1 e2f1 f6h7,https://lichess.org/training/00yfI
0213A,2r1r1k1/1b3pp1/pp6/2bp1q2/3B4/1P1QPNnp/P4P1P/2R2RKB w KQkq - 0 1,d3f5 g3e2,https://lichess.org/training/0213A
02cM5,r1bq2k1/3p1r2/p1p1pbn1/2p2pN1/4PP1Q/2NP4/PPP4P/R1B2RK1 w KQkq - 0 1,g5f7 f6d4 h4f2 d4f2 f1f2 g8f7,https://lichess.org/training/02cM5
02vqK,r2qk2r/pppbn2p/2nb1pp1/1B1Q4/3NpP2/1P2P3/PBPP2PP/RN2K2R w KQkq - 0 1,d4c6 b7c6 d5d4 c6b5,https://lichess.org/training/02vqK
038pe,r1b2b1r/1p2p1kp/p4n2/3BB2Q/4n3/2P4N/P1q1KPPP/RN5R w KQkq - 0 1,e2e3 c8h3 h5e2 c2e2,https://lichess.org/training/038pe
03BAr,2rq2k1/1p3p1p/p3p1pP/3pP1Q1/1P1P4/5N2/2R2PP1/6K1 b KQkq - 0 1,d8g5 c2c8 g5d8 c8d8,https://lichess.org/training/03BAr
03N4m,2rqr1k1/1p4bp/p1b2pp1/8/3n1B2/P1P2N2/1PQ2PPP/R3R1K1 w KQkq - 0 1,e1e8 c6e8 f3d4 d8d4 c2b3 d4c4,https://lichess.org/training/03N4m
03xyI,7b/4p1k1/p2p3p/2pPN3/b3nN1P/5q2/7K/6R1 b KQkq - 0 1,g7f8 f4e6 f8e8 g1g8 f3f8 g8f8,https://lichess.org/training/03xyI
040cM,r2q2kr/p1p3p1/7B/2bppn2/7Q/2PP1P2/PP1K1P1P/RN4R1 w KQkq - 0 1,g1g7 f5g7 h4d8 a8d8,https://lichess.org/training/040cM
05A3l,r1r5/1b1k1ppp/p3p3/1pQnn3/2p1P3/8/PP3PPP/2KR1B1R w KQkq - 0 1,c5b6 e5d3 c1b1 d5b6,https://lichess.org/training/05A3l
05Qvn,r3k2r/pp3ppp/5n2/4q3/2N3b1/2P1P3/PPQ2PPP/R4RK1 b KQkq - 0 1,g4f5 c2f5 e5f5 c4d6 e8f8 d6f5,https://lichess.org/training/05Qvn
05ngU,1r2k3/p1q1p1r1/3p2p1/3B1b2/2P1N3/1P3nPp/P2Q1P1P/4RR1K w KQkq - 0 1,e4d6 c7d6 d2b2 f3e1,https://lichess.org/training/05ngU
069DC,r5k1/1p3ppp/2n1p3/8/pQ3Bq1/4P1PP/PP3PB1/R2r2KR w KQkq - 0 1,a1d1 g4d1 g1h2 d1h1 h2h1 c6b4,https://lichess.org/training/069DC
07wF7,rn4kr/pp3Rbp/3qN1p1/2pQ4/8/2NP4/PPP3PP/R1B3K1 b KQkq - 0 1,d6d5 f7g7,https://lichess.org/training/07wF7
07xth,r1R2k2/1p2p1b1/p2NQr1p/3Pn1p1/4q3/4B3/PP3PPP/5RK1 b KQkq - 0 1,a8c8 e6c8,https://lichess.org/training/07xth
08mpr,1n3rk1/r4ppp/p1b1p3/8/1p2QP2/1B5q/PPP1N1P1/3R1RK1 w KQkq - 0 1,e4c6 h3e3 g1h2 b8c6,https://lichess.org/training/08mpr
