00w1s,rn2Q1k1/pb1q1p1p/1p1p2pB/3P3n/8/2bB1N1P/PP3PP1/4R1K1 b KQkq - 0 1,d7e8 e1e8,https://lichess.org/training/00w1s
02wjb,2r2rk1/1R4pp/p7/2Np4/8/4b3/P1R3PP/3Q1q1K w KQkq - 0 1,d1f1 f8f1,https://lichess.org/training/02wjb
03eOc,r4rk1/ppp3pp/1b1pp2n/4p3/1P1PP3/2P1R3/P5PP/RNBQ1q1K w KQkq - 0 1,d1f1 f8f1,https://lichess.org/training/03eOc
03oTJ,2k1r3/ppp2pp1/2p5/QP5p/2P4P/3b4/6PR/4r2K w KQkq - 0 1,a5e1 e8e1,https://lichess.org/training/03oTJ
03wRW,6k1/3b1rpp/2pBp3/3p2P1/pP5P/P1Pn2R1/2q1Q3/4R1K1 b KQkq - 0 1,c2e2 e1e2,https://lichess.org/training/03wRW
04ZiQ,8/pb2r2k/2n4p/1p3pp1/2p5/1PP2B2/P4PPP/R1BQq1K1 w KQkq - 0 1,d1e1 e7e1,https://lichess.org/training/04ZiQ
057Sc,q2Q3k/1p4p1/3R1N1p/6r1/8/7P/PP3PP1/6K1 b KQkq - 0 1,a8d8 d6d8,https://lichess.org/training/057Sc
06zQk,5rk1/pp3ppp/8/7r/4Pn2/1NP2Q2/PP3P2/R2R1K1q w KQkq - 0 1,f3h1 h5h1,https://lichess.org/training/06zQk
07San,b1r4r/k3bp1p/3p2p1/1Q1Pp1P1/1P2P2P/R5R1/q1P2P1N/2K5 b KQkq - 0 1,a2a3 g3a3,https://lichess.org/training/07San
09rZJ,r1bq1Q1k/pppp2pp/8/4p3/3n4/3P3P/PPP4P/RN3RK1 b KQkq - 0 1,d8f8 f1f8,https://lichess.org/training/09rZJ
0AHve,8/8/8/1R1P4/8/3K4/1p5r/3k4 b KQkq - 0 1,b2b1q b5b1,https://lichess.org/training/0AHve
0BeJo,r4r2/pppq4/4R3/3Q1kN1/4nPp1/6Pp/PPP4P/2KR4 b KQkq - 0 1,d7d5 d1d5,https://lichess.org/training/0BeJo
0BkMS,3r2k1/R1p2pp1/1p5p/1P6/2P3n1/8/2Q1N1PP/3q2K1 w KQkq - 0 1,c2d1 d8d1,https://lichess.org/training/0BkMS
0C5RG,4r1k1/5p1p/p5p1/1p6/8/2P5/PP3PPP/3Qr1K1 w KQkq - 0 1,d1e1 e8e1,https://lichess.org/training/0C5RG
0CFb4,r5k1/p5pp/4p3/4Pr2/2p1R3/3p4/PP4PP/R1BQ1q1K w KQkq - 0 1,d1f1 f5f1,https://lichess.org/training/0CFb4
0Cw0u,4r1k1/p4pp1/7p/1qpr1P2/2P5/1P1n3P/4Q1P1/R1R4K w KQkq - 0 1,c4b5 e8e2,https://lichess.org/training/0Cw0u
0DmwC,5k2/p6r/1p3N2/2p1p3/2P1P1R1/5QP1/PP1r4/5K1q w KQkq - 0 1,f3h1 h7h1,https://lichess.org/training/0DmwC
0FHZP,6k1/2pB1p2/5r2/1P1P4/8/6p1/6P1/Q4q1K w KQkq - 0 1,a1f1 f6f1,https://lichess.org/training/0FHZP
0Fpzf,6k1/5p2/4p1pp/8/8/5B2/6PP/1r3rQK w KQkq - 0 1,g1f1 b1f1,https://lichess.org/training/0Fpzf
0HDuL,8/5rpk/8/p3p3/2N1P3/2P3pP/PP4P1/3Q1q1K w KQkq - 0 1,d1f1 f7f1,https://lichess.org/training/0HDuL
0ICV2,r1b2rk1/p4p1p/2p1pB2/1p5p/3P4/2PBP3/PP3PqP/2KR2R1 b KQkq - 0 1,g2g1 d1g1,https://lichess.org/training/0ICV2
0IkFH,2kr3r/pp2pp2/2p5/3pP1b1/3P1n2/P1N2QP1/1PP2P2/3RRK1q w KQkq - 0 1,f3h1 h8h1,https://lichess.org/training/0IkFH
0IoTH,r1bq1Q1k/pp4p1/7p/3pP3/2pP4/2N1b3/PPB3PP/5R1K b KQkq - 0 1,d8f8 f1f8,https://lichess.org/training/0IoTH
0K50k,8/2P1k3/8/3P1pp1/5r2/1K6/7p/2R5 b KQkq - 0 1,h2h1q c1h1,https://lichess.org/training/0K50k
