00t2W,r3r1k1/p4ppp/2p5/5q2/2RPn3/3Q2B1/P4PPP/4R1K1 w KQkq - 0 1,f2f3 e4g3 e1e8 a8e8 d3f5 g3f5,https://lichess.org/training/00t2W
038W6,1r3rk1/pp1nqppp/4bn2/2p1N3/5PP1/P1N1Q2P/1P4B1/R4RK1 b KQkq - 0 1,e6c4 e5c4 e7e3 c4e3,https://lichess.org/training/038W6
04JEF,3r1bk1/ppp1p1p1/8/2qn2BQ/5P2/2N5/PPP3PP/3R3K w KQkq - 0 1,g5h4 d5c3 h5c5 d8d1 c5g1 d1g1,https://lichess.org/training/04JEF
04Ngl,4r1k1/1pp3pp/p1p1rp2/2b5/2Q1N2q/5P2/PPP2P1P/R4R1K b KQkq - 0 1,c5d6 e4d6 h4c4 d6c4,https://lichess.org/training/04Ngl
04qXp,2r3k1/pp2rp1p/4b1p1/n2p4/3Pn2N/P1NQ3P/1qR2PP1/1B2R1K1 b KQkq - 0 1,b2a3 c3d5 a3d3 c2c8,https://lichess.org/training/04qXp
04sq3,2rb1rk1/p2nqppp/1pB1pn2/3pB2b/Q2P4/4PN1P/PP1N1PP1/2R2RK1 w KQkq - 0 1,a4a7 d7e5 a7e7 e5f3 d2f3 d8e7,https://lichess.org/training/04sq3
05hcE,4r1k1/1p2rpp1/2p3bp/3nN3/pq1P1NQP/8/PP2RPP1/4R1K1 b KQkq - 0 1,b4d4 f4g6 d4g4 g6e7 e8e7 e5g4,https://lichess.org/training/05hcE
07b7A,r3r1k1/2p2ppp/1b4q1/3Rp1B1/4n3/2P2N1P/PPQ3PK/R7 w KQkq - 0 1,d5e5 e4g5 e5e8 a8e8 c2g6 g5f3,https://lichess.org/training/07b7A
08ZuJ,r7/p4p1k/1p2pprp/3q1n1Q/3P4/2R1B1P1/PP3P1P/2R3K1 w KQkq - 0 1,a2a3 f5e3 h5d5 e3d5,https://lichess.org/training/08ZuJ
09Jp9,r1r3k1/3n1pp1/p2p3p/1p1Pp1q1/4Pn2/1P2R2P/PB1QNPP1/R5K1 w KQkq - 0 1,e3g3 f4h3 g1f1 g5d2,https://lichess.org/training/09Jp9
09QyX,r2b1rk1/5pp1/2p4p/q1n1pN1n/Pp2P3/1B2B1Q1/2P2PPP/R2R2K1 w KQkq - 0 1,g3e5 c5b3 e5a5 b3a5,https://lichess.org/training/09QyX
