00Dt6,5rk1/p4p1p/4p1p1/5nq1/8/5QPP/5PK1/2RR4 w KQkq - 0 1,c1b1 f5h4 g2f1 h4f3,https://lichess.org/training/00Dt6
00bTs,2r4k/6bP/8/3p4/pp1qn3/3N1Q2/PPP3R1/1K5R w KQkq - 0 1,g2g7 e4d2 b1a1 d2f3,https://lichess.org/training/00bTs
00tB9,1k1r3r/1bq1b1p1/p2p4/2nBp1P1/4P3/4BP2/1PPQN3/2KR3R w KQkq - 0 1,d5b7 c5b3 c1b1 b3d2,https://lichess.org/training/00tB9
0116f,r3k1r1/2pq1p2/p2p1R2/4p1np/P1B1P1b1/2NPP3/2P3PP/R3Q1K1 w KQkq - 0 1,h2h4 g5f3 g1f1 f3e1,https://lichess.org/training/0116f
01BTS,2rqrk2/pb3ppB/1pn1pB1p/4N3/2PP1P2/8/P1Q3PP/2KR3R b KQkq - 0 1,d8f6 e5d7 f8e7 d7f6,https://lichess.org/training/01BTS
01IUe,8/pp2qpk1/2p2N1p/1n1nPPpQ/1P3P2/PB5P/6K1/8 w KQkq - 0 1,f4g5 d5f4 g2f1 f4h5,https://lichess.org/training/01IUe
01M18,r2qk2r/pp1n1pNp/2p5/2Pp4/3Pn3/1P2P3/PQ4PP/R4RK1 b KQkq - 0 1,e8f8 g7e6 f8e7 e6d8,https://lichess.org/training/01M18
01PhQ,1kr5/3n1b2/1p1Pp1p1/p3n3/2P2Q2/1P6/PK6/3R4 w KQkq - 0 1,d1h1 e5d3 b2a1 d3f4,https://lichess.org/training/01PhQ
01pTi,r2q2k1/5ppp/p2B4/2p5/1p1n4/6Q1/PPP3PP/2K4R w KQkq - 0 1,d6c5 d4e2 c1b1 e2g3,https://lichess.org/training/01pTi
01zUD,8/4r3/1p2P1p1/3P2PN/P2KP3/1P6/7p/5k2 b KQkq - 0 1,h2h1q h5g3 f1e1 g3h1,https://lichess.org/training/01zUD
0216j,r2qr1k1/1pp1bpp1/p6p/3n4/2Bn1Q1B/2NP3P/PPP2P2/2KR3R w KQkq - 0 1,c3d5 d4e2 c1b1 e2f4,https://lichess.org/training/0216j
02KZc,r7/5pk1/5q1n/1QPp4/pP1PpNp1/P3P1P1/5KP1/8 b KQkq - 0 1,h6f5 f4h5 g7g6 h5f6,https://lichess.org/training/02KZc
02Vky,2r1r1k1/1b2npbp/p5p1/6N1/1Bp3n1/N6Q/PPB3PP/1R2q2K w KQkq - 0 1,b1e1 g4f2 h1g1 f2h3,https://lichess.org/training/02Vky
02bLn,r4rk1/ppp5/2b2pN1/3q2p1/3PnBQ1/2P5/PP4P1/R3R1K1 b KQkq - 0 1,g5f4 g6e7 g8f7 e7d5,https://lichess.org/training/02bLn
032NX,7k/1ppq1p2/3p1n1p/p2Pp2b/P1P1P2P/3Qb3/1BB3PK/R7 w KQkq - 0 1,d3e3 f6g4 h2g1 g4e3,https://lichess.org/training/032NX
03D2V,5kr1/p1q2p2/1p2p3/2p5/6Q1/P1P4P/3n1PP1/3RR1K1 w KQkq - 0 1,g4h4 d2f3 g1f1 f3h4,https://lichess.org/training/03D2V
03DzF,7k/1p2R3/p2p3p/2nPq3/2R2N2/1P1n3P/P5PK/8 b KQkq - 0 1,e5e7 f4g6 h8g7 g6e7,https://lichess.org/training/03DzF
03gSD,r3k2r/ppp2ppp/8/3pnnq1/3N1N2/3P2P1/PPPQ3P/R3K2R w KQkq - 0 1,d4f5 e5f3 e1d1 f3d2,https://lichess.org/training/03gSD
03lLj,3r1k2/pp3p2/2p4Q/3q3N/7P/8/1P3N1K/8 b KQkq - 0 1,f8e8 h5f6 e8e7 f6d5,https://lichess.org/training/03lLj
04L5K,4r1k1/6p1/pq2PrR1/1pp2n1p/4Q3/1PP2N1P/1P4P1/4R2K w KQkq - 0 1,g6f6 f5g3 h1g1 g3e4,https://lichess.org/training/04L5K
05BY3,2q3k1/6p1/p4pN1/1p2p2p/8/P1P3P1/1P3PKP/4R3 b KQkq - 0 1,c8f5 g6e7 g8f7 e7f5,https://lichess.org/training/05BY3
05UWu,4k1r1/1p1b1p2/pq1p4/3Pn3/7Q/PP5P/2B2PP1/R3N1K1 w KQkq - 0 1,e1d3 e5f3 g1f1 f3h4,https://lichess.org/training/05UWu
05hui,b4k2/4q3/1p2p1Q1/3pb1N1/1P6/8/2P2PP1/6K1 b KQkq - 0 1,e7f6 g5h7 f8e7 h7f6,https://lichess.org/training/05hui
06EWm,2kr3r/pp1n1Np1/2p1p1p1/8/3PNq2/3Q3P/PPP2P1n/R4RK1 b KQkq - 0 1,f4f7 e4d6 c8c7 d6f7,https://lichess.org/training/06EWm
06ceR,r2qk3/pp2pp1r/5n1p/2pPp2Q/2P2p1P/3B4/PP3PPK/R3R3 w KQkq - 0 1,h5e5 f6g4 h2g1 g4e5,https://lichess.org/training/06ceR
06vd7,8/p4kp1/1p1bp1n1/7Q/2PBnP1p/q2P3P/P5P1/R1R4K w KQkq - 0 1,f4f5 e4g3 h1g1 g3h5,https://lichess.org/training/06vd7
