00CtS,Q5k1/5q2/p2p4/b1p1pr2/P7/6P1/4KP1R/8 b KQkq - 0 1,g8g7 a8h8 g7g6 h8h6,https://lichess.org/training/00CtS
00PHg,R7/P4p2/5k1p/q5n1/5R2/7P/5PK1/8 b KQkq - 0 1,f6e5 a8e8 e5f4 a7a8q a5a8 e8a8,https://lichess.org/training/00PHg
00Ty2,r5k1/ppp4p/2n3r1/3P4/4P3/B1P5/P1Q1K3/6N1 w KQkq - 0 1,d5c6 g6g2 e2d3 a8d8 d3c4 g2c2,https://lichess.org/training/00Ty2
00ZsF,r1bqk2r/bpp5/p5n1/3P4/4P3/6BP/PP4BK/R2Q1R2 b KQkq - 0 1,c8h3 g2h3 d8d7 f1f5,https://lichess.org/training/00ZsF
00d9q,1r1q1r2/Q2k3p/2pp1npb/2p2P2/8/2N5/PP3PPP/4RRK1 b KQkq - 0 1,d8c7 e1e7 d7e7 a7c7,https://lichess.org/training/00d9q
00k5U,6k1/pp6/3br2p/6pq/3R2R1/1P5P/P1P2KQ1/8 w KQkq - 0 1,h3h4 h5f7 g2f3 e6f6 f3f6 f7f6,https://lichess.org/training/00k5U
00ysx,1k5r/ppq2p2/2pN4/4PBb1/2P2pp1/1P5r/P1Q3KP/3RR3 w KQkq - 0 1,e1h1 f4f3 g2f1 g4g3 f5h3 h8h3,https://lichess.org/training/00ysx
017qg,8/5R1P/3k2p1/4p3/4P1P1/8/p4p1K/r7 w KQkq - 0 1,h7h8q a1h1 h2h1 a2a1q h1g2 a1g1,https://lichess.org/training/017qg
01A6Y,2r4Q/p4k1R/1p2p3/3b1rq1/3P4/P1P5/3n1PPP/R5K1 b KQkq - 0 1,f7g6 h8g7,https://lichess.org/training/01A6Y
01AU0,8/7k/4r3/pB6/P7/2Q3P1/4KP2/7q w KQkq - 0 1,e2d3 h1d1 d3c4 e6d6,https://lichess.org/training/01AU0
01CmR,5r1k/2p3p1/p1pp3p/8/Pb1PP3/1Q3P2/1P2RK1q/R1B5 w KQkq - 0 1,f2e3 f8f3 e3f3 h2h3 f3f2 h3b3,https://lichess.org/training/01CmR
01LIb,8/p4kp1/4r3/3R2P1/5P2/P3PQ2/4R2K/2q2r2 w KQkq - 0 1,f3h5 f7e7 d5d7 e7d7 h5f7 d7d6,https://lichess.org/training/01LIb
01s7f,2k2N2/pp6/3P4/2p2N2/P3Pqp1/2P2r1r/1P2Q1Kp/5R1R w KQkq - 0 1,f5e7 c8b8 f1f3 g4f3 g2h3 f3e2,https://lichess.org/training/01s7f
01ur6,r2q2k1/4p1b1/5pN1/2p2Qp1/8/1p1P2P1/1PPK2P1/7R b KQkq - 0 1,b3c2 f5e6,https://lichess.org/training/01ur6
021YZ,1r4r1/p1kq1p2/3pb3/p2Bp2p/2P3np/P1QPP1P1/5P2/1R2R1K1 b KQkq - 0 1,e6d5 c4d5 c7d8 b1b8,https://lichess.org/training/021YZ
026QC,2r5/R7/1p5p/1kq1pr2/1N1p4/P2P1p2/1PP4P/2K2Q2 b KQkq - 0 1,c8c7 a3a4 b5b4 f1e1 c5c3 b2c3,https://lichess.org/training/026QC
026gl,1k1nRb1r/ppp2ppp/3q4/6N1/2P3Br/3P4/PP3P2/R1BQ2K1 w KQkq - 0 1,g5f7 d6h2 g1f1 f8c5,https://lichess.org/training/026gl
02HEw,3Q4/7k/6p1/P3BpP1/5P1p/4P2P/2r1K3/7q w KQkq - 0 1,e2d3 h1d1,https://lichess.org/training/02HEw
02QVn,2k1r2r/ppP3pp/8/1N1n4/3P1B2/5P1P/qP3P2/n1QK1B1R w KQkq - 0 1,f1c4 a2a4 b2b3 a1b3,https://lichess.org/training/02QVn
02Rb5,3q2k1/2pb1p2/3p4/3Pp2R/p3P1P1/4QP2/1K1p1N2/r7 b KQkq - 0 1,d2d1q f2d1 a1d1 b2c2,https://lichess.org/training/02Rb5
02YSN,8/8/p5k1/2pnq3/P3N1R1/5K2/7P/8 b KQkq - 0 1,g6f5 g4g5 f5e6 e4c5,https://lichess.org/training/02YSN
02gvL,8/1r1q2kp/2Rp1pp1/1PpP4/R3P3/5P2/1Q3KPr/8 w KQkq - 0 1,a4a6 d7h3 f2e3 h2g2 b2g2 h3g2,https://lichess.org/training/02gvL
02ncI,2k4r/pp3p2/2qP2p1/5p2/1P6/PQ4Kn/2p2R1P/R7 w KQkq - 0 1,f2c2 f5f4 g3g4 f7f5,https://lichess.org/training/02ncI
033zG,qk5r/3R2R1/pp1n4/3r3p/6n1/1B5P/PP6/4Q1K1 b KQkq - 0 1,g4e5 d7b7 a8b7 g7b7 d6b7 b3d5,https://lichess.org/training/033zG
03C5N,2r3k1/1p4pp/p3b3/4p3/1P6/6P1/2KQB2P/q2R3R w KQkq - 0 1,c2d3 a1d4,https://lichess.org/training/03C5N
03L37,r4rn1/2pbq1k1/p1n1pN1p/1p1pP1Q1/3P2P1/2N5/PPP2P2/R3KB1R b KQkq - 0 1,h6g5 h1h7 g7g6 f1d3,https://lichess.org/training/03L37
03LTp,8/R2Q4/1k3q1p/1pp1p3/3p4/1P1P3P/1KP2r2/8 b KQkq - 0 1,f6c6 a7a6 b6a6 d7c6,https://lichess.org/training/03LTp
03ZFL,6k1/1p4pp/1b3p2/pP2pP1n/P1P3R1/2q4r/3NQPK1/3R4 w KQkq - 0 1,f2f3 h3g3 g4g3 h5f4 g2h2 f4e2,https://lichess.org/training/03ZFL
03f2D,8/1r2kp2/8/3Q4/2PKPP2/1r6/8/8 w KQkq - 0 1,c4c5 b7d7 d5d7 e7d7,https://lichess.org/training/03f2D
03ysU,3q1k1r/5p2/4p2p/p2pP2Q/2r2pR1/P1P5/6PP/5RK1 b KQkq - 0 1,c4c3 g4f4 d8b6 g1h1,https://lichess.org/training/03ysU
042LP,rk6/p1R2Q2/2ppN2B/3q4/4K3/6rP/6P1/8 w KQkq - 0 1,e4f4 d5e5,https://lichess.org/training/042LP
046AR,3r1b1r/pp4pk/2p1p2p/5b1B/3Pq3/2P3P1/PP1K3P/R1BQ3R w KQkq - 0 1,h5f3 d8d4 c3d4 f8b4,https://lichess.org/training/046AR
